"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid","rid","i32","rid","i32","bool","rid"
0,169,[171],1336,1,"","",112,108,52,"",""
1,326,"[341,325]",1337,2,"","",606,110,52,"",""
2,339,"[24,226,338]",1333,3,"",242,1317,11,52,1,""
3,334,"[329,332]",1338,4,"","",68,111,52,"",76
4,337,[335],1339,5,"","",592,118,52,"",87
5,393,"[391,392]",1340,13,"","",372,122,52,"",""
6,397,[394],1341,14,"","",660,123,52,"",""
7,408,[406],1342,15,"","",353,106,52,"",15
8,507,[507],1343,21,"","",1092,"",52,1,""
9,516,[508],1344,22,"","",1093,"",52,1,""
10,517,[509],1345,23,"","",1094,"",52,1,""
11,518,[510],1346,24,"","",1095,"",52,1,""
12,526,"[524,525]",1347,26,"","",1155,"",41,1,""
13,528,"[189,295,310,311]",1348,0,"","",1163,73,52,1,""
