"rownum","BaseItemTypesKey","i32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Hash","AchievementItemsKeys"
0,9190,111,"Essence Item","Essence","Essenz-Gegenstand","エッセンスアイテム","에센스 아이템","Item Essência","Сущность","Objeto de esencia","ไอเทม เอสเซนส์","精髓",52571,[]
1,9191,131,"Currency Item","Objet monétaire","Währungsgegenstand","カレンシーアイテム","화폐 아이템","Item Monetário","Валюта","Objeto monetario","ไอเทม เงินตรา","通貨",52259,[]
2,9192,151,"Unique Item","Objet unique","Einzigartiger Gegenstand","ユニークアイテム","고유 아이템","Item Único","Уникальный предмет","Objeto único","ไอเทม ยูนิค","傳奇道具",18701,[]
3,9193,121,"Map Item","Carte","Kartengegenstand","マップアイテム","지도 아이템","Mapa","Карта","Objeto de mapa","ไอเทม แผนที่","地圖",22038,[]
4,9194,251,"Unique Map Item","Carte unique","Einzigartiger Kartengegenstand","ユニークマップアイテム","고유 지도 아이템","Mapa Único","Уникальная карта","Objeto de mapa único","ไอเทม แผนที่ยูนิค","傳奇地圖",6696,[]
5,9195,301,"Rare Abyss Item","Objet rare d'Abysse","Seltener Abgrund-Gegenstand","レアアビスアイテム","희귀 심연 아이템","Item Abissa Raro","Редкий предмет Бездны","Objeto abisal raro","ไอเทม อะบิสระดับ แรร์","稀有深淵之物",41772,[]
6,9196,301,"Fragment Item","Fragment","Fragment-Gegenstand","断片アイテム","조각 아이템","Item Fragmentado","Фрагмент","Objeto de fragmento","ไอเทม ชิ้นส่วน","碎片",60390,[]
7,9197,301,"Scarab Item","Scarabée","Skarabäus","スカラベアイテム","갑충석 아이템","Item Escaravelho","Скарабей","Objeto de escarabajo","ไอเทม สคารับ","聖甲蟲",32186,[]
8,9198,151,"Essence Item","Essence","Essenz-Gegenstand","エッセンスアイテム","에센스 아이템","Item Essence","Сущность","Objeto de esencia","ไอเทม เอสเซนส์","精髓之物",23218,[]
9,9199,301,"Fossil Item","Fossile","Fossil-Gegenstand","化石アイテム","화석 아이템","Item Fóssil","Ископаемое","Objeto de fósil","ไอเทม ฟอสซิล","化石",19642,[]
10,9200,221,"Expedition Item","Objet d'Expédition","Expedition-Gegenstand","エクスペディションアイテム","탐험 아이템","Item Expedition","Предмет Экспедиции","Objeto de expedición","ไอเทม กองสำรวจ","探險之物",40101,[]
11,9201,151,"Stacked Decks","Bonnes pioches","Kartenstapel","細工されたデッキ","카드 묶음","Decks Empilhados","Колоды карт","Carta de adivinación","สำรับไพ่ปริศนา","豐裕牌組",34745,[]
12,9202,151,"Talisman Item","Talisman","Talisman","タリスマンアイテム","부적 아이템","Item Talismã","Талисман","Objeto de talismán","ไอเทม สร้อยเครื่องราง","魔符",43064,[]
13,9203,161,"Enchanted Helmet","Casque enchanté","Verzauberter Helm","エンチャント兜","인챈트된 투구","Elmo Encantado","Зачарованный головной убор","Casco encantado","หมวกที่มีเอนแชนท์","附魔頭盔",19352,[]
14,9204,1001,"6-Linked Armour Item","Pièce d'armure avec 6 châsses reliées","Körperrüstung mit 6 verbundenen Fassungen","6リンク鎧アイテム","6연결 방어구 아이템","Armadura com 6 ligações","Доспех с 6 связанными гнёздами","Objeto de armadura de seis vínculos","ไอเทม เกราะ 6 เชื่อม","六連護甲",6078,[]
15,9205,141,"Currency Item","Objet monétaire","Währungsgegenstand","カレンシーアイテム","화폐 아이템","Item Monetário","Валюта","Objeto monetario","ไอเทม เงินตรา","通貨",14134,[]
16,9206,1501,"League-specific Unique Item","Objet unique spécifique à une ligue","Ligaspezifischer einzigartiger Gegenstand","リーグ限定ユニークアイテム","리그 전용 고유 아이템","Item Único de Liga Específica","Уникальный предмет лиги","Objeto único específico de liga","ไอเทม ยูนิคเฉพาะลีก","聯盟限定傳奇道具",4526,[]
17,9207,501,"Shaper or Elder Armour Item","Pièce d'armure du Façonneur ou de l'Ancien","Schöpfer- oder Ältesten-Rüstung","シェイパーまたはエルダー防具アイテム","쉐이퍼 혹은 엘더 방어구 아이템","Item Armadura do Criador ou do Ancião","Доспех Древнего или Создателя","Objeto de armadura del Creador o del Antiguo","ไอเทม เกราะ เชปเปอร์ หรือ เอลเดอร์","塑者或尊師護甲",61377,[]
18,9208,501,"Shaper or Elder Weapon Item","Armure du Façonneur ou de l'Ancien","Schöpfer- oder Ältesten-Waffe","シェイパーまたはエルダー武器アイテム","쉐이퍼 혹은 엘더 무기 아이템","Item Arma do Criador ou do Ancião","Оружие Древнего или Создателя","Objeto de arma del Creador o del Antiguo","ไอเทม อาวุธ เชปเปอร์ หรือ เอลเดอร์","塑者或尊師武器",53204,[]
19,9209,701,"Shaper or Elder Trinket Item","Accessoire du Façonneur ou de l'Ancien","Schöpfer- oder Ältesten-Schmuck","シェイパーまたはエルダー宝飾品アイテム","쉐이퍼 혹은 엘더 장신구 아이템","Item Acessório do Criador ou do Ancião","Бижутерия Древнего или Создателя","Objeto de abalorio del Creador o del Antiguo","ไอเทม เครื่องประดับ เชปเปอร์ หรือ เอลเดอร์","塑者或尊師飾品",61894,[]
20,9210,501,"Elder Map Item","Carte de l'Ancien","Ältesten-Kartengegenstand","エルダーマップアイテム","엘더 지도 아이템","Mapa do Ancião","Карта Древнего","Objeto de mapa del Antiguo","ไอเทม แผนที่ เอลเดอร์","尊師地圖",39336,[]
21,9211,351,"Breach Item","Objet de Brèche","Riss-Gegenstand","ブリーチアイテム","균열 아이템","Item Fenda","Предмет Разлома","Objeto de fisura","ไอเทม บรีช","裂痕之物",43164,[]
22,9212,351,"valuable Currency Shards or Harbinger Item","Éclats d'Objets monétaires de valeur, ou Objet de Précurseur","Wertvolle Währungsscherben oder Vorboten-Gegenstand","高価値なカレンシーの欠片またはハービンジャーアイテム","귀중한 화폐 파편 혹은 선구자 아이템","Fragmentos Monetrárias ou Item Harbinger Valiosas","Ценные осколки валюты или предмет Предвестника","Esquirlas de objetos monetarios valiosas o objeto de Harbinger","ชิ้นส่วนเงินตราล้ำค่า หรือ ไอเทมฮาร์บินเจอร์","有價值通貨碎片或神諭之物",50482,[]
23,9213,501,"high level Corrupted Gem or Valuable Gem","Gemme corrompue de haut niveau, ou Gemme de valeur","Hochstufige verderbte Gemme oder wertvolle Gemme","高レベルコラプトジェムまたは高価値なジェム","고레벨 타락한 젬 혹은 귀중한 젬","Gema Corrompida ou Gema Valiosa de Nível Alto","Осквернённый камень умения высокого уровня или ценный камень умения","Gema corrupta de nivel alto o gema valiosa","หินเลเวลสูงที่มีมลทิน หรือ หินล้ำค่า","高等已汙染寶石或有價值寶石",15068,[]
24,9214,301,"Item","Objet","Gegenstand","アイテム","아이템","Item","Предмет","Objeto","ไอเทม","物品",31223,[]
25,9215,121,"Quality Gem","Gemme supérieure","Gemme mit Qualität","高品質ジェム","퀄리티 젬","Qualidade da Gema","Качественный камень умения","Gema con calidad","หินที่มีค่าคุณภาพ","品質寶石",16288,[]
26,9216,151,"Bestiary Item","Objet de Bestiary","Bestiary-Gegenstand","ベスティアリーアイテム","야수 도감 아이템","Item do Bestiary","Предмет Бестиария","Objeto de Bestiary","ไอเทม สมุดรวมสัตว์","獸獵之物",28161,[]
27,9217,221,"Blight Item","Objet de l'Infestation","Blight-Gegenstand","ブライトアイテム","역병 아이템","Item Blight","Предмет Скверны","Objeto de Blight","ไอเทม ไบล์ท","凋落之物",19373,[]
28,9218,221,"Metamorph Item","Objet de Métamorphe","Metamorph-Gegenstand","メタモルフアイテム","변형 아이템","Item Metamorph","Предмет Метаморфа","Objeto de Metamorph","ไอเทม เมตามอร์ฟ","鍊魔之物",62324,[]
29,9219,431,"Delirium Item","Objet du Délire","Delirium-Gegenstand","デリリウムアイテム","환영 아이템","Item Delirium","Предмет Делириума","Objeto de Delirium","ไอเทม เดลิเรียม","譫妄之物",23535,[]
30,9220,111,"Essence Item","Objet d'Essence","Essenz-Gegenstand","エッセンスアイテム","에센스 아이템","Item Essência","Сущность","Objeto de esencia","ไอเทม เอสเซนส์","精髓",46750,[]
31,9221,131,"Currency Item","Objet monétaire","Währungsgegenstand","カレンシーアイテム","화폐 아이템","Item Monetário","Валюта","Objeto monetario","ไอเทม เงินตรา","通貨",54300,[]
32,9222,151,"Unique Item","Objet unique","Einzigartiger Gegenstand","ユニークアイテム","고유 아이템","Item Único","Уникальный предмет","Objeto único","ไอเทม ยูนิค","傳奇道具",59184,[]
33,9223,121,"Map Item","Objet cartographique","Kartengegenstand","マップアイテム","지도 아이템","Item Mapa","Карта","Objeto de mapa","ไอเทม แผนที่","地圖",43361,[]
34,9224,251,"Unique Map Item","Carte unique","Einzigartiger Kartengegenstand","ユニークマップアイテム","고유 지도 아이템","Item Mapa Único","Уникальная карта","Objeto de mapa único ","ไอเทม แผนที่ยูนิค","傳奇地圖",37492,[]
35,9225,301,"Rare Abyss Item","Objet abyssal rare","Seltener Abgrund-Gegenstand","レアアビスアイテム","희귀 심연 아이템","Item Raro Abissal","Редкий предмет Бездны","Objeto abisal raro","ไอเทม อะบิสระดับ แรร์","稀有深淵之物",2531,[]
36,9226,301,"Fragment Item","Fragment","Fragment-Gegenstand","断片アイテム","조각 아이템","Item Fragmento","Фрагмент","Objeto de fragmento","ไอเทม ชิ้นส่วน","碎片",4173,[]
37,9227,301,"Scarab Item","Scarabée","Skarabäus","スカラベアイテム","갑충석 아이템","Item Escaravelho","Скарабей","Objeto de escarabajo","ไอเทม สคารับ","聖甲蟲",25303,[]
38,9228,151,"Essence Item","Essence","Essenz-Gegenstand","エッセンスアイテム","에센스 아이템","Item Essência","Сущность","Objeto de esencia","ไอเทม เอสเซนส์","精髓之物",31454,[]
39,9229,301,"Fossil Item","Fossile","Fossil-Gegenstand","化石アイテム","화석 아이템","Item Fóssil","Ископаемое","Objeto de fósil","ไอเทม ฟอสซิล","化石",51101,[]
40,9230,221,"Expedition Item","Objet d'Expédition","Expedition-Gegenstand","エクスペディションアイテム","탐험 아이템","Item Expedition","Предмет Экспедиции","Objeto de expedición","ไอเทม กองสำรวจ","探險之物",41074,[]
41,9231,151,"Stacked Decks","Bonnes pioches","Kartenstapel","細工されたデッキ","카드 묶음","Decks Empilhados","Колоды карт","Carta de adivinación","สำรับไพ่ปริศนา","豐裕牌組",47490,[]
42,9232,151,"Talisman Item","Talisman","Talisman","タリスマンアイテム","부적 아이템","Item Talismã","Талисман","Objeto de talismán","ไอเทม สร้อยเครื่องราง","魔符",23793,[]
43,9233,161,"Enchanted Helmet","Casque enchanté","Verzauberter Helm","エンチャント兜","인챈트된 투구","Elmo Encantado","Зачарованный головной убор","Casco encantado","หมวกที่มีเอนแชนท์","附魔頭盔",42868,[]
44,9234,1001,"6-Linked Armour Item","Pièce d'armure avec 6 châsses reliées","Körperrüstung mit 6 verbundenen Fassungen","6リンク鎧アイテム","6연결 방어구 아이템","Item Armadura com 6 Conexões","Доспех с 6 связанными гнёздами","Objeto de armadura de seis vínculos","ไอเทม เกราะ 6 เชื่อม","六連護甲",12755,[]
45,9235,141,"Currency Item","Objet monétaire","Währungsgegenstand","カレンシーアイテム","화폐 아이템","Item Monetário","Валюта","Objeto monetario","ไอเทม เงินตรา","通貨",30048,[]
46,9236,1501,"League-specific Unique Item","Objet unique spécifique à une ligue","Ligaspezifischer einzigartiger Gegenstand","リーグ限定ユニークアイテム","리그 전용 고유 아이템","Item Único de Liga Específica","Уникальный предмет лиги","Objeto único específico de liga","ไอเทม ยูนิคเฉพาะลีก","聯盟限定傳奇道具",32094,[]
47,9237,501,"Shaper or Elder Armour Item","Pièce d'armure du Façonneur ou de l'Ancien","Schöpfer- oder Ältesten-Rüstung","シェイパーまたはエルダー防具アイテム","쉐이퍼 혹은 엘더 방어구 아이템","Item Armadura do Criador ou do Ancião","Доспех Древнего или Создателя","Objeto de armadura del Creador o del Antiguo","ไอเทม เกราะ เชปเปอร์ หรือ เอลเดอร์","塑者或尊師護甲",38195,[]
48,9238,501,"Shaper or Elder Weapon Item","Armure du Façonneur ou de l'Ancien","Schöpfer- oder Ältesten-Waffe","シェイパーまたはエルダー武器アイテム","쉐이퍼 혹은 엘더 무기 아이템","Item Arma do Criador ou do Ancião","Оружие Древнего или Создателя","Objeto de arma del Creador o del Antiguo","ไอเทม อาวุธ เชปเปอร์ หรือ เอลเดอร์","塑者或尊師武器",28068,[]
49,9239,701,"Shaper or Elder Trinket Item","Accessoire du Façonneur ou de l'Ancien","Schöpfer- oder Ältesten-Schmuck","シェイパーまたはエルダー宝飾品アイテム","쉐이퍼 혹은 엘더 장신구 아이템","Item Acessório do Criador ou do Ancião","Бижутерия Древнего или Создателя","Objeto de abalorio del Creador o del Antiguo","ไอเทม เครื่องประดับ เชปเปอร์ หรือ เอลเดอร์","塑者或尊師飾品",52048,[]
50,9240,501,"Elder Map Item","Carte de l'Ancien","Ältesten-Kartengegenstand","エルダーマップアイテム","엘더 지도 아이템","Item Mapa do Ancião","Карта Древнего","Objeto de mapa del Antiguo","ไอเทม แผนที่ เอลเดอร์","尊師地圖",56725,[]
51,9241,351,"Breach Item","Objet de Brèche","Riss-Gegenstand","ブリーチアイテム","균열 아이템","Item Breach","Предмет Разлома","Objeto de fisura","ไอเทม บรีช","裂痕之物",39939,[]
52,9242,351,"valuable Currency Shards or Harbinger Item","Éclats d'Objets monétaires de valeur, ou Objet de Précurseur","Wertvolle Währungsscherben oder Vorboten-Gegenstand","高価値なカレンシーの欠片またはハービンジャーアイテム","귀중한 화폐 파편 혹은 선구자 아이템","Item Fragmento Monetário valioso ou Harbinger","Ценные осколки валюты или предмет Предвестника","Esquirlas de objetos monetarios valiosas o objeto de Harbinger","ชิ้นส่วนเงินตราล้ำค่า หรือ ไอเทมฮาร์บินเจอร์","有價值通貨碎片或神諭之物",19733,[]
53,9243,501,"high level Corrupted Gem or Valuable Gem","Gemme corrompue de haut niveau, ou Gemme de valeur","Hochstufige verderbte Gemme oder wertvolle Gemme","高レベルコラプトジェムまたは高価値なジェム","고레벨 타락한 젬 혹은 귀중한 젬","Gema de nível alto Corrompida ou Gema Valiosa","Осквернённый камень умения высокого уровня или ценный камень умения","Gema corrupta de nivel alto o gema valiosa","หินเลเวลสูงที่มีมลทิน หรือ หินล้ำค่า","高等已汙染寶石或有價值寶石",41974,[]
54,9244,301,"Item","Objet","Gegenstand","アイテム","아이템","Item","Предмет","Objeto","ไอเทม","物品",55071,[]
55,9245,121,"Quality Gem","Gemme de qualité","Gemme mit Qualität","高品質ジェム","퀄리티 젬","Gema com Qualidade","Качественный камень умения","Gema con calidad","หินที่มีค่าคุณภาพ","品質寶石",43471,[]
56,9246,151,"Bestiary Item","Objet de Bestiary","Bestiary-Gegenstand","ベスティアリーアイテム","야수 도감 아이템","Item Bestiary","Предмет Бестиария","Objeto de Bestiary","ไอเทม สมุดรวมสัตว์","獸獵之物",58563,[]
57,9247,221,"Blight Item","Objet de l'Infestation","Blight-Gegenstand","ブライトアイテム","역병 아이템","Item Blight","Предмет Скверны","Objeto de Blight","ไอเทม ไบล์ท","凋落之物",24651,[]
58,9248,221,"Metamorph Item","Objet de Métamorphe","Metamorph-Gegenstand","メタモルフアイテム","변형 아이템","Item Metamorph","Предмет Метаморфа","Objeto de Metamorph","ไอเทม เมตามอร์ฟ","鍊魔之物",65346,[]
59,9249,431,"Delirium Item","Objet du Délire","Delirium-Gegenstand","デリリウムアイテム","환영 아이템","Item Delirium","Предмет Делириума","Objeto de Delirium","ไอเทม เดลิเรียม","譫妄之物",12740,[]
