"rownum","Id","ModsKey0","ModsKey1","ModsKey2","bool"
0,"Resist1",3084,3156,3242,1
1,"Resist2",3085,3157,3243,1
2,"Resist3",3086,3158,3244,1
3,"Resist4",3087,3159,3245,1
4,"Resist5",3088,3160,3246,1
5,"Resist6",3089,3161,3247,1
6,"Resist7",3090,3162,3248,1
7,"Resist8",3091,3163,3249,1
8,"Resist9",8431,8433,8435,""
9,"Resist10",8432,8434,8436,""
10,"Resist11",8469,8471,8473,""
11,"Resist12",8470,8472,8474,""
12,"Resist13",8580,8582,8584,""
13,"Resist14",8581,8583,8585,""
14,"Resist15",8616,8618,8620,""
15,"Resist16",8617,8619,8621,""
16,"Resist17",17632,17635,17638,""
17,"Resist18",17633,17636,17639,""
18,"Resist19",17634,17637,17640,""
19,"Resist20",3309,3310,3311,""
20,"Resist21",18316,18317,18318,""
21,"Resist22",9375,9376,9377,1
22,"Resist23",13947,13948,13949,1
23,"Resist24",3306,3307,3308,""
24,"Resist25",18313,18314,18315,""
25,"Resist26",14893,14896,14899,1
26,"Resist27",14894,14897,14900,1
27,"Resist28",14895,14898,14901,1
28,"Resist29",16009,16018,16027,""
29,"Resist30",20542,20611,20682,1
30,"Resist31",20543,20612,20683,1
31,"Resist32",20834,20846,20818,1
32,"Resist33",20835,20847,20819,1
33,"Resist34",20836,20848,20820,1
34,"Resist35",3303,3304,3305,""
35,"Resist36",18310,18311,18312,""
36,"Resist37",16077,16087,16097,1
37,"Resist38",21965,21968,21971,1
38,"Resist39",21966,21969,21972,1
39,"Resist40",21967,21970,21973,1
40,"Resist41",22038,22043,22048,1
41,"Resist42",22039,22044,22049,1
42,"Resist43",22040,22045,22050,1
43,"Resist44",22041,22046,22051,1
44,"Resist45",22042,22047,22052,1
45,"Resist46",24747,24688,24621,1
46,"Resist47",13549,13552,13555,1
47,"Resist48",13550,13553,13556,1
48,"Resist49",13551,13554,13557,1
