"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19911,0,11,100,1,6,1,1
1,19912,0,50,100,3,6,1,1
2,19963,0,11,100,1,6,1,1
3,19967,0,11,100,1,6,1,1
4,19968,0,11,100,1,6,1,1
5,19969,0,11,100,1,6,1,1
6,19970,0,11,100,1,6,1,1
7,19975,0,11,100,1,6,1,1
8,19978,150,11,100,1,3,1,1
9,19979,150,25,100,4,5,1,1
10,19980,75,68,100,6,7,1,1
11,19981,150,11,100,1,3,1,1
12,19982,150,25,100,4,5,1,1
13,19983,75,68,100,6,7,1,1
14,19984,150,11,100,1,3,1,1
15,19985,150,25,100,4,5,1,1
16,19986,75,68,100,6,7,1,1
17,19977,75,68,100,3,6,1,1
18,19987,150,40,100,1,3,1,1
19,19988,75,68,100,4,5,1,1
20,19976,37,68,100,6,7,1,1
21,19965,0,11,100,1,3,1,1
22,19989,0,25,100,4,5,1,1
23,19990,0,68,100,6,7,1,1
24,19991,0,68,100,6,7,1,1
25,19971,0,11,100,1,3,1,1
26,19992,0,25,100,4,5,1,1
27,19993,0,68,100,6,7,1,1
28,19966,150,11,100,1,3,1,1
29,19994,75,40,100,4,5,1,1
30,19995,37,68,100,6,7,1,1
31,19972,150,11,100,1,6,1,1
32,19973,75,68,100,4,7,1,1
33,19996,150,68,100,3,7,1,1
