"rownum","i32","i32","i32","i32","i32","LegionBalancePerLevelKey","i32","i32","i32"
0,0,90,10,0,0,0,5000,100,5
1,1,75,25,0,0,0,5000,100,18
2,2,0,0,100,0,0,5000,100,40
3,3,0,0,0,100,0,5000,0,350
4,0,90,10,0,0,1,5000,100,5
5,1,75,25,0,0,1,5000,100,18
6,2,0,0,100,0,1,5000,100,40
7,3,0,0,0,100,1,5000,0,350
8,0,90,10,0,0,2,5000,100,5
9,1,75,25,0,0,2,5000,100,18
10,2,0,0,100,0,2,5000,100,40
11,3,0,0,0,100,2,5000,0,350
12,0,90,10,0,0,3,5000,100,5
13,1,75,25,0,0,3,5000,100,18
14,2,0,0,100,0,3,5000,100,40
15,3,0,0,0,100,3,5000,0,350
16,0,90,10,0,0,4,5000,100,5
17,1,75,25,0,0,4,5000,100,18
18,2,0,0,100,0,4,5000,100,40
19,3,0,0,0,100,4,5000,0,350
20,0,90,10,0,0,5,5000,100,5
21,1,75,25,0,0,5,5000,100,18
22,2,0,0,100,0,5,5000,100,40
23,3,0,0,0,100,5,5000,0,350
24,0,90,10,0,0,6,5000,100,5
25,1,75,25,0,0,6,5000,100,18
26,2,0,0,100,0,6,5000,100,40
27,3,0,0,0,100,6,5000,0,350
28,0,90,10,0,0,7,5000,100,5
29,1,75,25,0,0,7,5000,100,18
30,2,0,0,100,0,7,5000,100,40
31,3,0,0,0,100,7,5000,1,350
32,0,90,10,0,0,8,5000,100,5
33,1,75,25,0,0,8,5000,100,18
34,2,0,0,100,0,8,5000,100,40
35,3,0,0,0,100,8,5000,1,350
36,0,90,10,0,0,9,5000,100,5
37,1,75,25,0,0,9,5000,100,18
38,2,0,0,100,0,9,5000,100,40
39,3,0,0,0,100,9,5000,1,350
40,0,90,10,0,0,10,5000,100,5
41,1,75,25,0,0,10,5000,100,18
42,2,0,0,100,0,10,5000,100,40
43,3,0,0,0,100,10,5000,5,350
44,0,90,10,0,0,15,5000,100,5
45,1,75,25,0,0,15,5000,100,18
46,2,0,0,100,0,15,5000,100,40
47,3,0,0,0,100,15,5000,6,350
48,0,90,10,0,0,20,5000,100,5
49,1,75,25,0,0,20,5000,100,18
50,2,0,0,100,0,20,5000,100,40
51,3,0,0,0,100,20,5000,7,350
52,0,90,10,0,0,24,5000,100,5
53,1,75,25,0,0,24,5000,100,18
54,2,0,0,100,0,24,5000,100,40
55,3,0,0,0,100,24,5000,8,350
56,0,75,25,0,0,27,6000,100,5
57,1,75,25,0,0,27,6000,100,18
58,2,0,0,100,0,27,16000,100,40
59,3,0,0,0,100,27,24000,0,350
