"rownum","Slot","ClusterJewelSize","i32","ReplacesSlot","ProxySlot","StartIndices"
0,1219,"",0,"","",[]
1,1220,"",0,"","",[]
2,1221,"",0,"","",[]
3,1222,"",0,"","",[]
4,1223,"",0,"","",[]
5,1224,"",0,"","",[]
6,1225,"",0,"","",[]
7,1226,"",0,"","",[]
8,1227,"",0,"","",[]
9,1228,"",0,"","",[]
10,1229,"",0,"","",[]
11,1230,2,0,"",3066,"[3,5,5]"
12,1231,2,1,"",3067,"[0,11,11]"
13,1232,2,2,"",3068,"[2,3,3]"
14,1233,"",0,"","",[]
15,1234,2,3,"",3069,"[1,1,1]"
16,1235,"",0,"","",[]
17,1236,2,4,"",3070,"[5,9,9]"
18,1237,"",0,"","",[]
19,1238,"",0,"","",[]
20,1239,2,5,"",3071,"[4,7,7]"
21,3030,1,0,11,3072,"[2,3]"
22,3031,1,1,11,3073,"[3,5]"
23,3032,1,2,11,3074,"[3,7]"
24,3033,0,0,21,3075,[1]
25,3034,0,0,22,3076,[2]
26,3035,0,0,23,3077,[3]
27,3036,1,0,12,3078,"[5,9]"
28,3037,1,1,12,3079,"[5,11]"
29,3038,1,2,12,3080,"[0,1]"
30,3039,0,0,27,3081,[4]
31,3040,0,0,28,3082,[5]
32,3041,0,0,29,3083,[0]
33,3042,1,0,13,3084,"[1,1]"
34,3043,1,1,13,3085,"[2,3]"
35,3044,1,2,13,3086,"[3,5]"
36,3045,0,0,33,3087,[0]
37,3046,0,0,34,3088,[1]
38,3047,0,0,35,3089,[2]
39,3048,1,0,15,3090,"[5,11]"
40,3049,1,1,15,3091,"[1,1]"
41,3050,1,2,15,3092,"[2,3]"
42,3051,0,0,39,3093,[5]
43,3052,0,0,40,3094,[0]
44,3053,0,0,41,3095,[1]
45,3054,1,0,17,3096,"[4,7]"
46,3055,1,1,17,3097,"[5,9]"
47,3056,1,2,17,3098,"[5,11]"
48,3057,0,0,45,3099,[3]
49,3058,0,0,46,3100,[4]
50,3059,0,0,47,3101,[5]
51,3060,1,0,20,3102,"[3,5]"
52,3061,1,1,20,3103,"[4,7]"
53,3062,1,2,20,3104,"[5,9]"
54,3063,0,0,51,3105,[2]
55,3064,0,0,52,3106,[3]
56,3065,0,0,53,3107,[4]
