"rownum","Id","bool","i32","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","AOFiles","bool","bool","i32","bool","bool","i32","[rid]","BaseItemTypesKey","bool","ModsKeys","TagsKeys","ChestEffectsKey","MinLevel"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","MaxLevel","Corrupt_AchievementItemsKey","CurrencyUse_AchievementItemsKey","Encounter_AchievementItemsKeys","rid","InheritsFrom","bool","rid","[i32]","string","i32","i32","bool","rid","rid","bool","bool","[rid]","IsHardmode","StatsHardmode"
0,"Metadata/Chests/Barrel1",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",1,"",1,100,[],"","",[7518],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
1,"Metadata/Chests/Barrel2",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel2.ao""]",1,"",1,"",1,100,[],"","",[7518],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
2,"Metadata/Chests/Barrel3",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel3.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
3,"Metadata/Chests/Barrel4",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel4.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
4,"Metadata/Chests/Barrel5",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel5.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
5,"Metadata/Chests/BarrelExplode",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",0,"",1,100,[],"","",[7521],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
6,"Metadata/Chests/BarrelTar",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",0,"",1,100,[],"","",[7522],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
7,"Metadata/Chests/Barrel1NoDrops",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel1.ao""]",1,"",0,"",1,100,[],"","",[7518],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
8,"Metadata/Chests/Barrel1old",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel1old.ao""]",1,"",1,"",1,100,[],"","",[7518],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
9,"Metadata/Chests/Barrel2old",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel2old.ao""]",1,"",1,"",1,100,[],"","",[7518],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
10,"Metadata/Chests/Barrel3old",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel3old.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
11,"Metadata/Chests/Barrel4old",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel4old.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
12,"Metadata/Chests/Barrel5old",1,3,"Barrel","Tonneau","Fass","樽","통","Barril","Бочка","Barril","ถัง","木桶","[""Metadata/Chests/Barrels/Barrel5old.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"","M","N","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
13,"Metadata/Chests/Basket1",1,3,"Basket","Panier","Korb","籠","바구니","Cesta","Корзина","Cesta","ตะกร้า","籃子","[""Metadata/Chests/Baskets/Basket1.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"","M","M","","","F","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
14,"Metadata/Chests/Basket2",1,3,"Basket","Panier","Korb","籠","바구니","Cesta","Корзина","Cesta","ตะกร้า","籃子","[""Metadata/Chests/Baskets/Basket2.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"","M","M","","","F","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
15,"Metadata/Chests/Basket3",1,3,"Basket","Panier","Korb","籠","바구니","Cesta","Корзина","Cesta","ตะกร้า","籃子","[""Metadata/Chests/Baskets/Basket3.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"","M","M","","","F","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
16,"Metadata/Chests/Basket1old",1,3,"Basket","Panier","Korb","籠","바구니","Cesta","Корзина","Cesta","ตะกร้า","籃子","[""Metadata/Chests/Baskets/Basket1old.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"","M","M","","","F","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
17,"Metadata/Chests/Basket2old",1,3,"Basket","Panier","Korb","籠","바구니","Cesta","Корзина","Cesta","ตะกร้า","籃子","[""Metadata/Chests/Baskets/Basket2old.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"","M","M","","","F","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
18,"Metadata/Chests/Basket3old",1,3,"Basket","Panier","Korb","籠","바구니","Cesta","Корзина","Cesta","ตะกร้า","籃子","[""Metadata/Chests/Baskets/Basket3old.ao""]","","",1,"",1,100,[],"","",[],[],"",0,"","M","M","","","F","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
19,"Metadata/Chests/BonePile1",1,3,"Bone Pile","Ossements","Knochenhaufen","骨の山","뼈 무더기","Pilha de Ossos","Куча костей","Pila de Huesos","กองกระดูก","骨堆","[""Metadata/Chests/BonePiles/BonePile1.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"","MP","M","","","F","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
20,"Metadata/Chests/Boulder1",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/Boulder1.ao""]","","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
21,"Metadata/Chests/Boulder2",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/Boulder2.ao""]","","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
22,"Metadata/Chests/Boulder3",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/Boulder3.ao""]","","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
23,"Metadata/Chests/CityBoulder1",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderCity1.ao""]","","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
24,"Metadata/Chests/CityBoulder2",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderCity2.ao""]","","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
25,"Metadata/Chests/CityBoulder3",1,4,"Boulder","Rocher","Felsbrocken","丸石","바위","Pedregulho","Валун","Roca","ก้อนหิน","石塊","[""Metadata/Chests/Boulders/BoulderCity3.ao""]","","",2,"","",100,[],"","",[],[],"",0,"","M","M","","","M","","F","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
26,"Metadata/Chests/Cairn1",1,3,"Cairn","Cairn","Steinhaufen","石塚","돌무덤","Moledro","Каменный столбик","Hito de Piedras","กองหิน","石標","[""Metadata/Chests/Cairns/Cairn1.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
27,"Metadata/Chests/Cairn2",1,3,"Cairn","Cairn","Steinhaufen","石塚","돌무덤","Moledro","Каменный столбик","Hito de Piedras","กองหิน","石標","[""Metadata/Chests/Cairns/Cairn2.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
28,"Metadata/Chests/Cairn3",1,3,"Cairn","Cairn","Steinhaufen","石塚","돌무덤","Moledro","Каменный столбик","Hito de Piedras","กองหิน","石標","[""Metadata/Chests/Cairns/Cairn3.ao""]",1,"",1,"",1,100,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
29,"Metadata/Chests/SnowCairn1",1,3,"Cairn","Cairn","Steinhaufen","石塚","돌무덤","Moledro","Каменный столбик","Hito de Piedras","กองหิน","石標","[""Metadata/Chests/Cairns/SnowCairn1.ao""]","","",1,"",1,95,[],"","",[],[],"",0,"","M","M","","","M","","M","","",100,"","",[],"","Metadata/Chests/Chest",1,"",[],"",0,0,"","","",1,"",[],"",[]
