"rownum","Id","DisplayedName (English)","DisplayedName (French)","DisplayedName (German)","DisplayedName (Japanese)","DisplayedName (Korean)","DisplayedName (Portuguese)","DisplayedName (Russian)","DisplayedName (Spanish)","DisplayedName (Thai)","DisplayedName (Traditional Chinese)","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","string","Icon_DDSFile","ActiveSkillTargetTypes","ActiveSkillTypes","WeaponRestriction_ItemClassesKeys","WebsiteDescription","WebsiteImage","bool","string","bool","SkillTotemId","IsManuallyCasted","Input_StatKeys","Output_StatKeys","MinionActiveSkillTypes","bool","bool","[rid]","i32","AlternateSkillTargetingBehavioursKey","bool","AIFile","[rid]","bool","bool","bool"
0,"sweep","Sweep","Balayage","Rundumschlag","スウィープ","휩쓸기","Arrastão","Круговой взмах","Barrido","ควง (Sweep)","橫掃","Swings a two handed melee weapon in a circle, knocking back monsters around the character.","Un coup circulaire avec une arme à deux mains qui repousse les monstres se trouvant autour du personnage.","Schwingt eine Zweihand-Nahkampfwaffe im Kreis, wodurch Monster im Umkreis des Charakters zurückgestoßen werden.","両手近接武器を円を描くように振り回し、キャラクターの周りのモンスターをノックバックする。","양손 근접 무기를 원형으로 휘둘러, 주위의 몬스터들을 밀어냅니다.","Balança uma arma de duas mãos em um círculo, empurrando alguns monstros em volta do personagem.","Герой взмахивает двуручным оружием ближнего боя по кругу, отбрасывая врагов вокруг себя.","Golpea en círculo con un arma cuerpo a cuerpo a dos manos y empuja a los monstruos alrededor del personaje.","เหวี่ยง อาวุธสองมือประชิด เป็นวงกลม ทำให้มอนสเตอร์รอบตัวละครถูกผลักออกไป","使用雙手近戰武器在身體周圍橫掃，將角色附近的怪物擊退。","Sweep","Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,23,19,27]","[14,16,17,15,57]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.","http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg","","Sweep","",22,1,"[4020,4269,4182,10516,18031,18032]","[24,479,434,185,721,2659]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
1,"vaal_sweep","Vaal Sweep","Balayage vaal","Vaal-Rundumschlag","ヴァールスウィープ","바알 휩쓸기","Arrastão Vaal","Круговой взмах ваал","Barrido vaal","วาล์ ควง (Vaal Sweep)","瓦爾．橫掃","Repeatedly swings a two handed melee weapon in a circle, knocking back monsters away from the character.","Une répétition de coups circulaires avec une arme à deux mains qui repousse les monstres loin du personnage.","Schwingt mehrfach einen Stab, eine Zweihandaxt oder einen Zweihandstreitkolben im Kreis, wodurch Monster vom Charakter zurückgestoßen werden.","両手近接武器を振り回して繰り返し円を描き、キャラクターからモンスターをノックバックする。","양손 근접 무기를 원형으로 여러 번 휘둘러 몬스터들을 밀어냅니다.","Balança uma arma de duas mãos repetidamente em um círculo, empurrando monstros para longe do personagem.","Герой несколько раз взмахивает посохом, двуручным оружием или булавой, отбрасывая врагов.","Golpea repetidamente en círculos con un arma cuerpo a cuerpo a dos manos y empuja a los monstruos lejos del personaje.","เหวี่ยง อาวุธสองมือประชิด ซ้ำๆ เป็นวงกลม ทำให้มอนสเตอร์รอบตัวละครถูกผลักออกไป","將武器在身體周圍橫掃多次，並將部分怪物擊退。","Sweep","Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,19,37,27]","[14,16,17,15,57]","","",1,"","",22,1,"[4020,4269,4182,10516,18031,18032]","[24,479,434,185,721,2659]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
2,"ground_slam","Ground Slam","Fracas tellurique","Schmetterhieb","グラウンドスラム","대지 강타","Impacto Sísmico","Сотрясение","Impacto sísmico","ทุบพื้น (Ground Slam)","裂地之擊","The character slams the ground in front of them with a Staff, Mace or Sceptre, creating a wave that travels forward and damages enemies with an increased chance to stun.","Le personnage frappe le sol devant lui avec un bâton, une masse ou un sceptre, et projette vers l'avant une vague qui endommage les ennemis avec des chances augmentées de les étourdir. Ne fonctionne qu'avec les bâtons, les sceptres et les masses.","Der Charakter schlägt mit einem Stab, Streitkolben oder Zepter auf den Boden vor sich, wodurch er eine nach vorne schnellende Welle erzeugt, die bei Gegnern Schaden verursacht und die Chance auf Betäuben erhöht. Funktioniert nur mit Stäben oder Streitkolben.","キャラクターは前方の地面をスタッフ、メイスまたはセプターで叩きつけ、前方に移動する衝撃波を放つ。衝撃波は敵にダメージを与え、高いスタン確率を持つ。","지팡이나 철퇴, 셉터로 전방의 바닥을 후려치면 앞쪽으로 파도를 일으키며 뻗어 나가 적들에게 피해를 주고 증가된 확률로 기절시킵니다.","O personagem bate no chão à sua frente com um Cajado ou Maça ou Cetro, criando uma onda que segue para frente e causa dano a inimigos, com mais chances de atordoar.","Герой с силой бьёт посохом, булавой или скипетром по земле перед собой и создаёт волну, которая движется вперёд, наносит урон и с повышенной вероятностью оглушает врагов. ","El personaje golpea la tierra frente a él con un báculo, una maza o un cetro y crea una onda que viaja hacia adelante, daña enemigos y tiene probabilidad aumentada de aturdirlos.","ตัวละครทำการทุบพื้นด้านหน้าด้วย ไม้พลอง, กระบอง หรือ คทา สร้างคลื่นพลังที่เคลื่อนที่ไปข้างหน้าซึ่งจะสร้างความเสียหายให้กับศัตรูโดยเพิ่มโอกาสที่จะสร้างสถานะ มึนงง และมีโอกาสสร้างสถานะ มึนงง เพิ่มขึ้น","以長杖或錘重擊地面並製造出一道向前釋放的衝擊波，被此衝擊波擊中的敵人將會受到傷害並有較高機率被擊暈。限定長杖與錘。","GroundSlam","Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[12,32,14,17,36,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg","","GroundSlam","",22,1,"[3984,4169,5483,18030]","[24,434,8043,11452]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
3,"vaal_ground_slam","Vaal Ground Slam","Fracas tellurique vaal","Vaal-Schmetterhieb","ヴァールグラウンドスラム","바알 대지 강타","Impacto Sísmico Vaal","Сотрясение ваал","Impacto sísmico vaal","วาล์ ทุบพื้น (Vaal Ground Slam)","瓦爾．裂地之擊","The character slams the ground with a Staff, Mace or Sceptre, creating a wave that travels in all directions and damages enemies with an increased chance to stun.","Le personnage frappe le sol avec un bâton, une masse ou un sceptre, et projette une vague dans toutes les directions qui endommage les ennemis et a plus de chances d'étourdir.","Der Charakter schlägt mit einem Stab, Streitkolben oder Zepter auf den Boden, wodurch er eine in alle Richtungen schnellende Welle erzeugt, die bei Gegnern Schaden verursacht und eine erhöhte Chance gewährt, diese zu betäuben.","キャラクターは前方の地面をスタッフ、メイスまたはセプターで叩きつけ、周囲に衝撃波を放ち、敵にダメージを与える。衝撃波は高いスタン確率を持つ。","지팡이나 철퇴, 셉터로 바닥을 후려치면 사방으로 파도를 일으키며 뻗어 나가 적들에게 피해를 주고 증가된 확률로 기절시킵니다.","O personagem bate no chão à sua frente com um Cajado ou Maça ou Cetro, criando uma onda que viaja para todas as direções.","Герой с силой бьёт посохом, булавой или скипетром по земле перед собой и создаёт волны, которые движутся во всех направлениях, наносят урон врагам и имеют повышенный шанс оглушения.","El personaje golpea la tierra frente a él con un báculo, una maza o un cetro y crea una onda que viaja en todas direcciones y daña a los enemigos con una probabilidad aumentada de aturdir.","ตัวละครทำการทุบพื้นด้วย ไม้พลอง, กระบอง หรือ คทา สร้างคลื่นพลังไปรอบทิศทางซึ่งจะสร้างความเสียหายให้กับศัตรูโดยเพิ่มโอกาสที่จะสร้างสถานะ มึนงง","以長杖或錘重擊地面並製造出一道向周圍釋放具有傷害的衝擊波。","VaalGroundSlam","Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,19,37,91,14]","[12,32,14,17,36,57]","","",1,"","",22,1,"[3984,4169,5483,18030]","[24,434,8043,11452]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
4,"distance_scaled_ground_slam","Ground Slam","Fracas tellurique","Schmetterhieb","グラウンドスラム","대지 강타","Impacto Sísmico","Сотрясение","Impacto sísmico","ทุบพื้น (Ground Slam)","裂地之擊","Slams the ground in front of you, creating a wave that travels forward and damages enemies with an increased chance to stun. The wave deals more damage to closer enemies. Requires an Axe, Mace, Sceptre, Staff or Unarmed.","Fracasse le sol devant votre personnage, créant ainsi une vague qui se déplace vers l'avant et endommage les ennemis avec des chances augmentées de les étourdir. Cette vague inflige davantage de dégâts aux ennemis proches. Fonctionne uniquement avec les haches, les masses, les sceptres, les bâtons ou à mains nues.","Der Charakter schlägt auf den Boden vor sich, wodurch er eine nach vorne schnellende Welle erzeugt, die bei Gegnern Schaden verursacht und die Chance auf Betäuben erhöht. Die Welle verursacht bei nahen Gegnern mehr Schaden. Erfordert eine Axt, einen Streitkolben, ein Zepter, einen Stab oder kann unbewaffnet verwendet werden.","前方の地面を叩きつけ、前方に移動する衝撃波を放つ。衝撃波は敵にダメージを与え、増加したスタン確率を持つ。近い敵へのダメージは上昇する。使用するには斧、メイス、セプターまたはスタッフを装備するか素手状態である必要がある。","전방의 지면을 강타하여 대지의 물결을 일으켜 정면으로 뻗어나가게 합니다. 물결은 적들에게 피해를 주고 더욱 증가한 확률로 기절시킵니다. 시전자에게 가까운 적일수록 더 큰 피해를 받습니다. 도끼, 철퇴, 셉터, 지팡이 착용 혹은 비무장 상태여야 합니다.","O personagem bate no chão à sua frente com um Cajado, Machado ou Maça ou Cetro, criando uma onda que segue para frente e causa dano a inimigos, com mais chances de atordoar. A onda causa mais dano a curta distância.","Герой с силой бьёт по земле перед собой и создаёт волну, которая движется вперёд, наносит урон и с повышенной вероятностью оглушает врагов. Волна наносит больше урона врагам поблизости. Можно использовать с топорами, булавами, скипетрами, посохами или без оружия.","Golpea el suelo frente a ti y crea una onda que viaja hacia adelante, daña enemigos y tiene probabilidad aumentada de aturdirlos. La onda inflige más daño a los enemigos cercanos. Requiere un hacha, una maza, un cetro, un báculo o estar desarmado.","ทำการทุบพื้นด้านหน้าของคุณ สร้างคลื่นพลังที่จะเคลื่อนที่ไปด้านหน้าซึ่งจะสร้างความเสียหายให้กับศัตรูโดยเพิ่มโอกาสสร้างสถานะ มึนงง คลื่นพลังนี้จะสร้างความเสียหายเพิ่มขึ้น อีก ต่อศัตรูที่อยู่ใกล้ ต้องใช้กับ ขวาน, กระบอง, คทา, ไม้พลอง หรือ มือเปล่า เท่านั้น","重擊地面並製造出一道向前釋放的衝擊波，被此衝擊波擊中的敵人將會受到傷害並有較高機率被擊暈。衝擊波對近距離的敵人造成更多傷害。限定斧、錘、權杖、長杖或空手。","DistanceScaledGroundSlam","Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[12,32,14,17,11,16,36,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg",1,"DistanceScaledGroundSlam","",22,1,"[3984,4169,5483,18030]","[24,434,8043,11452]",[],1,1,[3436],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
5,"vaal_ground_slam_spiked","Vaal Ground Slam","Fracas tellurique vaal","Vaal-Schmetterhieb","ヴァールグラウンドスラム","바알 대지 강타","Impacto Sísmico Vaal","Сотрясение ваал","Impacto sísmico vaal","วาล์ ทุบพื้น (Vaal Ground Slam)","瓦爾．裂地之擊","Slams the ground in front of you, creating a wave that travels in all directions that damages enemies with an increased chance to stun. The wave deals more damage to closer enemies. Requires an Axe, Mace, Sceptre, Staff or Unarmed.","Fracasse le sol devant votre personnage, créant ainsi une vague qui se déplace dans toutes les directions et endommage les ennemis avec des chances augmentées de les étourdir. Cette vague inflige davantage de dégâts aux ennemis proches. Fonctionne uniquement avec les haches, les masses, les sceptres, les bâtons ou à mains nues.","Der Charakter schlägt auf den Boden vor sich, wodurch er eine in alle Richtungen schnellende Welle erzeugt, die bei Gegnern Schaden verursacht und eine erhöhte Chance gewährt, diese zu betäuben. Die Welle verursacht bei nahen Gegnern mehr Schaden. Erfordert eine Axt, einen Streitkolben, ein Zepter, einen Stab oder kann unbewaffnet verwendet werden.","前方の地面を叩きつけ、周囲に衝撃波を放つ。衝撃波は敵にダメージを与え、高いスタン確率を持つ。近くの敵に対してはダメージが上昇する。使用するには斧、メイス、セプターまたはスタッフを装備するか素手状態である必要がある。","전방의 지면을 강타하여 대지의 물결을 일으켜 사방으로 뻗어나가게 합니다. 물결은 적들에게 피해를 주고 증가된 확률로 기절시킵니다. 시전자에게 가까운 적일수록 더 큰 피해를 받습니다. 도끼, 철퇴, 셉터, 지팡이 착용 혹은 비무장 상태여야 합니다.","O personagem bate no chão à sua frente com um Cajado, Machado ou Maça ou Cetro, criando uma onda que viaja para todas as direções, causando dano e atordoando aos inimigos. A onda causa mais dano a curta distância.","Герой с силой бьёт по земле перед собой и создаёт волны, которые движутся во всех направлениях, наносят урон врагам и имеют повышенный шанс оглушения. Волна наносит больше урона врагам поблизости. Можно использовать с топорами, булавами, скипетрами, посохами или без оружия.","Golpea el suelo frente a ti y crea una onda que viaja en todas direcciones y que daña a los enemigos con una probabilidad aumentada de aturdir. La onda inflige más daño a los enemigos cercanos. Requiere un hacha, una maza, un cetro, un báculo o estar desarmado.","ทำการทุบพื้นด้านหน้าของคุณ สร้างคลื่นพลังที่จะเคลื่อนที่ไปรอบทิศทางซึ่งจะสร้างความเสียหายให้กับศัตรูที่อยู่ในระยะโดยเพิ่มโอกาสสร้างสถานะ มึนงง คลื่นพลังนี้จะสร้างความเสียหายเพิ่มขึ้น อีก ต่อศัตรูที่อยู่ใกล้ ต้องใช้กับ ขวาน, กระบอง, คทา, ไม้พลอง หรือ มือเปล่า เท่านั้น","重擊地面並製造出向周圍釋放具有傷害的衝擊波。衝擊波對近距離的敵人造成更多傷害。限定斧、錘、權杖、長杖或空手。","VaalDistanceScaledGroundSlam","Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,19,37,91,14]","[12,32,14,17,11,16,36,57]","","",1,"VaalDistanceScaledGroundSlam","",22,1,"[3984,4169,5483,18030]","[24,434,8043,11452]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
6,"cleave","Cleave","Taillade","Spalten","クリーヴ","회전베기","Cutilada","Рассечение","Hendidura","ปาด (Cleave)","劈砍","The character swings their weapon (or both weapons if dual wielding) in an arc, damaging monsters in an area in front of them. Only works with Axes and Swords.","Le personnage attaque en arc de cercle devant lui avec son arme (ou les deux s'il a une arme secondaire d'équipée), infligeant des dégâts de zone. Fonctionne uniquement avec les épées ou les haches.","Der Charakter schwingt seine Waffe (oder beide, falls zwei Waffen verwendet werden) bogenförmig in Richtung des Ziels und fügt Monstern vor ihm Schaden zu. Funktioniert nur mit Äxten oder Schwertern.","武器（二刀流の場合は両方の武器）を弧をかくように振り、前方範囲内のモンスターにダメージを与える。使用するには斧または剣を装備する必要がある。","무기(쌍수일 경우 2개 모두)를 크게 휘둘러 범위 내 몬스터들에게 피해를 줍니다. 도끼와 검으로만 사용할 수 있습니다.","O personagem balança sua arma (ou ambas as armas se estiver com dupla empunhadura) em um arco, causando dano em uma área na sua frente. Funciona apenas com Machados e Espadas.","Герой взмахивает своим оружием (или двумя, если носит два одноручных оружия), описывая дугу и нанося урон врагам в области перед собой. Умение требует топоры и/или мечи.","El personaje golpea en arco con su arma (o ambas armas si empuña dos) y daña a los monstruos en un área delante de él. Solo funciona con hachas y espadas.","ตัวละครเหวี่ยงอาวุธ (หรืออาวุธทั้งสองหาก ถืออาวุธคู่) เป็นวงโค้ง สร้างความเสียหายให้กับมอนสเตอร์ในพื้นที่ด้านหน้า ต้องใช้กับ ขวานหรือดาบ เท่านั้น","在身體前方以弧狀揮動武器（雙持時則揮動兩把武器），並同時對多名敵人造成傷害。限定斧與劍。","Cleave","Art/2DArt/SkillIcons/iconcleave.dds","[1,2]","[0,7,23,19,43,27]","[9,10,11,15,16]","Wielders of the axe and sword often find themselves beset by multiple foes. Expecting this, a trained armsman will employ the deadly Cleave. With a single practiced stroke, a Cleave sweeps sideways to inflict grievous harm to anyone standing nearby, lopping off heads and limbs with ease. As a player gains skill with Cleave, they strike harder with each swing of their blade.","http://s3.amazonaws.com/pathofexile/image/skills/strength/cleave.jpg","","Cleave","",22,1,"[3977,4198,4168,5370,17236,17242,17244,17861]","[24,70,434,5407,589,17237,17238,17860]",[],1,1,[5372],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1
7,"table_charge","Table Charge","Charge à table","Frontalansturm","テーブルチャージ","탁자 돌진","Investina com Mesa","Table Charge","Table Charge","โต๊ะพุ่งชน (Table Charge)","圓盾衝鋒","Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled. Cannot be supported by Multistrike.","Une charge qui percute un ennemi avec le bouclier du personnage. L'ennemi est également repoussé et étourdi. Les ennemis sur votre chemin sont projetés sur le côté. Les dégâts et l'étourdissement sont proportionnels à la distance parcourue. Ne peut pas être modifié par Multifrappe.","Stürmt auf einen Gegner zu und trifft diesen mit dem Schild des Charakters. Das stößt den Gegner zurück und betäubt ihn. Gegner, die sich im Weg befinden, werden zur Seite geschoben. Schaden und Betäubungsdauer sind proportional zur zurückgelegten Distanz. Kann nicht durch 'Mehrfachschlag' unterstützt werden.","敵に向かって突進し、盾で強打することで、敵をはねつけ、スタンさせる。道を塞いでいる敵は、横に押しのけられる。ダメージとスタンは、移動距離に比例する。マルチストライクでサポートすることができない。","단일 대상에세 돌진하여 방패로 후려침과 동시에 적을 밀어내고 기절시킵니다. 해당 경로에 있는 적들은 옆으로 밀려납니다. 피해와 기절 효과는 이동한 거리에 비례합니다. 연속타격의 보조는 받을 수 없습니다.","Avança em um inimigo, impactando-o com o escudo do personagem e golpeando. Isso o empurrará e atordoará. Inimigos no caminho são empurrados para o lado. O Dano e atordoamento são proporcionais à distância viajada. Não pode ser suportado por Ataques Múltiplos.","Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled. Cannot be supported by Multistrike.","Carga hacia un enemigo y lo aporrea con el escudo para golpearlo. Esto lo empuja y aturde. Los enemigos en su camino son empujados a un costado. El daño y el aturdimiento son proporcionales a la distancia recorrida. No puede estar asistida por Golpes múltiples.","ชาร์จเข้าหาศัตรู ทุบด้วยโล่ของตัวละครพร้อมกับจู่โจมด้วย อาวุธประชิด ทำให้ศัตรูที่ขวางทางติดมึนและกระเด็น ความเสียหายและการทำให้มึนงงเป็นสัดส่วนกับระยะทางที่เคลื่อนที่ สกิลนี้ไม่สามารถเสริมด้วย Multistrike ได้","向一個目標衝鋒，使用盾牌對其猛擊的同時也用近戰武器順手補刀。此攻擊將會擊退目標並將其擊暈，在路徑上的敵人將會被推向兩旁。傷害與擊暈機率將視衝鋒距離而定。不能被多重打擊輔助。","TableCharge","Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2]","[0,19,20,33,78]","[6,7,9,10,11,12,32,36,56]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg",1,"TableCharge","",22,1,"[4205,4006]","[70,24]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1
8,"shield_charge","Shield Charge","Charge au bouclier","Schildansturm","シールドチャージ","방패 돌진","Investida com Escudo","Удар щитом","Carga con escudo","โล่พุ่งชน (Shield Charge)","重盾衝鋒","Charges at an enemy, bashing it with the character's shield and striking it. This knocks it back and stuns it. Enemies in the way are pushed to the side. Damage and stun are proportional to distance travelled. Cannot be supported by Multistrike.","Une charge qui percute un ennemi avec le bouclier du personnage. L'ennemi est également repoussé et étourdi. Les ennemis sur votre chemin sont projetés sur le côté. Les dégâts et l'étourdissement sont proportionnels à la distance parcourue. Ne peut pas être modifié par Multifrappe.","Stürmt auf einen Gegner zu und trifft diesen mit dem Schild des Charakters. Das stößt den Gegner zurück und betäubt ihn. Gegner, die sich im Weg befinden, werden zur Seite geschoben. Schaden und Betäubungsdauer sind proportional zur zurückgelegten Distanz. Kann nicht durch 'Mehrfachschlag' unterstützt werden.","敵に向かって突進し、盾で強打することで、敵をはねつけ、スタンさせる。道を塞いでいる敵は、横に押しのけられる。ダメージとスタンは、移動距離に比例する。マルチストライクでサポートすることができない。","상대에게 돌진하여 방패로 후려침과 동시에 적을 밀어내고 기절시킵니다. 해당 경로에 있는 적들은 옆으로 밀려납니다. 피해와 기절 효과는 이동한 거리에 비례합니다. 연속타격의 보조는 받을 수 없습니다.","Faz uma investida contra um inimigo, batendo nele com o escudo do personagem golpeando-o. Inimigos no caminho são empurrados para o lado. Dano e atordoamento são proporcionais à distância viajada. Não pode ser suportado por Ataques Múltiplos.","Герой устремляется на врага, одновременно ударяя его щитом. Атака оглушает и отбрасывает врага. Стоявшие на пути противники отталкиваются в сторону. Урон и длительность оглушения зависят от пройденного расстояния. Нельзя усилить Градом ударов.","Carga hacia un enemigo y lo aporrea con el escudo para golpearlo. Esto lo empuja y aturde. Los enemigos en su camino son empujados a un costado. El daño y el aturdimiento son proporcionales a la distancia recorrida. No puede estar asistida por Golpes múltiples.","ชาร์จเข้าหาศัตรู ทุบด้วยโล่ของตัวละครพร้อมกับจู่โจมด้วย อาวุธประชิด ทำให้ศัตรูที่ขวางทางติดมึนและกระเด็น ความเสียหายและการทำให้มึนงงเป็นสัดส่วนกับระยะทางที่เคลื่อนที่ สกิลนี้ไม่สามารถเสริมด้วย Multistrike ได้","向一個目標衝鋒，使用盾牌對其猛擊的同時也用近戰武器順手補刀。此攻擊將會擊退目標並將其擊暈，在路徑上的敵人將會被推向兩旁。傷害與擊暈機率將視衝鋒距離而定。不能被多重打擊輔助。","ShieldCharge","Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2]","[0,19,20,33,78]","[6,7,9,10,11,12,32,36,56]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg",1,"ShieldCharge","",22,1,"[4205,4006,18006]","[70,24,17922]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1
9,"new_shield_charge","Shield Charge","Charge au bouclier","Schildansturm","シールドチャージ","방패 돌진","Investida com Escudo","Удар щитом","Carga con escudo","โล่พุ่งชน (Shield Charge)","重盾衝鋒","Charges at a targeted location or enemy, pushing away enemies in your path and repeatedly dealing damage in a small area in front of you. You deal damage in a larger area when you reach the target. The further you travel, the more damage you deal, and the greater your chance of stunning enemies. Cannot be supported by Multistrike.","Une charge sur un ennemi ou un emplacement ciblé, repoussant les ennemis sur votre chemin et infligeant de façon répétée des dégâts dans une petite zone face à vous. Vous infligez des dégâts dans une zone plus grande lorsque vous atteignez la cible. Les dégâts et les chances d'étourdissement augmentent proportionnellement à la distance parcourue. Ne peut pas être modifié par Multifrappe.","Stürmt auf ein Ziel oder einen Gegner zu, schiebt diesen zur Seite und verursacht Schaden in einem kleinen Bereich vor Euch. Ihr fügt in einem größeren Bereich Schaden zu, wenn Ihr das Ziel erreicht. Je weiter der Weg, desto größer der Schaden und die Chance, Gegner zu betäuben. Kann nicht durch 'Mehrfachschlag' unterstützt werden.","対象となる場所または敵に向かって突進する。その際、道中の敵を押し退け、前方範囲内の敵にダメージを与える。対象に達した場合は、ダメージ範囲が大きくなる。遠くへ移動すればするほどダメージが増え、スタン付与確率が高くなる。マルチストライクでサポートすることができない。","대상 지점으로 돌진하여 경로상에 있는 적들을 밀어내고 피해를 주며 대상 지점에 도착 시 범위 피해를 줍니다. 또한 이동거리가 멀수록 적들에게 주는 피해가 증가하며 기절시킬 확률이 높아집니다. 연속타격의 보조는 받을 수 없습니다.","Faz uma investida em direção a um local ou inimigo, empurrando inimigos no caminho e causando dano repetidamente em uma pequena área na sua frente. Quanto mais você viajar, mais dano causará e maiores serão as chances de atordoar os inimigos. Não pode ser suportado por Ataques Múltiplos.","Герой устремляется на врага или в указанное место, отталкивая врагов на своем пути и несколько раз нанося урон в небольшой области перед собой. По достижении цели, урон наносится в большей области. Чем дальше пробежит герой, тем больше урона нанесет и тем выше будет шанс оглушения врагов. Нельзя усилить Градом ударов.","Carga hacia un lugar u enemigo objetivo, empuja a los enemigos que están en tu camino e inflige daño repetidamente en un área pequeña delante de ti. Haces daño en un área más grande cuando alcanzas el objetivo. Cuanto más lejos te traslades, mayor será el daño que inflijas y la probabilidad de aturdir a los enemigos. No puede estar asistida por Golpes múltiples.","ชาร์จเข้าไปที่พื้นที่ สร้างความเสียหายและผลักดันศัตรูออกไปนอกเส้นทางของคุณ คุณจะสร้างความเสียหายในพื้นที่ขนาดใหญ่เมื่อคุณมาถึงปลายทาง คุณเคลื่อนที่ต่อไป ความเสียหายมากขึ้นกว่าที่คุณทำ และมีโอกาสอย่างมากที่จะทำให้ศัตรูของคุณติดมึน สกิลนี้ไม่สามารถเสริมด้วย Multistrike ได้","向一個區域或目標衝鋒，將路線上的敵人推開並持續在你前方區域造成傷害。衝鋒距離越遠，造成的傷害越高，並且擊暈敵人的機率越高。不能被多重打擊輔助。","NewShieldCharge","Art/2DArt/SkillIcons/iconshieldcharge.dds","[1,2,23]","[0,9,19,7,33,78]","[6,7,9,10,11,12,32,36,56]","In the hands of a talented combatant, even a shield becomes a deadly weapon. With Shield Charge, a warrior dashes forward at a single enemy, slamming them senseless. The violence of the charge will push nearby foes out of its path, and inflict great damage on target. An opponent unlucky enough to be struck by the full brunt of a Shield Charge will be knocked back and stunned for a time.","http://s3.amazonaws.com/pathofexile/image/skills/strength/shield_charge.jpg","","NewShieldCharge","",22,1,"[4205,4006,18006]","[70,24,17922]",[],1,1,[],8,0,"","","[2,18,29,10,11,16,17,19,26,28,14,15,35,37]","","",1
