"rownum","Id","rid","i32","[rid]","[i32]","i32","i32","rid","i32","Suffix (English)","Suffix (French)","Suffix (German)","Suffix (Japanese)","Suffix (Korean)","Suffix (Portuguese)","Suffix (Russian)","Suffix (Spanish)","Suffix (Thai)","Suffix (Traditional Chinese)","rid"
0,"MemoryLineAnarchy1",2,52576,[16830],[3],4,1224,1244,0,"of Organised Chaos","d'un Chaos organisé","des organisierten Chaos","秩序だった混沌の","- 체계적 혼돈","do Caos Organizado","об организованном хаосе","de caos organizado","แห่งขบวนการความวุ่นวาย","組織混沌之",5952
1,"MemoryLineAnarchy2",2,45329,[],[],1,1225,1245,0,"of Ransacked Relics","de Reliques saccagées","der geplünderten Relikte","略奪された遺物の","- 노획당한 유물","das Relíquias Saqueadas","о разграбленных реликвиях","de reliquias saqueadas","แห่งวัตถุโบราณที่ถูกปล้น","洗劫遺物之",5952
2,"MemoryLineDomination1",8,37208,"[15506,16820]","[10,100]",6,1226,1246,0,"of Formidable Shrines","d'Autels redoutables","der gewaltigen Schreine","恐ろしい神殿の","- 강대한 성소","dos Altares Formidáveis","о грозных святилищах","de santuarios formidables","แห่งแท่นบูชาน่าเกรงขาม","強大神殿之",5952
3,"MemoryLineDomination2",8,35260,"[16683,17607]","[4,300]",3,1227,1247,0,"of the Pantheon","du Panthéon","des Pantheons","万神殿の","- 판테온","do Panteão","о Пантеоне","del panteón","แห่งทวยเทพ","眾神殿之",31513
4,"MemoryLineEssence1",9,53818,[],[],1,1228,1248,0,"of Collective Stasis","d'une Stase collective","der kollektiven Stasis","集合する静止の","- 집단적 정체","do Estase Coletivo","о коллективном заточении","de estasis colectivo","แห่งกลุ่มผู้แน่นิ่ง","集體靜止之",5952
5,"MemoryLineEssence2",9,23679,"[16695,13575,13666,15509,13667]","[1,100,1,1,100]",5,1229,1249,0,"of Crystal Prisons","de Prisons de cristal","der Kristallgefängnisse","結晶の牢獄の","- 수정 수용소","das Prisões de Cristal","о кристальных тюрьмах","de prisiones de cristal","แห่งกรงผลึก","水晶監獄之",31514
6,"MemoryLineAmbush1",1,46590,"[16853,5132]","[4,1]",4,1230,1250,0,"of Cascading Fortunes","de Richesses en cascade","der kumulierten Reichtümer","次々と迫る富の","- 쏟아지는 보물","das Cascatas de Fortunas","о череде богатств","de fortunas rebosantes","แห่งทรัพย์สมบัติพรั่งพรู","鉅額財富之",31515
7,"MemoryLineAmbush2",1,33628,"[5074,5135]","[1,2]",3,1231,1251,0,"of Hidden Behemoths","de Béhémoths cachés","der versteckten Ungeheuer","隠れしベヒモスの","- 숨은 거대괴수","dos Gigantes Escondidos","о скрытых колоссах","de monstruos ocultos","แห่งยักษ์เร้นลับ","隱匿巨獸之",5952
8,"MemoryLineBreach1",6,40744,"[16738,13309,16153]","[1,40,1]",4,1232,1252,0,"of Demonic Onslaught","d'un Assaut démoniaque","des dämonischen Ansturms","悪魔の襲来の","- 악마의 맹공","da Matança Demoníaca","о демоническом раже","de ofensiva demoníaca","แห่งปีศาจรุกราน","惡魔猛攻之",31516
9,"MemoryLineBreach2",6,36724,"[16814,13699,13548]","[1,100,100]",6,1233,1253,0,"of Grasping Hands","de Mains agrippantes","der greifenden Hände","握る手の","- 거머쥐는 손","das Mãos Aprisionadoras","о цепких руках","de puños cerrados","แห่งมือเหนี่ยวรั้ง","亡者之手之",31517
10,"MemoryLineTorment1",17,19174,[2769],[1],1,1234,1254,0,"of Self-Possession","d'une Auto-possession","der Selbstbesessenheit","取り憑かれた集中力の","- 침착성","da Serenidade","о самоистязании","de autoposesión","แห่งการถูกเข้าสิง","自我侵占之",5952
11,"MemoryLineTorment2",17,24671,[2769],[1],3,1235,1255,0,"of Tormented Souls","d'Âmes tourmentées","der Gequälten Seelen","苦しめられた魂の","- 고통받는 영혼","das Almas Atormentadas","о страдающих душах","de almas atormentadas","แห่งผีตายโหง","罪魂之",31518
12,"MemoryLineHarbinger1",18,24813,"[16841,16895]","[1,50]",4,1236,1256,0,"of Survivor's Guilt","d'un Syndrome du survivant","der Schuld des Überlebenden","生存者の罪悪感の","- 생존자의 죄책감","da Culpa do Sobrevivente","о вине выжившего","del síndrome del superviviente","แห่งความรู้สึกผิดของผู้รอดชีวิต","倖存罪惡之",31519
13,"MemoryLineHarbinger2",18,29521,[16712],[1],4,1237,1257,0,"of Phaaryl","de Phaaryl","von Phaaryl","ファーアリルの","- 파아릴","de Phaaryl","о Фаариле","de Phaaryl","แห่งฟาร์ริล","法瑞爾之",31520
14,"MemoryLineBestiary1",3,50665,[2311],[2],3,1238,1258,0,"of Harvest Beasts","de Bêtes","der Erntebestien","ハーベストビーストの","- 수확 야수","das Bestas Colhidas","о чудовищах Жатвы","de bestias de la cosecha","แห่งสัตว์ร้ายฮาร์เวสต์","豐收野獸之",31521
15,"MemoryLineBestiary2",3,46008,"[2311,13748]","[2,100]",4,1239,1259,0,"of the Menagerie","de la Ménagerie","der Menagerie","怪獣園の","- 야수관","do Viveiro","о питомнике","del animalario","แห่งสวนสัตว์","獸園之",5952
16,"MemoryLineIncursion1",13,23896,"[1362,2335,13783]","[100,1,50]",4,1240,1260,0,"of Reverse Incursion","d'une Incursion inversée","der umgekehrten Inkursion","逆インカージョンの","- 역기습","da Incursão Revertida","об обратном вмешательстве","de incursión invertida","แห่งการย้อนเวลากลับหลัง","逆襲之",31522
17,"MemoryLineBetrayal1",4,60599,[2311],[6],1,1241,1261,0,"of Bounty Hunters","de Chasseurs de primes","der Kopfgeldjäger","賞金稼ぎの","- 현상금 사냥꾼","dos Caçadores de Recompensa","об охотниках за сокровищами","de cazarrecompensas","แห่งนักล่าค่าหัว","賞金獵人之",5952
18,"MemoryLineHarvest1",11,39024,"[16825,16827,16867]","[1,1,1]",4,1242,1262,0,"of the Sacred Grove","du Bosquet sacré","des Heiligen Hains","聖なる木立の","- 신성한 숲","do Bosqueu Sagrado","о Священной роще","del huerto sagrado","แห่งสวนศักดิ์สิทธิ์","聖殿密園之",31523
19,"MemoryLineAbyss1",0,55290,[16149],[1],4,1243,1263,0,"of Chasms","de Gouffres","der Abgründe","裂け目の","- 절벽길","dos Abismos","о пропастях","de abismos","แห่งหลุมลึก","裂谷之",31524
