"rownum","Oil","Tier","Achievements","UseType","NameShort (English)","NameShort (French)","NameShort (German)","NameShort (Japanese)","NameShort (Korean)","NameShort (Portuguese)","NameShort (Russian)","NameShort (Spanish)","NameShort (Thai)","NameShort (Traditional Chinese)"
0,9466,0,[7721],1,"Tainted","Impure","Verderbt","汚染された","더럽혀진","Contaminado","Заражённое","Contaminado","Tainted","汙染"
1,9467,0,[],2,"Reflective","Réfléchissante","Spiegelnd","反射する","투영","Refletivo","Зеркальное","Reflector","Reflective","映像"
2,9468,1,[7721],0,"Clear","Limpide","Klar","澄んだ","투명","Claro","Прозрачное","Claro","Clear","清透"
3,9469,2,[7721],0,"Sepia","Sépia","Sepiafarben","セピア色","적갈빛","Sépia","Коричневое","Sepia","Sepia","深褐"
4,9470,3,[7721],0,"Amber","Ambrée","Bernsteinfarben","琥珀色","호박색","Âmbar","Янтарное","Ámbar","Amber","琥珀"
5,9471,4,[7721],0,"Verdant","Émeraude","Grün","新緑色","신록빛","Verdejante","Изумрудное","Verde","Verdant","翠綠"
6,9472,5,[7721],0,"Teal","Turquoise","Blaugrün","青緑色","청록빛","Cerceta","Бирюзовое","Verde azulado","Teal","清綠"
7,9473,6,[7721],0,"Azure","Azurée","Azurblau","淡青色","담청색","Azul-Celeste","Лазурное","Azur","Azure","碧藍"
8,9474,7,[7721],0,"Indigo","Indigo","Indigofarben","藍色","남색","Índigo","Индиго","Índigo","Indigo","靛青"
9,9475,8,[7721],0,"Violet","Violette","Violett","スミレ色","보랏빛","Violeta","Фиолетовое","Violeta","Violet","奼紫"
10,9476,9,[7721],0,"Crimson","Carmin","Blutrot","深紅色","진홍색","Carmesim","Алое","Carmín","Crimson","緋紅"
11,9477,10,[7721],0,"Black","Ébène","Schwarz","黒色","검은색","Negro","Чёрное","Negro","Black","漆黑"
12,9478,11,[7721],0,"Opalescent","Opalescente","Opalisierend","乳白色","오팔색","Opalescente","Перламутровое","Opalescente","Opalescent","乳白"
13,9479,12,[7721],0,"Silver","Argentée","Silbern","銀色","은","Prateado","Серебряное","Plateado","Silver","純銀"
14,9480,13,[7721],0,"Golden","Dorée","Golden","金色","황금","Dourado","Золотое","Dorado","Golden","金黃"
