"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","VideoURL1","SkillGemsKey","VideoURL2","CharactersKeys"
0,"Blight&ArcaneSurge","Grants a temporary buff after spending enough mana with Blight. The buff grants Blight more spell damage, and mana regeneration for sustaining casting.","Octroie un effet bénéfique temporaire lorsque vous dépensez suffisamment de Mana en canalisant Fléau. Cet effet bénéfique vous donne Davantage de Dégâts des sorts, ainsi qu'une Augmentation de Vitesse d'incantation et de Régénération de Mana pour vous permettre de maintenir le sort plus longtemps.","Gewährt eine vorübergehende Stärkung, nachdem man mit 'Pesthauch' genug Mana verbraucht hat. Die Stärkung gewährt 'Pesthauch' mehr Zauberschaden und die Manaregeneration stellt Mana für durchgehendes Zaubern bereit.","ブライトでマナを一定以上消費すると、一時的なバフを付与する。バフにより、ブライトのスペルダメージと、スペルを維持するためのマナ自動回復が増加する。","황폐로 충분한 마나를 소모한 후 일시적인 버프를 부여합니다. 이 버프는 황폐의 주문 피해를 증폭시키고, 주문을 시전하는 동안 마나 재생 속도를 증가시킵니다.","Concede um buff temporário ao gastar mana suficiente com a Blight. O buff concede a Blight mais dano mágico e regeneração de mana para sustentar a conjuração.","Дает временный положительный эффект после расхода некоторого количества маны Мором. Положительный эффект дает Мору больше урона от чар и регенерацию маны для поддержания сотворения.","Otorga una bonificación temporal después de gastar suficiente maná con Plaga. La bonificación le otorga más daño de hechizos y regeneración de maná a Plaga para que puedas lanzarla de forma sostenida. ","ให้บัฟชั่วคราวหลังจากใช้มานาถึงกำหนดจากการร่าย แพร่โรคร้าย (Blight) บัฟนี้จะเพิ่มความเสียหาย เวท ให้กับ แพร่โรคร้าย อีก และเพิ่มการ ฟื้้นฟูมานา เพื่อให้การร่ายไม่ติดขัดอีกด้วย","用萎滅消耗足夠的魔力後，會獲得一個短暫的增益效果。此增益效果使萎滅造成更多法術傷害、魔力回復來持續施放。","http://web.poecdn.com/public/videos/Blight/Blight+Arcane%20Surge.bk2 ",338,"http://down.qq.com/poe/videos/skills/Blight/Blight+ArcaneSurge.bk2","[1,6,2,5]"
1,"Blight&ControlledDestruction","Grants more spell damage but reduces critical strike chance. However, Blight cannot critically hit meaning Controlled Destruction gives more spell damage with no drawbacks.","Octroie Davantage de Dégâts des sorts, mais réduit les chances d'infliger un Coup critique. Cela dit, Fléau ne peut pas infliger de Coups critiques, ce qui signifie qu'il profite pleinement des avantages apportés par Soutien : Destruction maîtrisée sans en subir les inconvénients.","Gewährt mehr Zauberschaden, doch verringert die Chance auf kritische Treffer. Da 'Pesthauch' jedoch keine kritischen Treffer erzielen kann, gewährt 'Unterstützung: Kontrollierte Zerstörung' also mehr Zauberschaden, ohne dafür Nachteile in Kauf nehmen zu müssen.","スペルダメージの上昇を付与するが、クリティカル率が低下する。しかし、ブライトはクリティカルを与えることができないのでコントールドデストラクションはデメリットなしにスペルダメージを上昇させる。","주문 피해가 증폭되지만 치명타 확률은 감소합니다. 하지만 황폐가 치명타로 적중하지 않더라도 제어된 파괴의 효과로 온전히 증폭된 주문 피해를 줄 수 있습니다.","Concede mais dano mágico, mas reduz a chance de golpe crítico. Contudo, Mangra não pode causar acertos críticos, o que significa que Destruição Controlada dá mais dano mágico sem nenhum efeito negativo.","Дает больше урона от чар, но снижает шанс критического удара. Однако, невозможность нанести критический удар Мором означает, что Контролируемое разрушение даст больше урона от чар без каких-либо недостатков.","Otorga más daño de hechizos, pero reduce la probabilidad de golpe crítico. Sin embargo, debido a que Plaga no puede asestar golpes críticos, Destrucción controlada otorga más daño de hechizos sin ninguna desventaja.","เพิ่มความเสียหาย เวท อีก แต่ลดโอกาสคริติคอล แต่ทว่า แพร่โรคร้าย (Blight) ไม่สามารถคริติคอลได้อยู่แล้ว นั่นหมายความว่า Controlled Destruction จะเพิ่มความเสียหาย เวท โดยไม่มีข้อเสียใดๆ","獲得更多法術傷害，但會減少暴擊率。但萎滅不會造成暴擊，因此精準破壞提供更多法術傷害且沒有副作用。","http://web.poecdn.com/public/videos/Blight/Blight+Controlled%20Destruction.bk2 ",306,"http://down.qq.com/poe/videos/skills/Blight/Blight+ControlledDestruction.bk2",[]
2,"Blight&Efficacy","Increases the damage over time and spell damage of Blight. The increased skill effect duration also increases the duration of Blight's debuff on enemies.","Augmente les Dégâts sur la durée et les Dégâts des sorts de Fléau. L'Augmentation de durée d'effet prolonge également la durée de l'effet néfaste de Fléau sur les ennemis.","Erhöht den Schaden über Zeit und Zauberschaden von 'Pesthauch'. Die verlängerte Fertigkeitseffektdauer erhöht zudem die Dauer der Pesthauch-Schwächung auf Gegnern.","ブライトの継続ダメージとスペルダメージが増加する。スキルエフェクトの持続時間を増加させることでブライトの敵に対するデバフ持続時間も増やすことができる。","황폐의 지속 피해와 주문 피해가 증가합니다. 스킬 효과의 지속시간이 증가하여 적에게 적용되는 황폐의 지속시간 또한 증가합니다.","Aumenta o dano degenerativo e dano mágico da gema Mangra. A duração aumentada da habilidade também aumenta a duração do debuff da Mangra nos inimigos.","Увеличивает постепенный урон и урон от чар Мора. Увеличенная длительность эффекта умения также увеличивает длительность отрицательного эффекта Мора на врагах.","Aumenta el daño degenerativo y el daño de hechizos de Plaga. La duración aumentada del efecto de la habilidad también aumenta la duración de la penalidad de Plaga en los enemigos.","เพิ่มความเสียหายต่อเนื่อง และความเสียหาย เวท ให้กับ แพร่โรคร้าย (Blight) และการเพิ่มระยะเวลาส่งผลของสกิลยังมีผลต่อระยะเวลาดีบัฟของ แพร่โรคร้าย ต่อศัตรูอีกด้วย ","增加萎滅的持續傷害和法術傷害。增加技能效果持續時間同時也會增加萎滅在敵人身上減益效果的持續時間。","http://web.poecdn.com/public/videos/Blight/Blight+Efficacy.bk2 ",330,"http://down.qq.com/poe/videos/skills/Blight/Blight+Efficacy.bk2",[]
3,"Blight&SwiftAffliction","Decreases the total duration of Blight's debuff effect but compensates for this by increasing damage over time dealt by Blight.","Réduit la durée totale de l'effet néfaste de Fléau, mais augmente en contrepartie ses Dégâts sur la durée.","Verringert die Gesamtdauer der Pesthauch-Schwächung, gleicht dies jedoch durch eine Erhöhung des Schadens, den 'Pesthauch' über Zeit verursacht, wieder aus.","ブライトのデバフ効果時間を減少させるが、代わりにブライトのスペル継続ダメージが増加する。","황폐가 주는 디버프의 총 지속시간이 감소하지만 황폐의 지속 피해는 증가합니다.","Reduz a duração total do efeito do debuff da gema Mangra, mas compensa aumentando o dano degenerativo causado por ela.","Уменьшает общую длительность отрицательного эффекта Мора, но в качестве компенсации увеличивает постепенный урон от Мора.","Disminuye la duración total de la penalidad de Plaga, pero lo compensa aumentando el daño degenerativo que inflige.","ลดระยะเวลาผลของดีบัฟทั้งหมดของ แพร่โรคร้าย (Blight) แต่ก็แลกมาด้วยการเพิ่มความเสียหายต่อเนื่องของ แพร่โรคร้าย","減少萎滅減益效果的持續時間，但作為補償會增加萎滅造成的持續傷害。","http://web.poecdn.com/public/videos/Blight/Blight+SwiftAffliction.bk2 ",307,"http://down.qq.com/poe/videos/skills/Blight/Blight+SwiftAffliction.bk2",[]
4,"Blight&IncreasedAreaOfEffect","Increases the area of effect of Blight allowing it to affect a greater number of targets at once.","Augmente la Zone d'effet de Fléau, lui permettant ainsi d'affecter un plus grand nombre d'ennemis à la fois.","Vergrößert den Wirkungsbereich von 'Pesthauch', wodurch die Schwächung gleichzeitig auf mehr Gegner angewendet werden kann.","ブライトの効果範囲が増加し、一度により多くの敵をターゲットできるようになる。","황폐의 효과 범위가 증가해 한 번에 더 많은 대상에게 영향을 줍니다.","Aumenta a área de efeito do Mangra, permitindo que ele afete uma maior quantidade de alvos por vez.","Увеличивает область действия Мора, что позволяет единовременно поразить большее количество целей.","Aumenta el área de efecto de Plaga, lo que permite que afecte a un número mayor de objetivos a la vez.","เพิ่มพื้นที่ส่งผลให้กับ แพร่โรคร้าย (Blight) และทำให้มันสามารถส่งผลต่อเป้าหมายจำนวนมากขึ้นในคราวเดียว","增加萎滅的範圍效果，可以使它一次影響大量的目標。","http://web.poecdn.com/public/videos/Blight/Blight+IncreasedArea%20of%20Effect.bk2",40,"http://down.qq.com/poe/videos/skills/Blight/Blight+IncreasedArea.bk2",[]
5,"FreezingPulse&LMP","Increases the amount of projectiles Freezing Pulse casts, allowing it to hit more targets at once.\n\nAt later levels, obtain the Greater Multiple Projectiles Support gem to hit enemies in a larger area.","Augmente la quantité de projectiles envoyés par Pulsation glaciale, permettant ainsi au sort de toucher plusieurs ennemis à la fois.\n\nPlus tard, vous pourrez également vous procurer Soutien : Projectiles multiples majeurs afin couvrir encore plus de terrain.","Erhöht die Projektilanzahl von 'Frostpuls', wodurch man gleichzeitig mehr Ziele auf einmal treffen kann.\n\nIm späteren Spielverlauf kann man die Gemme durch 'Unterstützung: Größere Projektilaufteilung' ersetzen, um damit Gegner in einem größeren Bereich zu treffen.","フリージングパルスが放つ投射物の数が増加し、一度により多くの敵にヒットする。\n\nレベルが上がり投射物追加（大）サポートジェムを手に入れれば、より広範囲の敵をヒットできるようになる。","동결 파동 시전 시, 더 많은 투사체를 만들어 한 번에 더 많은 대상을 명중시킵니다.\n\n레벨이 높아지면 상위 다중 투사체 보조 젬을 사용하여 더 넓은 범위에 있는 적을 명중시킬 수도 있습니다.","Aumenta a quantidade de projéteis que o Pulso Congelante conjura, permitindo que ele acerte mais alvos por vez.\n\nEm níveis superiores, adicione a gema de Suporte: Projéteis Múltiplos Maior para acertar inimigos em uma área maior.","Увеличивает количество снарядов Волны холода, позволяя ей единовременно поразить больше целей.\n\nНа более высоких уровнях возьмите камень поддержки Много дополнительных снарядов, чтобы нанести удары врагам в большей области.","Aumenta la cantidad de proyectiles que dispara Pulso Congelante, lo que permite que golpee a un número mayor de objetivos a la vez.\n\nA mayor nivel, obtén la gema de Asistencia de Proyectiles Múltiples Mayores para golpear enemigos en un área más grande.","เพิ่มจำนวนกระสุนที่ร่ายออกมาจาก คลื่นเยือกแข็ง (Freezing Pulse) ทำให้มันปะทะได้หลายเป้าหมายในคราวเดียว\n\nเมื่อเลเวลสูงขึ้น เปลี่ยนไปใช้ หินเสริม Greater Multiple Projectiles เพื่อปะทะศัตรูหลายตัวในพื้นที่ที่ใหญ่กว่าเดิม","增加冰霜脈衝的投射物數量，可以一次擊中大量的目標。\n\n在高等後可以獲得高階多重投射物輔助，可以擊中更大範圍的敵人。","http://web.poecdn.com/public/videos/FreezingPulse/FreezingPulse+LesserMultipleProjectiles.bk2 ",36,"http://down.qq.com/poe/videos/skills/FreezingPulse/FreezingPulse+LMP.bk2","[2,4,5,3,1]"
6,"FreezingPulse&ColdPenetration","Reduces enemy resistance to cold damage, making them take more cold damage from Freezing Pulse.","Réduit la Résistance au froid des ennemis, permettant ainsi à Pulsation glaciale de leur infliger plus de Dégâts de froid.","Verringert den Kältewiderstand von Gegnern und lässt diese durch 'Frostpuls' mehr Kälteschaden erleiden.","敵の冷気ダメージへの耐性を下げ、敵がフリージングパルスから受ける冷気ダメージを上昇させる。","적의 냉기 피해 저항을 감소시켜, 동결 파동에 더 큰 냉기 피해를 받게 합니다.","Reduz a resistência a gelo dos inimigos, fazendo com que sofram mais dano de gelo do Pulso Congelante.","Уменьшает вражеское сопротивление холоду, заставляя их получать больше урона от холода от Волны холода.","Reduce la resistencia de los enemigos al daño de hielo, y con esto aumenta el daño que reciben cuando son golpeados por pulso congelante.","ลดค่าต้านทาน น้ำแข็ง ของศัตรู ทำให้มันได้รับความเสียหาย น้ำแข็ง จาก คลื่นเยือกแข็ง (Freezing Pulse) เพิ่มขึ้น อีก","減少敵人的冰冷抗性，使他們承受更多冰霜脈衝的冰冷傷害。","http://web.poecdn.com/public/videos/FreezingPulse/FreezingPulse+ColdPenetration.bk2 ",174,"http://down.qq.com/poe/videos/skills/FreezingPulse/FreezingPulse+ColdPenetration.bk2",[]
7,"FreezingPulse&ControlledDestruction","Grants more spell damage to Freezing Pulse but reduces critical strike chance. The more spell damage provided by this support allows a direct and stable increase in damage not contingent on critical strikes.","Octroie Davantage de Dégâts des sorts à Pulsation glaciale, mais réduit ses chances d'infliger un Coup critique. Cette Gemme de soutien a pour avantage d'améliorer vos dégâts de manière fiable, puisque vous dépendrez moins du hasard des Coups critiques.","Verringert zwar die Chance auf kritische Treffer, gewährt 'Frostpuls' jedoch mehr Zauberschaden, der zu einer direkten und stabilen Schadenserhöhung führt, die nicht von kritischen Treffern abhängig ist.","フリージングパルスのスペルダメージが上昇するが、クリティカル率が低下する。このサポートによるダメージはクリティカルに左右されず、直接的で安定したダメージ増加を可能にする。","동결 파동의 주문 피해가 증폭하지만 치명타 확률은 감소합니다. 이 영향으로 주문 피해가 증폭하여 치명타에 의존하지 않아도 안정적이면서 직접적으로 더 많은 피해를 줄 수 있습니다.","Concede mais dano mágico ao Pulso Congelante mas reduz a chance de golpes críticos. O modificador de \""mais dano mágico\"" concedido por este suporte permite um aumento direto e estável de dano independente dos golpes críticos.","Дает больше урона от чар Волне холода, но снижает шанс критического удара. Свойство \""больше урона от чар\"", которое дает этот камень поддержки, обеспечивает прямое и стабильное увеличение урона, не зависящее от критических ударов.","Otorga más daño de hechizos a Pulso Congelante, pero reduce su probabilidad de golpe crítico. El aumento de daño de hechizos que otorga esta asistencia permite un aumento directo y estable del daño que no depende de los golpes críticos.","เพิ่มความเสียหาย เวท อีก ให้กับ คลื่นเยือกแข็ง (Freezing Pulse) แต่ลดโอกาสคริติคอล การเพิ่มความเสียหาย เวท อีก ของหินเสริมนี้จะเป็นการเพิ่มความเสียหายโดยตรงและเสถียรกว่าความเสียหายคริติคอลที่เอาแน่เอานอนไม่ได้","冰霜脈衝獲得更多法術傷害，但會減少暴擊率。此輔助會提供更多法術傷害，直接並穩定的增加傷害，並不用依靠暴擊。","http://web.poecdn.com/public/videos/FreezingPulse/FreezingPulse+ControlledDestruction.bk2 ",306,"http://down.qq.com/poe/videos/skills/FreezingPulse/FreezingPulse+ControlledDestruction.bk2",[]
8,"FreezingPulse&FasterProjectiles","Increases Freezing Pulse's projectile speed, increasing the maximum distance that the projectiles travel. This allows Freezing Pulse to hit targets further away.","Augmente la Vitesse des projectiles de Pulsation glaciale et, par conséquent, la distance qu'ils parcourent. Cela permet donc à Pulsation glaciale de toucher des ennemis plus éloignés.","Erhöht die Geschwindigkeit von Frostpuls-Projektilen und die maximale Distanz, die diese zurücklegen können. Hierdurch kann 'Frostpuls' weiter entfernte Ziele treffen.","フリージングパルスの投射物のスピードと、最大到達距離を増加させる。これにより、フリージングパルスが遠くの敵もヒットできるようになる。","동결 파동의 투사체 속도가 증가하여, 투사체가 날아가는 최대 거리가 증가합니다. 즉, 동결 파동의 사거리가 늘어납니다.","Aumenta a velocidade dos projéteis do Pulso Congelante, aumentando a distância máxima que os projéteis viajam. Isso permite que o Pulso Congelante acerte alvos mais distantes.","Повышает скорость снарядов Волны холода, увеличивая максимальную дальность полета снарядов. Это позволит Волне холода поразить врагов, находящихся вдали.","Aumenta la velocidad de los proyectiles de Pulso Congelante, lo que a su vez aumenta la distancia máxima que viajarán los proyectiles. Esto permite que Pulso Congelante golpee objetivos que están más lejos.","เพิ่มความเร็วของกระสุน คลื่นเยือกแข็ง (Freezing Pulse) ทำให้กระสุนที่พุ่งออกไปมีระยะทางสูงสุดเพิ่มขึ้น จึงทำให้ คลื่นเยือกแข็ง สามารถปะทะเป้าหมายที่อยู่ไกลออกไปได้","增加冰霜脈衝投射物的速度，增加投射物飛行的最遠距離。可以使冰霜脈衝擊重更遠的目標。","http://web.poecdn.com/public/videos/FreezingPulse/FreezingPulse+FasterProjectiles.bk2 ",37,"http://down.qq.com/poe/videos/skills/FreezingPulse/FreezingPulse+FasterProjectiles.bk2",[]
9,"FreezingPulse&SpellEcho","Repeats Freezing Pulse an additional time while also greatly increasing the cast speed.","Répète l'incantation de Pulsation glaciale tout en augmentant sa Vitesse d'incantation.","Wiederholt 'Frostpuls' ein zusätzliches Mal und erhöht zudem stark die Zaubergeschwindigkeit.","フリージングパルスを追加でもう一度繰り返すとともに、キャストスピードも大幅に増加させる。","동결 파동이 1회 더 시전되며 시전 속도도 크게 증가합니다.","Repete o Pulso Congelante uma vez adicional, aumentando amplamente a velocidade de conjuração.","Ещё один раз повторно сотворяет Волну холода и значительно повышает скорость её сотворения.","Repite Pulso Congelante una vez adicional al mismo tiempo que aumenta en gran medida su velocidad de lanzamiento.","ทำให้ คลื่นเยือกแข็ง (Freezing Pulse) เกิดซ้ำเพิ่มเติม 1 ครั้ง และเพิ่มความเร็วในการร่ายเป็นอย่างยิ่ง","重複施放冰霜脈衝一次，同時也會增加施放速度。","http://web.poecdn.com/public/videos/FreezingPulse/FreezingPulse+SpellEcho.bk2 ",189,"http://down.qq.com/poe/videos/skills/FreezingPulse/FreezingPulse+SpellEcho.bk2",[]
