"rownum","Id","Reward (English)","Reward (French)","Reward (German)","Reward (Japanese)","Reward (Korean)","Reward (Portuguese)","Reward (Russian)","Reward (Spanish)","Reward (Thai)","Reward (Traditional Chinese)","Icon","Downside (English)","Downside (French)","Downside (German)","Downside (Japanese)","Downside (Korean)","Downside (Portuguese)","Downside (Russian)","Downside (Spanish)","Downside (Thai)","Downside (Traditional Chinese)","Item","Count","RewardCategory"
0,"ConvertCurrentShieldToGold","Gain Aureus coins equal to the amount of Inspiration removed","Gagnez autant d'Aureus que l'Inspiration supprimée","Erhaltet Aurei-Münzen in Höhe der entfernten Menge an Inspiration","取り除かれた勇気と同量のアウレウスコインを得る","제거된 영감의 양과 동일한 아우레우스 코인 획득","Ganhe Moedas Aureus igual a quantidade de Inspiração removida","Дарует Аурус в размере утраченного вдохновения","Obtienes una cantidad de áureos igual a la cantidad de inspiración eliminada","ได้รับ เหรียญออเรอัส เท่ากับจำนวนของ แรงบันดาลใจที่ถูกกำจัด","獲得等同於移除啟發總量的奧瑞厄斯幣","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainAureusEqualToInspirationRemoved","Remove all Inspiration","Supprime toute l'Inspiration","Entfernt sämtliche Inspiration","勇気をすべて失う","모든 영감 제거","Remove toda a Inspiração","Удаляет всё вдохновение","Elimina toda tu inspiración","กำจัดแรงบันดาลใจ ทั้งหมด","移除全部啟發","",0,""
1,"ConvertMaxHealthToShield","All but 1 Maximum Resolve is converted to Inspiration","Toute la Résolution Maximale sauf 1 est convertie en Inspiration","Sämtliche bis auf 1 maximale Willenskraft wird zu Inspiration umgewandelt","決心の最大値を1残して残りをすべて勇気に変換する","투지 최대치 1을 제외한 모든 투지를 영감으로 전환","Toda a Determinação menos 1 é convertida em Inspiração","Вся решимость выше 1 становится вдохновением","Toda tu resolución excepto 1 se convierte en inspiración","แปลง ความมุ่งมั่นสูงสุด ทั้งหมดเหลือเพียง 1 เป็น แรงบันดาลใจ","除了最大決心 1，全部轉化至啟發","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ConvertMaxResolveToInspiration","Maximum Resolve is 1","La Résolution Maximale devient 1","Maximale Willenskraft beträgt 1","決心の最大値 1","투지 최대치 1","Determinação Máxima é 1","Максимум решимости равен 1","Tu resolución máxima es 1","ความมุ่งมั่นสูงสุด กลายเป็น 1","最大決心為 1","",0,""
2,"Convert50%HealthToGold","Gain 50% of current Resolve as Aureus coins","Gagnez 50% de votre Résolution actuelle en Aureus","Erhaltet 50% der aktuellen Willenskraft als Aurei-Münzen","決心の現在の値の50％と同量のアウレウスコインを得る","현재 투지의 50%를 아우레우스 코인으로 획득","Ganhe 50% da Determinação atual como moedas Aureus","Превращает 50% текущей решимости в Аурус","Ganas el 50% de tu resolución actual como áureos","ได้รับ เหรียญออเรอัส เท่ากับ ความมุ่งมั่นที่มี 50%","獲得 50% 目前決心的奧瑞厄斯幣","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainResolveAsAureusLoseCurrentResolve","Lose 50% of current Resolve","Perdez 50% de votre Résolution actuelle","Verliert 50% der aktuellen Willenskraft","現在の決心の50％を失う","현재 투지의 50% 상실","Perca 50% da Determinação atual","Вы теряете 50% от текущей решимости","Pierdes el 50% de tu resolución actual","สูญเสียความมุ่งมั่นที่มี 50%","失去 50% 目前決心","",0,""
3,"ExchangeResolveForInspiration","Gain 100 Inspiration","Gagnez 100 en Inspiration","Erhaltet 100 Inspiration","勇気を100得る","영감 100 획득","Ganhe 100 de Inspiração","Дарует 100 вдохновения","Ganas 100 de inspiración","ได้รับแรงบันดาลใจ 100","獲得 100 啟發","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ExchangeResolveForInspiration","Lose 200 Resolve","Perdez 200 en Résolution","Verliert 200 Willenskraft","決心を200失う","투지 200 상실","Perca 200 de Determinação","Вы теряете 200 решимости","Pierdes 200 de resolución","สูญเสียความมุ่งมั่น 200","失去 200 決心","",0,""
4,"MerchantHeal","Gain 50 Resolve","Gagnez 50 en Résolution","Erhaltet 50 Willenskraft","決心を50得る","투지 50 획득","Ganhe 50 de Determinação","Дарует 50 решимости","Ganas 50 de resolución","ได้รับความมุ่งมั่น 50","獲得 50 決心","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/MerchantHealingFlask","","","","","","","","","","","",0,""
5,"CurrencyBlacksmithsWhetstone4","","","","","","","","","","","","","","","","","","","","","",0,4,29
6,"CurrencyBlacksmithsWhetstone6","","","","","","","","","","","","","","","","","","","","","",0,6,29
7,"CurrencyBlacksmithsWhetstone8","","","","","","","","","","","","","","","","","","","","","",0,8,29
8,"CurrencyArmourersScrap4","","","","","","","","","","","","","","","","","","","","","",4,4,30
9,"CurrencyArmourersScrap6","","","","","","","","","","","","","","","","","","","","","",4,6,30
10,"CurrencyArmourersScrap8","","","","","","","","","","","","","","","","","","","","","",4,8,30
11,"CurrencyOrbofTransmutation3","","","","","","","","","","","","","","","","","","","","","",10,3,31
12,"CurrencyOrbofTransmutation4","","","","","","","","","","","","","","","","","","","","","",10,4,31
