"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ModsKey","ArtFile","BetrayalUpgradeSlotsKey","[i32]","ItemVisualIdentityKey0","ItemVisualIdentityKey1","GrantedEffectsKey","i32","ItemClassesKey"
0,"NoItem","None","Aucun","Keine","装備無し","없음","Nenhum","Нет","Ninguno","ไม่มี","無","","","","","","","","","","",[],"",5,[],"","","",0,""
1,"Boots1","Korim's Journey","Périple de Korim","Korims Reise","コリムの旅","코림의 여정","Jornada de Korim","Странствие Корима","Travesía de Korim","การสัญจรของโคริม","庫姆的旅程","Increased Movement Speed","Bénéficie d'une Augmentation de Vitesse de déplacement","Erhöhte Bewegungsgeschwindigkeit","移動スピード増加","이동 속도 증가","Velocidade de Movimento Aumentada","Повышение скорости передвижения","Velocidad de movimiento aumentada","เพิ่มความเร็วในการเคลื่อนที่","增加移動速度",[17962],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/KorimsJourney",1,[],"","","",1,""
2,"Boots2","Azal's Alacrium","Alacrité d'Azal","Azals Lebhaftigkeit","アザールの熱狂","아잘의 활력","Alacrium de Azal","Рвение Азала","Alacridad de Azar","ความกระปรี้กระเปร่าของเอซาล","艾札的飛謎","Attack Speed","Bonus de Vitesse d'attaque","Angriffsgeschwindigkeit","アタックスピード","공격 속도","Velocidade de Ataque","Скорость атаки","Velocidad de movimiento","ความเร็วในการโจมตี","攻擊速度",[17963],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AzalsAlacrium",1,[],"","","",1,""
3,"Boots3","Harimal's Invasion","Invasion d'Harimal","Harimals Invasion","ハリマルの侵攻","하리말의 침략","Invasão de Harimal","Вторжение Харимала","Invasión de Harimal","การรุกรานของฮาริมาล","赫爾默的侵略","Onslaught on Hit","Gagne Assaut au Toucher","Ansturm bei Treffer","ヒット時猛攻","명중 시 맹공","Agressividade ao Acertar","Боевой раж при нанесении удара","Fervor con cada golpe","ได้รับสถานะ เร่งราวี เมื่อปะทะ","擊中時猛攻",[17964],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsInvasion",1,[],"","","",1,""
4,"Boots4","Urdamel's Age","Ancienneté d'Urdamel","Urdamels Alter","ウルダメルの時代","울다멜의 시대","Era de Urdamel","Век Урдамела","Edad de Urdamel","อายุของเออร์ดาเมล","歐德梅爾的衰老","Increased Life","Bénéficie d'une Augmentation de Vie","Erhöhtes Leben","ライフ増加","생명력 증가","Vida Aumentada","Увеличение здоровья","Vida aumentada","เพิ่มพลังชีวิต","增加生命",[17965],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/UrdamelsAge",1,[],"","","",1,""
5,"Boots5","Tau Poh's Toes","Orteils de Tau Poh","Tau Pohs Zehen","タウ・ポーの爪先","타우 포의 발가락","Dedões de Tau Poh","Мыски Тау По","Dedos del Pie de Tau Poh","นิ้วเท้าของเทา โพห์","陶波的腳趾","Cast Speed","Bonus de Vitesse d'incantation","Zaubergeschwindigkeit","キャストスピード","시전 속도","Velocidade de Conjuração","Скорость сотворения чар","Velocidad de lanzamiento de hechizos","ความเร็วในการร่าย","施放速度",[17966],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsToes",1,[],"","","",1,""
6,"Boots6","Lorag's Firestarter","Allume-feu de Lorag","Lorags Brandstifter","ロラッグの点火剤","로락의 부싯돌","Incendeador de Lorag","Разжигатель Лорага","Chispa de Lorag","เชื้อไฟของลอแร็ก","羅格的打火石","Physical Damage added as Fire. All Damage Ignites","Profite d'un Rajout de Dégâts physiques en feu. Tous ses Dégâts Embrasent","Physischer Schaden als Feuer hinzugefügt. Jeglicher Schaden entzündet","物理ダメージを火ダメージとして追加。全てのダメージで発火付与","물리 피해가 화염 피해에 추가. 모든 피해가 점화 유발","Dano Físico adicional como Fogo. Todo Dano Incendeia","Физический урон добавляется в виде урона от огня. Весь урон накладывает поджог","Daño físico agregado como fuego. Todo el daño quema","เสริมไฟจากกายภาพ สร้างสถานะ ลุกไหม้","物理傷害附加火焰。所有傷害點燃",[17967],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/LoragsFirestarter",1,[],"","","",1,""
7,"Boots7","Tekiton's Heel","Talons de Tekiton","Tekitons Ferse","テキトンの踵","테키톤의 뒤꿈치","Calcanhar de Tekiton","Шпора Текитона","Taco de Tekiton","ส้นเท้าของเทคิตอน","泰肯特的腳跟","Stun Chance","A des Chances d'Étourdissement","Chance auf Betäuben","スタン付与確率","기절 확률","Chance de Atordoamento","Шанс оглушить","Probabilidad de aturdimiento","มีโอกาสสร้างสถานะ มึนงง","暈眩機率",[17968],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TekitonsHeel",1,[],"","","",1,""
8,"Boots8","Elgan's Crossing","Passage d'Elgan","Elgans Überquerung","エルガンの航海","엘간의 횡단","Travessia de Elgan","Переход Элгана","Cruce de Elgan","ทางข้ามของเอลแกน","艾根的岔口","Cannot be Slowed below Base Speed","Ne peut pas être Ralenti en deçà de sa Vitesse de base","Kann nicht unter Basisgeschwindigkeit verlangsamt werden","基礎スピード以下に遅くならない","기본 속도 이하로 느려지지 않음","Não pode ser Desacelerado abaixo da Velocidade Base","Нельзя замедлить ниже базовой скорости","No puede ser ralentizado por debajo de la velocidad base","ไม่สามารถถูกทำให้ช้ากว่าค่าเริ่มต้นได้","無法被緩速至低於基礎速度",[17969],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ElgansCrossing",1,[],"","","",1,""
9,"Boots9","Bu's Green Path","Voie verte de Bu","Bus gründer Pfad","ブゥの緑道","부의 녹색 길","Caminho Verde de Bu","Зелёная тропа Бу","Camino verde de Bu","ทางเขียวของบู","布的林道","Poison on Hit","Empoisonne au Toucher","Vergiften bei Treffer","ヒット時毒付与","명중 시 중독 유발","Envenenamento ao Acertar","Яд при нанесении удара","Envenena con cada golpe","สร้างสถานะ พิษ เมื่อปะทะ","擊中時中毒",[17970],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusGreenPath",1,[],"","","",1,""
