"rownum","BaseItemTypesKey","HeistAreasKey","i32"
0,9530,0,45
1,9531,1,0
2,9532,2,0
3,9533,3,0
4,9552,0,0
5,9534,4,0
6,9535,5,0
7,9536,6,45
8,9537,7,0
9,9538,8,0
10,9553,1,0
11,9554,8,0
12,9555,1,0
13,9556,7,0
14,9557,3,0
15,9558,0,0
16,9559,5,0
17,9560,2,0
18,9561,2,0
19,9562,7,0
20,9563,8,0
21,9564,3,0
22,9565,0,0
23,9566,0,0
24,9567,2,0
25,9568,7,0
26,9569,4,0
27,9570,7,0
28,9571,7,0
29,9572,0,0
30,9573,1,0
31,9574,1,0
32,9575,3,0
33,9576,1,0
34,9577,7,0
35,9578,1,0
36,9579,8,0
37,9580,8,0
38,9581,2,81
39,9582,8,0
40,9583,8,0
41,9584,8,0
42,9585,8,81
