"rownum","BaseItemType","Block","i32_20"
0,273,25,0
1,2342,25,0
2,2190,26,0
3,2191,26,0
4,2192,26,0
5,2193,26,0
6,2194,26,0
7,2195,26,0
8,2196,26,0
9,2197,26,0
10,2198,26,0
11,2199,26,0
12,2200,26,0
13,2201,26,0
14,2202,26,0
15,2203,25,0
16,2204,25,0
17,2205,25,0
18,2206,25,0
19,2207,25,0
20,2208,25,0
21,2209,25,0
22,2210,25,0
23,2211,25,0
24,2212,25,0
25,2213,25,0
26,2214,25,0
27,2215,25,0
28,2216,25,0
29,2217,25,0
30,2218,25,0
31,2219,25,0
32,2220,25,0
33,2221,25,0
34,2222,25,0
35,2223,25,0
36,2224,25,0
37,2225,20,0
38,2226,20,0
39,2227,20,0
40,2228,20,0
41,2229,20,0
42,2230,20,0
43,2231,20,0
44,2232,20,0
45,2233,20,0
46,2234,20,0
47,2235,20,0
48,2236,20,0
49,2237,20,0
50,2539,26,0
51,2540,26,0
52,2541,26,0
53,2542,26,0
54,2543,26,0
55,2544,26,0
56,2545,25,0
57,2546,25,0
58,2547,25,0
59,2548,25,0
60,2549,25,0
61,2550,25,0
62,2551,25,0
63,2552,25,0
64,2553,25,0
65,2554,25,0
66,2555,25,0
67,2556,25,0
68,2557,20,0
69,2558,20,0
70,2559,20,0
71,2560,20,0
72,2561,20,0
73,2562,20,0
74,2643,26,0
75,2644,26,0
76,2645,26,0
77,2646,25,0
78,2647,25,0
79,2648,25,0
80,2649,25,0
81,2650,25,0
82,2651,25,0
83,2652,20,0
84,2653,20,0
85,2654,20,0
