"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","NotificationIcon","HideoutName","Id"
0,8,1,[212],0,"","","","SeraphBootsCerulean"
1,8,2,[211],0,"","","","SeraphBodyCerulean"
2,8,3,[213],0,"","","","SeraphGlovesCerulean"
3,8,4,[214],0,"","","","SeraphHelmetCerulean"
4,9,1,[224],0,"","","","SeraphBootsSanguine"
5,9,2,[223],0,"","","","SeraphBodySanguine"
6,9,3,[225],0,"","","","SeraphGlovesSanguine"
7,9,4,[226],0,"","","","SeraphHelmetSanguine"
8,7,1,[5026],1,"","","","HideoutTotemPole1"
9,10,1,[5028],1,"","","","HideoutTotemPole2"
10,11,5,[216],0,"","","","SeraphBootsGolden"
11,11,10,[217],0,"","","","SeraphGlovesGolden"
12,11,15,[215],0,"","","","SeraphBodyGolden"
13,11,20,[218],0,"","","","SeraphHelmetGolden"
14,12,7,[363],0,"","","","RigwaldBoots"
15,12,14,[364],0,"","","","RigwaldGloves"
16,12,21,[365],0,"","","","RigwaldBody"
17,12,28,[362],0,"","","","RigwaldHelmet"
18,12,18,[5030],2,"","","","HideoutTotemPole3"
19,13,12,[398],0,"","","","PerandusFootprints"
20,13,24,[399],0,"","","","PerandusWeapon"
21,13,36,[400],0,"","","","PerandusPortal"
22,13,19,[5032],3,"","","","HideoutTotemPole4"
23,14,12,[421],0,"","","","ProphecyFootprints"
24,14,24,[422],0,"","","","ProphecyWeapon"
25,14,36,[4234],0,"","","","NavaliMonkey"
26,14,19,[5034],3,"","","","HideoutTotemPole5"
27,15,12,[489],0,"","","","EssenceFootprints"
28,15,24,[487],0,"","","","EssenceWings"
29,15,36,[488],0,"","","","EssencePortal"
30,15,19,[5036],3,"","","","HideoutTotemPole6"
31,16,12,[546],0,"","","","BreachFootprints"
32,16,24,[527],0,"","","","BreachPortal"
33,16,36,[517],0,"","","","DemonicWings"
34,16,19,[5038],3,"","","","HideoutTotemPole7"
35,17,12,[604],0,"","","","LegacyFootprintsEffect"
36,17,24,[610],0,"","","","LegacyWeaponEffect"
37,17,36,[559],0,"","","","LegacyPortalEffect"
38,17,19,[5040],3,"","","","HideoutTotemPole8"
39,18,12,[710],0,"","","","HarbingerEyes"
40,18,24,"[711,712]",0,"","","","HarbingerCrownBundle"
41,18,36,[713],0,"","","","HarbingerCharacterEffect"
42,18,19,[5042],3,"","","","HideoutTotemPole9"
43,19,12,[910],0,"","","","AbyssHelmet"
44,19,24,[786],0,"","","","AbyssWings"
45,19,36,[913],0,"","","","AbyssPortalEffect"
46,19,19,[5044],3,"","","","HideoutTotemPole10"
47,20,12,[1298],0,"","","","BestiaryHelmet"
48,20,24,[1278],0,"","","","BestiaryWings"
49,20,36,[1299],0,"","","","BestiaryPortalEffect"
50,20,19,[5046],3,"","","","HideoutTotemPole11"
51,21,1,[],0,"Congratulations!\nYou earned a Sin and Innocence Mystery Box!","Art/2DItems/Effects/MysteryChest/SinInnocenceMysteryBox.dds","Sin and Innocence Mystery Box","MysteryPackSinAndInnocenceBox"
52,22,12,[1335],0,"","","","IncursionBandana"
53,22,24,[1337],0,"","","","IncursionCloak"
54,22,36,[1338],0,"","","","IncursionPortalEffect"
55,22,19,[5048],3,"","","","HideoutTotemPole12"
56,23,1,[],0,"Congratulations!\nYou earned an Apocalypse Mystery Box!","Art/2DItems/Effects/MysteryChest/ApocalypseMysteryBox.dds","Apocalypse Mystery Box","MysteryPackApocalypseBox"
57,24,12,[4298],0,"","","","DelvePet"
58,24,24,[1513],0,"","","","DelveBackAttachment"
59,24,36,[1503],0,"","","","DelvePortalEffect"
60,24,19,[5050],3,"","","","HideoutTotemPole13"
61,25,12,[1569],0,"","","","BetrayalHelmetAttachment"
62,25,24,[1570],0,"","","","BetrayalAuraEffect"
63,25,36,[1571],0,"","","","BetrayalCloak"
64,25,19,[5052],3,"","","","HideoutTotemPole14"
65,26,12,"[1752,1753]",0,"","","","SynthesisHelmetBundle"
66,26,24,[4312],0,"","","","SynthesisPet"
67,26,36,[1754],0,"","","","SynthesisWings"
68,26,19,[5054],3,"","","","HideoutTotemPole15"
69,27,1,[],0,"Congratulations!\nYou earned a Glimmerwood Mystery Box!","Art/2DItems/Effects/MysteryChest/DarkwoodMysteryBox.dds","Glimmerwood Mystery Box","MysteryPackGlimmerwoodBox"
70,28,12,[1938],0,"Earned Monolith Crown Microtransaction!","","","LegionHelmet"
71,28,24,[1939],0,"Earned Monolith Aura Effect Microtransaction!","","","LegionAuraEffect"
72,28,36,[1940],0,"Earned Monolith Wings Microtransaction!","","","LegionWings"
73,28,19,[5056],3,"Earned Legion Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole16"
74,29,12,[2027],0,"Earned Blight Helmet Microtransaction!","","","BlightHelmet"
75,29,24,[2028],0,"Earned Blight Portal Effect Microtransaction!","","","BlightPortalEffect"
76,29,36,[2029],0,"Earned Blight Wings Microtransaction!","","","BlightWings"
77,29,19,[5058],3,"Earned Blight Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole17"
78,30,12,[2156],0,"Earned Metamorph Footprints Effect Microtransaction!","","","MetamorphFootprintsEffect"
79,30,24,[2157],0,"Earned Metamorph Weapon Effect Microtransaction!","","","MetamorphWeaponEffect"
80,30,36,[2158],0,"Earned Metamorph Portal Effect Microtransaction!","","","MetamorphPortalEffect"
81,30,19,[5060],3,"Earned Metamorph Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole18"
82,31,12,[2269],0,"Earned Delirium Horn Microtransaction!","","","DeliriumHorns"
83,31,24,[2270],0,"Earned Delirium Cloak Microtransaction!","","","DeliriumCloak"
84,31,36,[2271],0,"Earned Delirium Wings Microtransaction!","","","DeliriumWings"
85,31,19,[5062],3,"Earned Delirium Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole19"
86,32,12,[2431],0,"Earned Harvest Footprints Effect Microtransaction!","","","HarvestFootprintsEffect"
87,32,24,[2432],0,"Earned Harvest Cloak Microtransaction!","","","HarvestCloak"
88,32,36,[2433],0,"Earned Harvest Portal Effect Microtransaction!","","","HarvestPortalEffect"
89,32,19,[5064],3,"Earned Harvest Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole20"
90,33,12,"[2549,2550,2551]",0,"Earned Heist Helmet Pack!","Art/2DItems/Effects/Hats/HeistHelmetPack.dds","","HeistHelmetPack"
91,33,24,[4393],0,"Earned Heist Cat Pet Microtransaction!","","","HeistPet"
92,33,36,[2552],0,"Earned Heist Portal Effect Microtransaction!","","","HeistPortalEffect"
93,33,19,[5066],3,"Earned Heist Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole21"
94,34,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
95,35,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
96,36,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
97,37,12,[2755],0,"Congratulations!\nYou earned the Ritual Weapon Effect!","","","RitualWeaponEffect"
98,37,24,[2756],0,"Congratulations!\nYou earned the Ritual Character Effect!","","","RitualCharacterEffect"
99,37,36,[],0,"Congratulations!\nYou earned the Ritualist's Hideout!","Art/2DItems/Hideout/RitualHideout.dds","Ritualist's Hideout","HideoutRitualLeague"
100,37,19,[5068],3,"Congratulations! You earned the Ritual Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole22"
101,38,12,[2836],0,"Congratulations!\nYou earned the Ultimatum Helmet Skin!","","","UltimatumHelmet"
102,38,24,[4427],0,"Congratulations!\nYou earned the Ultimatum Pet!","","","UltimatumPet"
103,38,36,[2837],0,"Congratulations!\nYou earned the Ultimatum Portal Effect!","","","UltimatumPortalEffect"
104,38,19,[5070],3,"Congratulations! You earned the Ultimatum Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole23"
105,39,12,[2979],0,"Congratulations!\nYou earned the Expedition Footprints Effect!","","","ExpeditionFootprintsEffect"
106,39,24,[2980],0,"Congratulations!\nYou earned the Expedition Weapon Effect!","","","ExpeditionWeaponEffect"
107,39,36,[2981],0,"Congratulations!\nYou earned the Expedition Portal Effect!","","","ExpeditionPortalEffect"
108,39,19,[5072],3,"Congratulations! You earned the Expedition Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole24"
109,40,12,[3194],0,"Congratulations!\nYou earned the Scourge Weapon!","","","ScourgeWeapon"
110,40,24,[3195],0,"Congratulations!\nYou earned the Scourge Wings!","","","ScourgeWings"
111,40,36,[4461],0,"Congratulations!\nYou earned the Scourge Pet!","","","ScourgePet"
112,40,19,[5074],3,"Congratulations! You earned the Scourge Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole25"
113,41,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
114,42,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
115,43,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
116,44,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
117,45,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
118,46,12,[3325],0,"Congratulations!\nYou earned the Archnemesis Ice Character Effect!","","","ArchnemesisIceCharacterEffect"
119,46,24,[3328],0,"Congratulations!\nYou earned the Archnemesis Weapon Skin!","","","ArchnemesisWeapon"
120,46,32,[3326],0,"Congratulations!\nYou earned the Archnemesis Lightning Character Effect!","","","ArchnemesisLightningCharacterEffect"
121,46,34,[3324],0,"Congratulations!\nYou earned the Archnemesis Fire Character Effect!","","","ArchnemesisFireCharacterEffect"
122,46,36,[3329],0,"Congratulations!\nYou earned the Archnemesis Wings!","","","ArchnemesisWings"
123,46,38,[3327],0,"Congratulations!\nYou earned the Archnemesis Prismatic Character Effect!","","","ArchnemesisElementalCharacterEffect"
124,46,19,[5076],3,"Congratulations! You earned the Archnemesis Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole26"
125,47,6,[3566],0,"Congratulations!\nYou earned the Ophidian Gloves!","","","OphidianGloves"
126,47,12,[3565],0,"Congratulations!\nYou earned the Ophidian Boots!","","","OphidianBoots"
127,47,16,[3564],0,"Congratulations!\nYou earned the Ophidian Helmet!","","","OphidianHelmet"
128,47,20,[3567],0,"Congratulations!\nYou earned the Ophidian Body Armour!","","","OphidianBodyArmour"
129,47,24,[3568],0,"Congratulations!\nYou earned the Ophidian Wings!","","","OphidianWings"
130,47,28,[3571],0,"Congratulations!\nYou earned the Ophidian Lord Gloves!","","","OphidianLordGloves"
131,47,31,[3570],0,"Congratulations!\nYou earned the Ophidian Lord Boots!","","","OphidianLordBoots"
132,47,34,[3569],0,"Congratulations!\nYou earned the Ophidian Lord Helmet!","","","OphidianLordHelmet"
133,47,36,[3572],0,"Congratulations!\nYou earned the Ophidian Lord Body Armour!","","","OphidianLordBodyArmour"
134,47,38,[3573],0,"Congratulations!\nYou earned the Ophidian Lord Wings!","","","OphidianLordWings"
135,47,19,[5078],3,"Congratulations! You earned the Sentinel Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole27"
136,48,4,[3474],0,"Congratulations! You earned the Iridescent Helmet Attachment!\nThis appearance of this helmet attachment improves as you complete 12, 20 and 29 challenges.","","Iridescent Helmet Attachment (Tier 1)","IridescentHelmetAttachment"
137,48,6,[3475],0,"Congratulations! You earned the Iridescent Weapon Effect!\nThis weapon effect increases in intensity as you complete 14, 22 and 32 challenges.","","Iridescent Weapon Effect (Tier 1)","IridescentWeaponEffect"
138,48,8,[3479],0,"Congratulations! You earned the Iridescent Character Effect!\nThis character effect increases in intensity as you complete 16, 24 and 35 challenges.","","Iridescent Character Effect (Tier 1)","IridescentCharacterEffect"
139,48,10,[3477],0,"Congratulations! You earned the Iridescent Wings!\nThe appearance of these wings improves as you complete 10, 18 and 38 challenges.","","Iridescent Wings (Tier 1)","IridescentWings"
140,48,19,[5080],3,"Congratulations! You earned the Lake of Kalandra Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole28"
141,48,12,[],0,"Congratulations!\nYou earned another tier of the Iridescent Helmet Attachment!","Art/2DItems/Effects/Hats/IridescentEmperorHelmetAttachment.dds","Iridescent Helmet Attachment (Tier 2)",""
142,48,14,[],0,"Congratulations!\nYou earned another tier of the Iridescent Weapon Effect!","Art/2DItems/Effects/Weapon/weapon_IridescentEmperor.dds","Iridescent Weapon Effect (Tier 2)",""
143,48,16,[],0,"Congratulations!\nYou earned another tier of the Iridescent Character Effect!","Art/2DItems/Effects/Character/IridescentEmperorCharacterEffect.dds","Iridescent Character Effect (Tier 2)",""
144,48,18,[],0,"Congratulations!\nYou earned another tier of the Iridescent Wings!","Art/2DItems/Effects/Wings/IridescentMonarchWings.dds","Iridescent Wings (Tier 2)",""
145,48,20,[],0,"Congratulations!\nYou earned another tier of the Iridescent Helmet Attachment!","Art/2DItems/Effects/Hats/IridescentEmperorHelmetAttachment.dds","Iridescent Helmet Attachment (Tier 3)",""
146,48,22,[],0,"Congratulations!\nYou earned another tier of the Iridescent Weapon Effect!","Art/2DItems/Effects/Weapon/weapon_IridescentEmperor.dds","Iridescent Weapon Effect (Tier 3)",""
147,48,24,[],0,"Congratulations!\nYou earned another tier of the Iridescent Character Effect!","Art/2DItems/Effects/Character/IridescentEmperorCharacterEffect.dds","Iridescent Character Effect (Tier 3)",""
148,48,26,[],0,"Congratulations!\nYou earned another tier of the Iridescent Wings!","Art/2DItems/Effects/Wings/IridescentMonarchWings.dds","Iridescent Wings (Tier 3)",""
149,48,29,[],0,"Congratulations!\nYou earned the final tier of the Iridescent Helmet Attachment!","Art/2DItems/Effects/Hats/IridescentEmperorHelmetAttachment.dds","Iridescent Helmet Attachment (Tier 4)",""
150,48,32,[],0,"Congratulations!\nYou earned the final tier of the Iridescent Weapon Effect!","Art/2DItems/Effects/Weapon/weapon_IridescentEmperor.dds","Iridescent Weapon Effect (Tier 4)",""
