"rownum","Id","Name"
0,"Currency","Currency"
1,"CurrencyQuality","Quality Currency"
2,"CurrencySockets","Jewellers' Currency"
3,"Shards","Currency Shards"
4,"Fragments","Fragments"
5,"FragmentsRitual","Ritual Fragments"
6,"FragmentsUltimatum","Ultimatum Fragments"
7,"FragmentsPinnacle","Pinnacle Fragments"
8,"FragmentsVaultKey","Reliquary Keys"
9,"Essences","Essences"
10,"EssencesGreater","Greater Essences"
11,"EssencesCorrupted","Corrupted Essences"
12,"Breach","Breach"
13,"BreachSplinters","Breach Splinters"
14,"BreachCatalyst","Catalysts"
15,"Delirium","Delirium"
16,"DeliriumSplinters","Simulacrum"
17,"DeliriumInstill","Distilled Emotions"
18,"DivinationCards","Divination Cards"
19,"DivinationCardsWeaponsArmour","Divination Cards Rewarding Weapons or Armour"
20,"DivinationCardsJewelleryJewels","Divination Cards Rewarding Jewellery or Jewels"
21,"DivinationCardsCurrency","Divination Cards Rewarding Currency"
22,"DivinationCardsGems","Divination Cards Rewarding Gems"
23,"DivinationCardsMapsFragments","Divination Cards Rewarding Maps or Fragments"
24,"DivinationCardsFlasks","Divination Cards Rewarding Flasks"
25,"DivinationCardsMisc","Other Divination Cards"
26,"Expedition","Expedition"
27,"Popular","Popular"
28,"Owned","Owned"
29,"Runes","Runes"
30,"GreaterRunes","Greater Runes"
31,"Ultimatum","Soul Cores"
32,"Ritual","Omens"
33,"RitualSpecial","Special Omens"
34,"Talismans","Talismans"
