"rownum","Id","PositionX","PositionY","i32","i32","[rid]","string","string","[rid]","i32","[rid]","[rid]","rid","string","i32","i32","string","rid","rid","string","bool","i32","i32","bool"
0,"G1_compassrose",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],1,[72],[],"","Act1/compassrose",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCompass",5,"","","",4205,4205,""
1,"G1_compasstextbox_visual",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],1,[72],[],"","Act1/MapBorderEzomyte",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinLabel",6,"","","",4205,4205,""
2,"G1_compass_label",-16843010,-16843010,-16843010,-16843010,[],"Ogham county, est. 1132ic\r\nin the province of Phaaryl\r\nSurvey commissioned by\r\nthe office of Count Geonor\r\nin the year of 1619ic","",[2889],1,[72],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinLabel",7,"","","",4205,4205,""
3,"G1_MapBorder_Surface",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],1,[72],[],"","WorldMapBorder",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBorderSurface",3,"","","",4205,4205,""
4,"G1_MapBorder_Underground",-16843010,-16843010,-16843010,-16843010,[],"","",[2889],1,[72],[],"","WorldMapBorder",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBorderUnderground",4,"","","",4205,4205,""
5,"G1_1",-16843010,-16843010,-16843010,-16843010,[70],"The Riverbank","Dregs and filth from the Manor gather in silence.",[2889],1,[2889],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRiverbank","","","","",4205,4205,""
6,"G1_1_BloatedMiller",-16843010,-16843010,-16843010,-16843010,[],"The Bloated Miller","...intermittent growls echo along the Riverbank, but there is a distant, rythmic sawing of wood underneath it all...",[2889],1,[72],[2934],"","WorldMapContentBoss",5,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBloatedMiller",0,"","","",4205,4205,""
7,"G1_1_BloatedMillerSlain",-16843010,-16843010,-16843010,-16843010,[],"The Bloated Miller","That gargantuan beast, could that have been human once? At least the encampment is safe for now.",[2934],1,[72],[],"","WorldMapContentBossDone",5,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBloatedMiller",0,"","","",4205,4205,1
8,"G1_town",69,0,0,0,[69],"Clearfell Encampment","Walls of wood strain against the tide as Death knocks thrice.",[2889],1,[2890],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinTown","",3000,"With the Count dead, Ogham might finally be able to heal.","",4205,4205,""
9,"G1_2",71,0,0,0,[71],"Clearfell","A wounded land plays host to an infection.",[2890],1,[2891],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinClearfell","","","","",4205,4205,""
10,"G1_2_CarrionCrone",71,0,0,0,[],"Beira of the Rotten Pack","...a chanting that echoes through Clearfell preceding chilling howls...",[2890],1,[72],[3733],"","WorldMapContentBossUpgrade",9,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCarrionCrone",0,"","","",4205,4205,""
11,"G1_2_CarrionCroneSlain",71,0,0,0,[],"Beira of the Rotten Pack","This wolf head seems to hold power even after the Crone is dead.\r\n\r\n<white>{+10% to Cold Resistance}",[3733],1,[72],[],"","WorldMapContentBossUpgradeDone",9,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCarrionCrone",0,"","","",4205,4205,1
12,"G1_2_ClearfellChest",71,0,0,0,[],"Mysterious Campsite","...whispers of an Ogham scouting party slain by a rogue, their supplies left untouched...",[2890],1,[72],[4662],"","WorldMapContentChest",9,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinClearfellChest",0,"","","",4205,4205,""
13,"G1_2_ClearfellChestOpened",71,0,0,0,[],"Mysterious Campsite","Better a quick death to an arrow than to see your brothers become the undead.",[4662],1,[72],[],"","WorldMapContentChestDone",9,0,"Metadata/Terrain/WorldMaps/Act1/Objects/SideContent/MapPinClearfellChest",0,"","","",4205,4205,1
14,"G1_3",-16843010,-16843010,-16843010,-16843010,[72],"Mud Burrow","Hungry jaws hide in dripping darkness.","[2891,2925]",1,[2892],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinMudBurrow","",2931,"Nature begins to seep back in, reclaiming the spaces within.",1,4205,4205,""
15,"G1_3_Underground",-16843010,-16843010,-16843010,-16843010,[],"Mud Burrow","Hungry jaws hide in dripping darkness.","[2891,2925]",1,[72],[],"","",14,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinMudBurrowUnderground","",2931,"Nature begins to seep back in, reclaiming the spaces within.","",4205,4205,""
16,"G1_3_MudBurrower",-16843010,-16843010,-16843010,-16843010,[],"The Devourer","...dirt shifts and murmurs beneath your feet as your move through Clearfell...","[2892,2925]",1,[72],[2931],"","WorldMapContentBoss",14,0,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinMudBurrower",0,"","","",4205,4205,""
