"rownum","Event","i32_8","i32_12","i32_16","[i32]_20","[i32]_36","i32_52","i32_56"
0,"Summoned",-1,500,100,[],[],2000,0
1,"Dismissed",-1,0,100,[],[],2000,0
2,"PlayerDied",-1,1000,100,[],[],0,0
3,"EnterHideout",-1,1000,100,[],[],0,0
4,"EnterHideoutLongCooldown",-2,1000,20,[],[],180000,0
5,"Idle3MinuteCooldown",0,0,5,[],[],180000,0
6,"Idle1MinuteCooldown",0,0,5,[],[],60000,0
7,"Idle",0,0,5,[],[],60000,0
8,"KillRareMonster",-2,500,5,[],[],180000,0
9,"KillUniqueMonster",1,500,100,[],[],90000,0
10,"DropUniqueItem",2,200,100,[],[],1000,0
11,"DropUniqueItemLongCooldown",2,200,100,[],[],60000,0
12,"DropMap",1,200,100,[],[35],1000,0
13,"DropDivCard",1,200,100,[],[42],1000,0
14,"DropChromatic",0,200,100,[20],[],1000,0
15,"DropGlassblowers",0,200,100,[18],[],1000,0
16,"DropJewellers",0,200,100,[22],[],1000,0
17,"DropChance",0,200,100,[8],[],1000,0
18,"DropFusing",0,200,100,[21],[],1000,0
19,"DropScouring",0,200,100,[13],[],1000,0
20,"DropAlchemy",0,200,100,[7],[],1000,0
21,"DropChisel",0,200,100,[29],[],1000,0
22,"DropRegret",0,200,100,[9],[],1000,0
23,"DropChaos",1,200,100,[3],[],1000,0
24,"DropRegal",1,200,100,[15],[],1000,0
25,"DropGemcutters",0,200,100,[19],[],1000,0
26,"DropBlessed",1,200,100,[27],[],1000,0
27,"DropDivine",3,200,100,[26],[],1000,0
28,"DropExalted",2,200,100,[14],[],1000,0
29,"DropEternal",3,200,100,[40],[],1000,0
30,"DropAnnulment",1,200,100,[110],[],1000,0
31,"DropMirror",-1,200,100,[6],[],1000,0
32,"DropLegionMarakethEmblem",4,200,100,[672],[],1000,0
33,"DropLegionTemplarEmblem",4,200,100,[674],[],1000,0
34,"EnterTown",-1,1000,100,[],[],0,0
35,"LevelUp",2,600,100,[],[],1000,2
36,"LoggedInWithPetEquipped",0,200,100,[],[],1000,0
37,"EnterPinnacleBossFight",0,200,100,[],[],1000,0
38,"EnterMap",1,200,50,[],[],1000,0
39,"EnterUnvisitedMapForTheFirstTimeThisLeague",-2,200,100,[],[],1000,0
40,"EnterHideoutFirstTimeThisLoginSession",0,200,100,[],[],1000,0
41,"KillPinnacleBoss",4,200,100,[],[],1000,0
42,"PlayerPerformedCraft",-1,200,2,[],[],30000,0
43,"PlayerPerformed6LinkOrChanceUnique",2,200,100,[],[],1000,0
44,"PlayerRevived",2,200,100,[],[],1000,0
45,"PlayerRevivedGreaterOrEqual200Times",2,200,100,[],[],1000,0
46,"PartyMemberDied",0,200,100,[],[],1000,0
47,"PlayerToPlayerTradeCompletedReceivedItem",0,200,100,[],[],1000,0
48,"PlayerToPlayerTradeCompletedPaidForItem",0,200,100,[],[],1000,0
49,"PlayerToPlayerTradeCompleted",0,200,100,[],[],1000,0
50,"AnotherPlayerEnteredOurHideout",0,200,100,[],[],1000,0
51,"EnterAnotherPlayersHideout",0,200,100,[],[],1000,0
52,"KillActBoss",0,200,100,[],[],1000,0
53,"KillAct5PlusActBoss",0,200,100,[],[],1000,0
54,"KillAct6PlusActBoss",0,200,100,[],[],1000,0
55,"PlayerOfferedMultipleQuestRewardChoices",-1,200,100,[],[],20000,0
56,"EnterLioneyesWatch",2,5000,100,[],[],1000,0
57,"EnterAct2",1,12000,100,[],[],1000,0
58,"EnterAct3",1,12000,100,[],[],1000,0
59,"EnterAct4",1,12000,100,[],[],1000,0
60,"EnterAct5",1,12000,100,[],[],1000,0
61,"EnterAct6",1,12000,100,[],[],1000,0
62,"EnterAct7",1,12000,100,[],[],1000,0
63,"EnterAct8",1,12000,100,[],[],1000,0
64,"EnterAct9",1,12000,100,[],[],1000,0
65,"EnterAct10",1,12000,100,[],[],1000,0
66,"KillNonActPantheonBoss",2,200,40,[],[],1000,0
67,"PlayerReturnedToHideout",3,1000,50,[],[],1000,0
68,"PlayerReturnedToHideoutAfterDeath",3,1000,50,[],[],1000,0
69,"MapPortalsOpened",1,200,50,[],[],1000,0
70,"EnterAct1Coast",1,3000,100,[],[],1000,0
71,"Bored",3,200,100,[],[],1000,0
72,"KillNormalMonster",0,200,30,[],[],180000,0
