"rownum","Id","FireNormal","ColdNormal","LightningNormal","ChaosNormal","FireCruel","ColdCruel","LightningCruel","ChaosCruel","FireMerciless","ColdMerciless","LightningMerciless","ChaosMerciless","[i32]_56","[i32]_72","[i32]_88","[i32]_104","[i32]_120","[i32]_136","[i32]_152","[i32]_168","[i32]_184","[i32]_200","[i32]_216","[i32]_232","[i32]_248","[i32]_264","[i32]_280","[i32]_296","[i32]_312","[i32]_328","[i32]_344","[i32]_360","[i32]_376","[i32]_392","[i32]_408","[i32]_424","[i32]_440","[i32]_456","[i32]_472","[i32]_488","[i32]_504"
0,"None",1,0,20,0,1,0,20,0,1,0,20,0,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
1,"MinorColdResist",1,0,20,0,1,0,20,0,1,0,20,0,[0],[0],[0],[0],[0],[30],[0],[30],[0],[30],[0],"[15,15,20,45]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
2,"MajorColdResist",1,0,20,0,1,0,20,0,1,0,20,0,[0],[0],[0],[0],[0],[75],[0],[60],[0],[50],[0],"[30,30,50,90]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
3,"MinorColdVuln",1,0,20,0,1,0,20,0,1,0,20,0,[0],[0],[0],[0],[0],[-30],[0],[-30],[0],[-30],[0],[-15],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
4,"MajorColdVuln",1,0,20,0,1,0,20,0,1,0,20,0,[0],[0],[0],[0],[0],[-50],[0],[-50],[0],[-50],[0],[-30],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
5,"MinorFireResist",1,0,58,0,1,0,20,0,1,0,58,0,[0],[30],[0],"[15,15,20,45]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
6,"MajorFireResist",1,0,128,0,1,0,20,0,1,0,132,0,[0],[50],[0],"[30,30,50,90]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
7,"MinorFireVuln",1,0,186,0,1,0,20,0,1,0,186,0,[0],[-30],[0],[-15],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
8,"MajorFireVuln",1,0,224,0,1,0,20,0,1,0,224,0,[0],[-50],[0],[-15],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
9,"MinorLightningResist",1,0,20,0,1,0,20,0,1,0,20,0,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[30],[0],[30],[0],[30],[0],"[15,15,20,45]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0]
10,"MajorLightningResist",1,0,20,0,1,0,20,0,1,0,20,0,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[75],[0],[60],[0],[50],[0],"[30,30,50,90]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0]
11,"MinorLightningVuln",1,0,20,0,1,0,20,0,1,0,20,0,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[-30],[0],[-30],[0],[-30],[0],[-15],[0],[0],[0],[0],[0],[0],[0],[0],[0]
12,"MajorLightningVuln",1,0,20,0,1,0,20,0,1,0,20,0,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[-50],[0],[-50],[0],[-50],[0],[-30],[0],[0],[0],[0],[0],[0],[0],[0],[0]
13,"MinorAllElementalResists",1,0,58,0,1,0,20,0,1,0,58,0,[0],[30],[0],[15],[0],[30],[0],[30],[0],[30],[0],[15],[0],[30],[0],[30],[0],[30],[0],[15],[0],[0],[0],[0],[0],[0],[0],[0],[0]
14,"MajorAllElementalResists",1,0,128,0,1,0,20,0,1,0,132,0,[0],[50],[0],[30],[0],[75],[0],[60],[0],[50],[0],[30],[0],[75],[0],[60],[0],[50],[0],[30],[0],[0],[0],[0],[0],[0],[0],[0],[0]
15,"MinionLowAll",1,0,660,0,1,0,20,0,1,0,660,0,[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[0],[0],[0],[0],[0],[0],[0],[0]
16,"MinionHighAll",1,0,694,0,1,0,20,0,1,0,694,0,[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[0],[0],[0],[0],[0],[0],[0],[0]
