"rownum","BlightTowersKey","i32_16","MonsterVarietiesKey","Cost","i32_40"
0,0,1,"",0,0
1,1,1,"",100,0
2,2,1,"",150,0
3,3,1,"",300,0
4,4,1,"",500,0
5,5,1,"",500,0
6,6,11,"",100,0
7,7,11,"",150,0
8,8,11,"",300,0
9,9,11,"",500,0
10,10,11,"",500,0
11,11,45,"",100,0
12,12,45,"",150,0
13,13,45,"",300,0
14,14,45,"",500,0
15,15,45,"",500,0
16,16,20,"",100,0
17,17,20,"",150,0
18,18,20,"",300,0
19,19,20,"",500,0
20,20,20,"",500,0
21,21,6,"",100,0
22,22,6,"",150,0
23,23,6,"",300,0
24,24,6,"",500,0
25,25,6,"",500,0
26,26,1,"",100,0
27,27,1,"",150,0
28,28,1,"",300,0
29,29,1,"",500,0
30,30,1,"",500,0
