"rownum","rid_0","[rid]_16","[i32]_32"
0,3896,[19941],[300]
1,3458,[18671],[-50]
2,3459,[19033],[50]
3,2888,[119],[750]
4,3285,[3281],[1]
5,3387,[1007],[1]
6,3396,[19165],[50]
7,3473,[408],[-25]
8,3474,[19564],[5]
9,2754,[171],[-20]
10,3312,[4693],[1]
11,2399,[118],[100]
12,3266,[19761],[1]
13,2423,[118],[30]
14,2875,[119],[900]
15,2889,[119],[240]
16,3264,[3508],[1]
17,3301,[19550],[2]
18,3302,[18907],[10]
19,3320,[9229],[100]
20,3321,[804],[10]
21,3383,[16856],[1]
22,3388,"[11259,11260,19370,11261,12300]","[10,30,10,1,1]"
23,3452,[9442],[100]
24,3511,[9594],[60]
25,3133,[201],[40]
26,3152,[132],[50]
27,3249,[14862],[40]
28,3260,[8931],[10]
29,3327,[5146],[25]
30,3390,[133],[-30]
31,3397,[3828],[1]
32,3398,[18411],[50]
33,3401,[9435],[25]
34,3451,[19363],[500]
35,3525,[19739],[1]
36,2877,[119],[750]
37,3281,[18788],[50]
38,3316,[19440],[25]
39,3489,[11238],[1]
40,3490,[11237],[1]
41,3679,[1306],[-1]
42,2455,[118],[-25]
43,3140,[14120],[-50]
44,3417,[1248],[25]
45,3495,[19764],[1]
46,3139,[14120],[-50]
47,3319,[18908],[20]
48,3328,[4487],[-20]
49,3329,[4488],[100]
50,3389,[133],[40]
51,3394,[7204],[1]
52,3457,[19685],[1]
53,3466,[181],[20]
54,3467,[3781],[1]
55,3468,[3782],[1]
56,2290,[140],[62]
57,2337,[135],[30]
58,2340,[135],[-10]
59,2453,[118],[50]
60,2752,[171],[-10]
61,2879,[119],[180]
62,2881,[119],[750]
63,2887,[119],[270]
64,2936,[99],[10]
65,2948,[101],[10]
66,3143,[1039],[15]
67,3318,[17029],[20]
68,3356,[423],[15]
69,3363,[3462],[-42]
70,3364,[2546],[-42]
71,3365,[3463],[-42]
72,3404,[1992],[1]
73,3405,[9395],[1]
74,3414,[1745],[1]
75,3428,[19539],[1]
76,3429,[19601],[1]
77,3430,[19602],[1]
78,3446,[2041],[1]
79,3447,[2042],[1]
80,3448,[2043],[1]
81,3454,[19620],[100]
82,3462,[19683],[100]
83,3463,[19723],[1]
84,3530,[3368],[25]
85,3531,[10382],[52]
86,3540,[20298],[1]
87,3541,[20035],[3]
88,3543,[19183],[1]
89,3549,[4456],[12]
90,3550,[15410],[10]
91,3871,[451],[1]
92,3881,[793],[1]
93,3886,[2277],[1]
94,2886,[119],[480]
95,2937,[99],[8]
96,2949,[101],[5]
97,2960,[70],[5]
98,2961,[70],[6]
99,2962,[70],[5]
100,2966,[70],[-5]
101,2967,[70],[7]
102,2998,[210],[-10]
103,2999,[210],[9]
104,3189,[18416],[45]
105,3197,[17892],[25]
106,3200,[25],[15]
107,3265,[18771],[1]
108,3314,[19816],[1]
109,3332,[2053],[6000]
110,3333,[2054],[6000]
111,3334,[2055],[6000]
112,3335,[2056],[6000]
113,3336,[1799],[1]
114,3338,[20266],[12]
115,3343,[19618],[1]
116,3344,[9225],[800]
117,3345,[19619],[1]
118,3346,[5709],[1]
119,3351,[3435],[25]
120,3375,[2111],[1]
121,3376,[3266],[25]
122,3377,[3266],[25]
123,3379,[19065],[1]
124,3382,[19741],[1]
125,3872,[18015],[100]
126,3877,[19371],[33]
127,3878,[19372],[33]
128,3879,[19373],[33]
129,3885,[19201],[1]
130,2431,[117],[50]
131,2747,[171],[10]
132,2748,[171],[15]
133,2749,[171],[15]
134,2750,[171],[10]
135,2751,[171],[15]
136,2753,[171],[10]
137,2755,[171],[10]
138,2756,[171],[20]
139,2757,[171],[20]
140,2760,[171],[15]
141,2763,[171],[12]
142,2765,[171],[15]
143,2770,[171],[10]
144,2882,[119],[1350]
145,3135,[199],[40]
146,3136,[198],[40]
147,3137,[200],[40]
148,3151,[132],[-5]
149,3243,[18660],[1]
150,3261,[20722],[1]
151,3262,[11264],[1]
152,3348,[1082],[10]
153,3367,[19728],[1]
154,3368,[19709],[30]
155,3370,[174],[1]
156,3371,[175],[1]
157,3373,[172],[5]
158,3374,[3370],[12]
159,3391,[133],[100]
160,3420,[19445],[90]
161,3421,[19441],[25]
162,3431,[18925],[1]
163,3464,[19722],[40]
164,3476,[19740],[1]
165,3510,[19794],[1]
166,3523,[215],[200]
167,3676,[844],[15]
168,3882,[704],[1]
169,2256,[138],[22]
170,2769,[171],[-10]
171,2885,[119],[240]
172,3145,[947],[5]
173,3287,[19588],[200]
174,3288,[6576],[1]
175,3413,[21493],[8000]
176,3427,[19594],[1]
177,3433,[19677],[1]
178,3434,[19676],[1]
179,3442,[19624],[1]
180,3443,[19625],[1]
181,3477,[439],[180]
182,3478,[772],[180]
183,3479,[1243],[25]
184,3507,[2794],[4]
185,3544,[209],[40]
186,3545,[3239],[40]
187,3756,[2357],[50]
188,3274,[14598],[20]
189,2964,[70],[7]
190,3187,[18227],[50]
191,3514,[18121],[7]
192,3515,[18887],[7]
193,3522,[17768],[1]
194,2227,[592],[75]
195,2347,[135],[-30]
196,2452,[118],[-5]
197,2454,[118],[-20]
198,2457,[118],[8]
199,2764,[171],[-10]
200,2992,[18219],[15]
201,3008,[18220],[15]
202,3036,[543],[150]
203,3037,[543],[25]
204,3054,[18222],[40]
205,3062,[18223],[40]
206,3217,[18626],[-50]
207,3267,[2538],[25]
208,3269,[480],[4]
209,3311,[24],[10]
