"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","SelectionImage","Effect1_Stats","Effect1_Values","Effect2_Stats","GodName3","Effect3_Values","Effect3_Stats","GodName4","Effect4_Stats","Effect4_Values","GodName1","Effect2_Values","QuestFlag","rid","string","[rid]","i32","i32","bool","[rid]"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Puruna, the Challenger","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6082],[1],[215],"Captain Tanner Lightfoot",[100],[185],"Pirate Treasure",[2546],[-50],"Soul of the Brine King",[30],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[6814]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Maligaro the Mutilator","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[531],[-10],[5645],"Hybrid Widow",[20],[6007],"Queen of the Great Tangle",[5781],[40],"Soul of Arakaali",[20],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[6814]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","a Redblade Warlord","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[5846,5847]","[6,20]",[5848],"The Infernal King",[1],[5849],"Jorus, Sky's Edge",[5852],[50],"Soul of Solaris",[-8],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[6814]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Sebbert, Crescent's Point","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[5853,5854]","[1,1]",[5855],"Khor, Sister of Shadows",[-6],[14663],"Captain Clayborne, The Accursed",[5857],[100],"Soul of Lunaris",[10],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[6814]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,"/InGame/Pantheon/CoverLargeFarLeft",[],0,0,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,"/InGame/Pantheon/CoverLargeFarLeft",[],0,0,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Megaera","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14039],[-60],"[6549,5646]","",[],[],"",[],[],"Soul of Abberath","[1,10]",72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,"/InGame/Pantheon/CoverLargeFarLeft",[],0,0,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5655],[1],[5838],"",[],[],"",[],[],"Soul of Gruthkul",[-8],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Varhesh, Shimmering Aberration","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10328,14040]","[-50,50]",[1275],"",[],[],"",[],[],"Soul of Yugul",[-30],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
10,"Shakari",703,566,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Terror of the Infinite Drifts","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[11167,11168]","[-50,3]","[3317,6179]","",[],[],"",[],[],"Soul of Shakari","[-5,-25]",72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
11,"Tukohama",335,711,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Tahsin, Warmaker","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5648],[3],[11125],"",[],[],"",[],[],"Soul of Tukohama",[120],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
12,"Minor God 9",547,725,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,"/InGame/Pantheon/CoverLargeFarLeft",[],0,0,1,[]
13,"Ralakesh",515,747,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Drek, Apex Hunter","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[5845,3281]","[-25,1]",[13678],"",[],[],"",[],[],"Soul of Ralakesh",[1],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
14,"Garukhan",101,501,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Stalker of the Endless Dunes","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[3463],[-60],"[2358,5659]","",[],[],"",[],[],"Soul of Garukhan","[1,100]",72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
15,"Ryslatha",524,664,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Gorulis, Will-Thief","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[5651,5652]","[3,60]",[15182],"",[],[],"",[],[],"Soul of Ryslatha",[-50],72,"","/InGame/Pantheon/CoverLargeFarLeft",[],0,0,"",[]
