"rownum","Id","Mods","string_24"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","string_32","i32_40","i32_44","[rid]_48","i32_64","[i32]_68","[rid]_84"
0,"ProphecySignature",[],"","","","","","","","","","","",0,0,[],0,[],[]
1,"BLAMTEasyBrutus",[],"","","","","","","","","","","",0,0,[],0,[],[]
2,"PathOfEndurance",[],"Path of Endurance","Path of Endurance","Pfad der Beharrlichkeit","忍耐の道","인내의 길","Caminho da Persistência","Путь выносливости","Camino de la Resistencia","Path of Endurance","耐力黯道","http://poe.qq.com/redirect/g25.htm",60,0,[],0,[],[]
3,"EverythingEverywhere","[9909,9913,9917,9921,9925,9944,9948,9950,9954,9955,9956,9957,9958,9959,9960,9961,9962,9963,9964,9965]","","Mayhem","Mayhem","大騒ぎ","아수라장","Mayhem","Беспредел","Mayhem","Mayhem","渾沌","",0,60,[],0,"[1,2]","[2579,2580]"
4,"EverythingSomewhere","[9910,9914,9918,9922,9926,9930,9934,9937,9939]","","","","","","","","","","","",0,60,[],1,[],[]
5,"EverythingSomewhereSingle","[9911,9915,9919,9923,9927,9931,9935,9938,9940,9941,9943,9945,9946,9947,9949]","","Flashback","Flashback","フラッシュバック","플래시백","Túnel do Tempo","Флэшбэк","Flashback","Flashback","閃回","",0,60,[],3,[],[]
6,"EverythingSomewhereSingleTencent","[9911,9919,9923,9927,9935,9941,9943,9945,9946,9947,9949]","","","","","","","","","","","",0,60,[],3,[],[]
7,"PerandusSingleTencent",[9931],"","","","","","","","","","","",0,0,[],0,[],[]
8,"EverythingSomewhereSingleNoDelirium","[9911,9915,9919,9923,9927,9931,9935,9938,9940,9941,9943,9945,9946,9947]","","","","","","","","","","","",0,60,[],3,[],[]
9,"DeliriumSingleTencent",[9949],"","","","","","","","","","","",0,0,[],0,[],[]
