"rownum","TaggedStat","rid_16","[rid]_32","rid_48","rid_64"
0,15450,24,[],"",""
1,15451,8546,[],"",""
2,15549,"",[477],"",""
3,15556,"",[479],"",""
4,15568,"",[],1,""
5,15569,"",[],2,""
6,15570,"",[],4,""
7,15571,"",[],12,""
8,15572,"",[],9,""
9,15573,"",[],10,""
10,15574,"",[],24,""
11,15631,11,[],"",""
12,15632,10,[],"",""
13,15633,15566,[],"",""
14,15634,1745,[],"",""
15,15635,7230,[],"",""
16,15555,"",[],"",1
17,15561,"",[],"",8
18,15562,"",[],"",2
19,15598,"",[],"",3
20,15599,"",[],"",4
21,15600,"",[],"",5
22,15601,"",[],"",6
23,15602,"",[],"",7
24,15603,"",[],"",9
25,15604,"",[],"",10
26,15605,"",[],"",12
27,15606,"",[],"",13
28,15607,"",[],"",14
29,15608,"",[],"",15
30,15609,"",[],"",16
31,15610,"",[],"",17
32,15611,"",[],"",18
33,15612,"",[],"",19
34,15613,"",[],"",20
35,15614,"",[],"",21
36,15615,"",[],"",22
37,15616,"",[],"",23
38,15617,"",[],"",24
39,15718,2355,[],"",""
