"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool_96","[i32]_97","i32_113","[rid]_117","bool_133","[rid]_134","bool_150","[rid]_151"
0,"LifeTop","Life","Vie","Leben","ライフ","생명력","Vida","Здоровье","Vida","พลังชีวิต","生命",[237],0,[],[],18,"",[],0,[],"",[],"",[]
1,"LifeUnreservedTop","Unreserved Life","Vie non Réservée","Unreserviertes Leben","未リザーブライフ","점유되지 않은 생명력","Vida Não Reservada","Не удержанное здоровье","Vida sin reservar","พลังชีวิตที่ไม่สำรอง","未保留生命",[10058],0,[3996],[],18,1,[],0,[],"",[],"",[]
2,"LifeRecoveryTop","Recovery per Second","Récupération par Seconde","Wiederherstellung pro Sekunde","秒間回復","초당 회복","Recuperação por Segundo","Восстановление в секунду","Recuperación por segundo","การเติมต่อวินาที","每秒回復量",[1411],0,[],[],18,"",[2],0,[],"",[],"",[]
3,"ManaTop","Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力",[238],0,[],[710],21,"",[],0,[],"",[],"",[]
4,"ManaUnreservedTop","Unreserved Mana","Mana non Réservé","Unreserviertes Mana","未リザーブマナ","점유되지 않은 마나","Mana Não Reservada","Не удержанная мана","Maná sin reservar","มานาที่ไม่สำรอง","未保留魔力",[10059],0,[2831],[710],21,1,[],0,[],"",[],"",[]
5,"ManaRecoveryTop","Recovery per Second","Récupération par seconde","Wiederherstellung pro Sekunde","秒間回復","초당 회복","Recuperação por Segundo","Восстановление в секунду","Recuperación por segundo","การ เติม ต่อวินาที","每秒回復量",[1412],0,[],[710],21,"",[2],0,[],"",[],"",[]
6,"EnergyShieldTop","Energy Shield","Bouclier d'énergie","Energieschild","エナジーシールド","에너지 보호막","Escudo de Energia","Энергетический щит","Escudo de energía","โล่พลังงาน","能量護盾",[239],0,[],[],19,"",[],0,[],"",[],"",[]
7,"EnergyShieldRecoveryTop","Recovery per Second","Récupération par Seconde","Wiederherstellung pro Sekunde","秒間回復","초당 회복","Recuperação por Segundo","Восстановление в секунду","Recuperación por segundo","การ เติม ต่อวินาที","每秒回復量",[1413],0,[239],[],19,"",[2],0,[],"",[],"",[]
8,"EnergyShieldRechargeTop","Recharge per Second","Recharge par seconde","Wiederherstellung pro Sekunde","秒間リチャージ","초당 재충전","Recarga por Segundo","Восстановление в секунду","Recarga por segundo","การ รีชาร์จ ต่อวินาที","每秒充能",[242],0,[239],[],19,"",[2],0,[],"",[],"",[]
9,"EnergyShieldRechargeDelayTop","Recharge Delay","Délai de Recharge","Wiederherstellungsverzögerung","リチャージ遅延","재충전 지연시간","Atraso da Recarga","Задержка перезарядки","Demora de la recarga","ระยะเวลารอ รีชาร์จ","充能延遲",[22289],9,[239],[],19,1,[13],0,[],"",[],"",[]
10,"SpiritTop","Spirit","Esprit","Wille","スピリット","정신력","Espírito","Дух","Espíritu","พลังวิญญาณ","精魂",[16422],0,[],[22345],20,"",[],0,[],"",[],"",[]
11,"ArmourEstimatedPhysDamageReductionTopBig","Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲",[729],1,[],[],22,"",[],0,[],"",[],"",[]
12,"ArmourTop","Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲",[233],0,[],[],22,"",[],0,[],"",[],"",[]
13,"ArmourAdditionalPhysReductionTop","Additional Physical Damage Reduction","Réduction des Dégâts physiques supplémentaire","Zusätzliche physische Schadensminderung","追加の物理ダメージ軽減率","받는 물리 피해 추가 감소","Redução Adicional de Dano Físico","Дополнительное уменьшение получаемого физического урона","Reducción de daño físico adicional","ค่าป้องกันกายภาพเพิ่มเติม","額外物理傷害減免",[433],1,[],[],22,1,[],0,[],"",[],"",[]
14,"ArmourEstimateReductionTop","Estimated Physical Damage Reduction","Estimation de la Réduction des Dégâts physiques","Geschätzte physische Schadensminderung","推定物理ダメージ軽減率","물리 피해 감소 예상치","Redução Estimada de Dano Físico","Ожидаемое уменьшение получаемого физического урона","Reducción de daño físico estimada","ค่าป้องกันกายภาพ โดยประมาณ","預期物理傷害減少",[729],1,[],[],22,"",[],0,[],"",[],"",[]
15,"EstimateReductionVsHitsTop","Estimated Physical Damage reduction against Hits","Estimation de la Réduction des Dégâts physiques contre les Touches","Geschätzte physische Schadensminderung gegen Treffer","ヒットに対する推定物理ダメージ軽減率","피격 시 대응 물리 피해 감소 예상치","Estimativa da Redução de Dano Físico contra Acertos","Ожидаемое снижение получаемого физического урона от ударов","Reducción de daño físico estimada contra impactos","ค่าป้องกันกายภาพ ต่อการปะทะ โดยประมาณ","對擊中預期物理傷害減少",[6932],1,[6931],[],22,"",[],0,[],"",[],"",[]
16,"Evasion","Evasion Rating","Score d'Évasion","Ausweichwert","回避力","회피","Evasão","Уклонение","Evasión","อัตราการหลบหลีก","閃避值",[274],0,[],[],23,1,[],0,[],"",[],"",[]
17,"EvasionTop","Evasion","Évasion","Ausweichen","回避","회피","Evasão","Уклонение","Evasión","หลบหลีก","閃避",[689],1,[],[],23,"",[],0,[],"",[],"",[]
18,"EvasionTopPopup","Estimated Evasion Chance","Estimation des Chances d'Évasion","Geschätzte Chance, auszuweichen","推定回避率","예상 회피 확률","Estimativa de Chance de Evasão","Ожидаемый шанс уклонения","Probabilidad estimada de evadir","โอกาสหลบหลีก โดยประมาณ","預期閃避機率",[689],1,[],[],23,"",[],0,[],"",[],"",[]
19,"MeleeEvadeChanceTop","Estimated chance to Evade Melee Attacks","Estimation des Chances d'Éviter les Attaques de mêlée","Geschätzte Chance, Nahkampfangriffen auszuweichen","推定近接アタック回避率","근접 공격 예상 회피 확률","Chance Estimada de Evadir Ataques Corpo a Corpo","Ожидаемый шанс уклонения от атак в ближнем бою","Probabilidad estimada de evadir ataques cuerpo a cuerpo","โอกาสหลบหลีก การโจมตีประชิด โดยประมาณ","預期閃避近戰攻擊機率",[10075],1,[],[10077],23,1,[],0,[],"",[],"",[]
20,"ProjectileEvadeChanceTop","Estimated chance to Evade Projectile Attacks","Estimation des Chances d'Éviter les Attaques des projectiles","Geschätzte Chance, Projektilangriffen auszuweichen","推定投射物アタック回避率","투사체 공격 예상 회피 확률","Chance Estimada de Evadir Ataques de projéteis","Ожидаемый шанс уклонения от атак снарядами","Probabilidad estimada de evadir ataques de proyectiles","โอกาสหลบหลีก การโจมตีโพรเจกไทล์ โดยประมาณ","預期閃避投射物攻擊機率",[10076],1,[],[10077],23,1,[],0,[],"",[],"",[]
21,"BlockChanceAttackTop","Block","Blocage","Blocken","ブロック","막기","Bloqueio","Блок","Bloqueo","บล็อค","格擋",[22388],1,[],[],26,"",[],0,[],"",[],"",[]
22,"EstimatedBlockChanceTopPopup","Estimated Block Chance","Chances de Blocage estimées","Geschätzte Blockchance","推定ブロック率","예상 막기 확률","Chance de Bloqueio Estimada","Ожидаемый шанс блока","Probabilidad de bloqueo estimada","โอกาสบล็อค โดยประมาณ","預期格擋率",[22388],1,[22390],[],26,"",[],0,[],"",[],"",[]
23,"BlockChanceTopPopup","Block Chance","Chances de Blocage","Blockchance","ブロック率","막기 확률","Bloqueio","Шанс блока","Probabilidad de bloqueo","โอกาสบล็อค","格擋率",[945],1,[],[22390],26,"",[],0,[],"",[],"",[]
24,"MaxBlockChanceTop","Maximum Block chance","Chances de Blocage maximales","Maximale Blockchance","最大ブロック率","최대 막기 확률","Chance Máxima de Bloqueio","Максимальный шанс блока","Probabilidad de bloqueo máxima","โอกาสบล็อคสูงสุด","最大格擋機率",[14147],1,[],[],26,1,[],0,[],"",[],"",[]
25,"LifeStats","Maximum Life","Vie maximale","Maximales Leben","最大ライフ","최대 생명력","Vida Máxima","Максимум здоровья","Vida máxima","พลังชีวิตสูงสุด","最大生命",[237],0,[],[],27,"",[],0,[],"",[],"",[]
