"rownum","Buff","Visuals","i32"
0,"global_auras",[496],-1
1,"global_auras",[490],-2
2,"global_auras",[492],-3
3,"global_auras",[494],-4
4,"global_auras",[173],-5
5,"global_auras",[154],-6
6,"global_auras",[160],-7
7,"global_auras",[164],-8
8,"global_auras",[156],-9
9,"global_auras",[986],-10
10,"global_auras",[992],-11
11,"global_auras",[997],-12
12,"global_auras",[1014],-13
13,"global_auras",[1021],-14
14,"global_auras",[1026],-15
15,"global_auras",[1038],-16
16,"global_auras",[1039],-17
17,"global_auras",[1040],-18
18,"global_auras",[1048],-19
19,"global_auras",[1047],-20
20,"global_auras",[1085],-21
21,"global_auras",[1086],-22
22,"global_auras",[1087],-23
23,"global_auras",[1105],-24
24,"global_auras",[1107],-25
25,"global_auras",[1108],-26
26,"global_auras",[1109],-27
27,"global_auras",[1176],-28
28,"global_auras",[1181],-29
29,"global_auras",[1179],-30
30,"global_auras",[1182],-31
31,"global_auras",[1186],-32
32,"global_auras",[1187],-33
33,"global_auras",[1226],-34
34,"global_auras",[1229],-35
35,"global_auras",[1232],-36
36,"global_auras",[1256],-37
37,"global_auras",[1257],-38
38,"global_auras",[1323],-39
39,"global_auras",[1324],-40
40,"global_auras",[1348],-41
41,"global_auras",[1367],-42
42,"global_auras",[1368],-43
43,"global_auras",[1388],-44
44,"global_auras",[1391],-45
45,"global_auras",[1392],-46
46,"global_auras",[1393],-47
47,"global_auras",[1394],-48
48,"global_auras",[1438],-49
49,"global_auras",[1444],-50
50,"global_auras",[1445],-51
51,"global_auras",[1533],-52
52,"global_auras",[1534],-53
53,"global_auras",[1535],-54
54,"global_auras",[1536],-55
55,"global_auras",[1537],-56
56,"global_auras",[1538],-57
57,"global_auras",[1661],-58
58,"global_auras",[1662],-59
59,"global_auras",[1716],-60
60,"global_auras",[1717],-61
61,"global_auras",[1772],-62
62,"global_auras",[1784],-63
63,"global_auras",[1785],-64
64,"global_auras",[1786],-65
65,"global_auras",[1840],-66
66,"global_auras",[1841],-67
67,"global_auras",[1842],-68
68,"global_auras",[1843],-69
69,"global_auras",[1844],-70
70,"global_auras",[1961],-71
71,"global_auras",[1962],-72
72,"global_auras",[1963],-73
73,"anger",[155],0
74,"anger",[156],1
