"rownum","string_0","string_8","string_16","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","string_24","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_32"
0,"GoldReward","Art/2DItems/QuestItems/RewardGold.dds","Gold","Or","Gold","金貨","골드","Ouro","Золото","Oro","ทอง","金幣","This quest will give you gold.","Cette quête vous rapportera de l'or.","Diese Quest belohnt dich mit Gold.","このクエストは報酬として金貨が得られる。","골드를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é ouro.","Это задание принесёт вам золото.","Esta misión te dará oro.","เควสต์นี้จะมอบ ทอง","此任務會給你金幣。",1727
1,"ArtificersOrb","Art/2DItems/QuestItems/RewardArtificersOrb.dds","Artificer's Orb","Orbe d'artificier","Sphäre des Kunsthandwerkers","熟練工のオーブ","숙련공의 오브","Orbe do Artífice","Сфера астромантии","Orbe del artesano","Artificer's Orb","巧匠石","This quest will reward you with an Artificer's Orb","Vous obtiendrez un Orbe d'artificier en récompense de cette quête.","Diese Quest belohnt dich mit einer Sphäre des Kunsthandwerkers.","このクエストは報酬として熟練工のオーブが得られる。","숙련공의 오브를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um Orbe do Artífice.","В награду за это задание вы получите сферу астромантии.","Esta misión te dará un orbe del artesano como recompensa.","เควสต์นี้จะให้รางวัลเป็น Artificer's Orb","此任務會給你一個巧匠石做為獎勵",25
2,"BookOfSpecialiation","Art/2DItems/QuestItems/RewardBook.dds","Book of Specialisation","Livre de Spécialisation","Buch der Spezialisierung","特化の書","특화의 서","Livro de Especialização","Книга специализации","Libro de especialización","คัมภีร์เฉพาะทาง","專精之書","This quest will reward you with a Book of Specialiation.","Vous obtiendrez un Livre de Spécialisation en récompense de cette quête.","Diese Quest belohnt dich mit einem Buch der Spezialisierung.","このクエストは報酬として特化の書が得られる。","특화의 서를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um Livro de Especialização.","В награду за это задание вы получите Книгу специализации.","Esta misión te dará un libro de especialización como recompensa.","เควสต์นี้จะให้รางวัลเป็น คัมภีร์เฉพาะทาง","此任務會給你一本專精之書做為獎勵。",2708
3,"UncutSkillGem","Art/2DItems/QuestItems/RewardSkillGem.dds","Uncut Skill Gem","Gemme d'aptitude brute","Ungeschnittene Fertigkeitengemme","スキルジェムの原石","미가공 스킬 젬","Gema Bruta de Habilidade","Неогранённый камень умения","Gema de habilidad sin tallar","หินสกิลหยาบ","未切割的技能寶石","This quest will reward you with an Uncut Skill Gem.","Vous obtiendrez une Gemme d'aptitude brute en récompense de cette quête.","Diese Quest belohnt dich mit einer Ungeschnittenen Fertigkeitengemme.","このクエストは報酬としてスキルジェムの原石が得られる。","미가공 스킬 젬을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é uma Gema Bruta de Habilidade.","В награду за это задание вы получите неогранённый камень умения.","Esta misión te dará una gema de habilidad sin tallar como recompensa.","เควสต์นี้จะให้รางวัลเป็น หินสกิลหยาบ","此任務會給你一顆未切割的技能寶石做為獎勵。",2786
4,"UncutSupportGem","Art/2DItems/QuestItems/RewardSupportGem.dds","Uncut Support Gem","Gemme de soutien brute","Ungeschnittene Unterstützungsgemme","サポートジェムの原石","미가공 보조 젬","Gema Bruta de Suporte","Неогранённый камень поддержки","Gema de asistencia sin tallar","หินเสริมหยาบ","未切割的輔助寶石","This quest will reward you with an Uncut Support Gem.","Vous obtiendrez une Gemme de soutien brute en récompense de cette quête.","Diese Quest belohnt dich mit einer Ungeschnittenen Unterstützungsgemme.","このクエストは報酬としてサポートジェムの原石が得られる。","미가공 보조 젬을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é uma Gema Bruta de Suporte.","В награду за это задание вы получите неогранённый камень поддержки.","Esta misión te dará una gema de asistencia sin tallar como recompensa.","เควสต์นี้จะให้รางวัลเป็น หินเสริมหยาบ","此任務會給你一顆未切割的輔助寶石做為獎勵。",2788
5,"UncutBuffSkillGem","Art/2DItems/QuestItems/RewardSkillGemBuff.dds","Uncut Buff Skill Gem","Gemme d'effet bénéfique brute","Ungeschnittene Stärkung-Fertigkeitengemme","バフスキルジェムの原石","미가공 버프 스킬 젬","Gema Bruta de Habilidade de Buff","Неогранённый камень эффекта","Gema de habilidad de efecto beneficioso sin tallar","หินสกิลบัฟหยาบ","未切割的增益技能寶石","This quest will reward you with an Uncut Buff Skill Gem.","Vous obtiendrez une Gemme d'effet bénéfique brute en récompense de cette quête.","Diese Quest belohnt dich mit einer Ungeschnittenen Stärkung-Fertigkeitengemme.","このクエストは報酬としてバフスキルジェムの原石が得られる。","미가공 버프 스킬 젬을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é uma Gema Bruta de Habilidade de Buff.","В награду за это задание вы получите неогранённый камень эффекта.","Esta misión te dará una gema de habilidad de efecto beneficioso sin tallar como recompensa.","เควสต์นี้จะให้รางวัลเป็น หินสกิลบัฟหยาบ","此任務會給你一顆未切割的增益技能寶石作為獎勵。",3126
6,"ConsumablePermanentBenefit","Art/2DItems/QuestItems/RewardConsumableBuff.dds","Permanent Benefit Consumable","Consommable à bénéfice permanent","Verbrauchbarer permanenter Vorteil","永続効果消耗品","영구 혜택 소모품","Benefício Permanente Consumível","Расходный предмет с постоянным эффектом","Consumible de ventaja permanente","ไอเทมใช้แล้วหมดไปที่ให้ผลถวาร","永久增益消耗品","This quest will reward you with a consumable that can be used to grant you a permanent benefit.","Vous obtiendrez un consommable en récompense de cette quête. Vous pourrez l'utiliser pour obtenir un bénéfice permanent.","Diese Quest belohnt dich mit einem verbrauchbaren Gegenstand, der dir einen permanenten Vorteil gewährt.","このクエストは報酬として永続的な恩恵を付与する消耗品が得られる。","사용 시 영구적인 혜택을 부여하는 소모품을 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um consumível que pode ser usado para te conceder um benefício permanente. ","В награду за это задание вы получите расходуемый предмет, который при использовании дарует вам постоянное улучшение персонажа.","Esta misión te dará un consumible como recompensa que podrás usar para recibir una ventaja permanente.","เควสต์นี้จะให้รางวัลเป็น ไอเทมที่ใช้แล้วหมดไป ซึ่งจะทำให้คุณได้รับผลดีอย่างหนึ่งโดยถาวร","此任務會給你一個使用後獲得永久增益的消耗品做為獎勵。",""
7,"RingMagic","Art/2DItems/QuestItems/RewardJewellery.dds","Magic Ring","Bague magique","Magischer Ring","マジック指輪","마법 반지","Anel Mágico","Волшебное кольцо","Anillo mágico","แหวนเมจิก","魔法戒指","This quest will reward you with a magic Ring.","Vous obtiendrez une Bague magique en récompense de cette quête.","Diese Quest belohnt dich mit einem magischen Ring.","このクエストは報酬としてマジック指輪が得られる。","마법 반지를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um Anel mágico.","В награду за это задание вы получите волшебное кольцо.","Esta misión te dará un anillo mágico como recompensa.","เควสต์นี้จะให้รางวัลเป็น แหวนเมจิก","此任務會給你一顆魔法戒指做為獎勵。",""
8,"RingRare","Art/2DItems/QuestItems/RewardJewellery.dds","Rare Ring","Bague rare","Seltener Ring","レア指輪","희귀 반지","Anel Raro","Редкое кольцо","Anillo raro","แหวนแรร์","稀有戒指","This quest will reward you with a rare Ring.","Vous obtiendrez une Bague rare en récompense de cette quête.","Diese Quest belohnt dich mit einem seltenen Ring.","このクエストは報酬としてレア指輪が得られる。","희귀 반지를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um Anel raro.","В награду за это задание вы получите редкое кольцо.","Esta misión te dará un anillo raro como recompensa.","เควสต์นี้จะให้รางวัลเป็น แหวนแรร์","此任務會給你一顆稀有戒指作為獎勵。",""
9,"AmuletMagic","Art/2DItems/QuestItems/RewardAmulet.dds","Magic Amulet","Amulette magique","Magisches Amulett","マジックアミュレット","마법 목걸이","Amuleto Mágico","Волшебный амулет","Amuleto mágico","สร้อยเมจิก","魔法項鍊","This quest will reward you with a magic Amulet.","Vous obtiendrez une Amulette magique en récompense de cette quête.","Diese Quest belohnt dich mit einem magischen Amulett.","このクエストは報酬としてマジックアミュレットが得られる。","마법 목걸이를 보상으로 주는 퀘스트입니다.","A recompensa desta missão é um Amuleto mágico. ","В награду за это задание вы получите волшебный амулет.","Esta misión te dará un amuleto mágico como recompensa.","เควสต์นี้จะให้รางวัลเป็น สร้อยเมจิก","此任務會給你一條魔法項鍊做為獎勵。",""
