"rownum","Id","rid_8","rid_24","rid_40","string_56","string_64","string_72","bool_80","bool_81","rid_82","rid_98","EPKFile","i32_122","i32_126"
0,"HeistTemplarMelee2HSlash",83,106,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/military/chokepoint_weapon/chokePoint_poleArm.epk",150,400
1,"HeistTemplarCasterChannelledBlast",83,106,4358,"start","idle","end",1,1,"","","",500,800
2,"HeistTemplarShieldBash",83,106,"","","","",1,1,4514,"","",150,200
3,"HeistTemplarSpearThrust",83,106,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/military/chokepoint_weapon/chokePoint_weapon.epk",150,400
4,"GPHeistTemplarRangedSnipe",83,106,"","","","",1,1,4536,"","",0,0
5,"TEMPGSHeistNilesMineControlChannelled",83,106,"","","","","",1,"","","",0,0
6,"HeistTemplarShieldBashElite",83,106,"","","","",1,1,4520,"","",150,200
7,"HeistThugRangedExplosiveArrow",83,106,"","","","","",1,"","","",0,0
8,"HeistTemplarShieldBashMiniboss",83,106,"","","","",1,1,4553,"","",150,200
9,"HeistThugSpearThrust",83,106,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_fire.epk",150,400
10,"HeistThugGroundSlam",83,106,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_phys.epk",150,400
11,"HeistThugCleaveWave",83,106,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_fire.epk",150,400
12,"HeistThugRangedShotgun",83,106,"","","","",1,1,"","","",150,400
13,"HeistThugGroundslamMiniboss",83,106,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_fire.epk",150,400
14,"HeistTemplarBallLightning",90,91,"","","","",1,1,4668,"","",0,0
15,"HeistScienceMinionPortal",83,106,"","","","","",1,"","","",0,0
16,"HeistRobotMegaBeam",83,106,"","","","",1,1,4727,"","",150,400
17,"GCThaumaturgyAddBuff",83,106,"","","","","",1,"","","",0,0
18,"GSExpeditionMedvedHealBeam",83,106,"","","","","",1,"","","",0,0
19,"GSDoomBossVomit",83,106,"","","","","",1,"","","",0,0
20,"GSConsumeBossPizzaSpin",83,106,"","","","","",1,"","","",0,0
21,"SanctumDamageZoneHazard",83,106,"","","","","","","","","",0,0
22,"GSMundaneMagiChannelMortar",83,106,"","","","","",1,"","","",0,0
23,"GCPerennialKingAsalaLightningBolt",83,106,"","","","","",1,"","","",0,0
24,"GCSerpentCasterBossSnakeSwarm",83,106,"","","","","",1,"","","",0,0
25,"GCSerpentCasterBossMinionEmerge",83,106,"","","","","",1,"","","",0,0
26,"GSJellyfishLightningTendrils",83,106,"","","","","",1,"","","",0,0
27,"GABloodFeverCaptainHookSpin",83,106,"","","","","",1,"","","",0,0
28,"GSCreepyHagProjectileChannel",83,106,"","","","","",1,"","","",0,0
29,"GSIceCasterChannel",83,106,"","","","","",1,"","","",0,0
30,"GSPrisonerKneel",83,106,"","","","","",1,"","","",0,0
31,"GSDemonicSpikerBarrage",83,106,"","","","","",1,"","","",0,0
32,"GSChimeraBossDragonBreath",83,106,"","","","","",1,"","","",0,0
33,"GSBaronBossColdBreath",83,106,"","","","","",1,"","","",0,0
34,"GSPlayerBaronImpale",455,456,"","","","","","","","","",0,0
35,"GSVoodooKingRitual",83,106,"","","","","",1,"","","",0,0
36,"GSVoodooKingPullLifeforce",115,116,"","","","","",1,"","","",0,0
37,"GSDoryaniHumanBossConstantLightning",83,106,"","","","","","","","","",0,0
38,"GSDemonClawBossBulletHell",83,106,"","","","","",1,"","","",0,0
39,"GSDeliriumBossFireFlurry",658,659,"","","","","",1,"","","",0,0
40,"GSDeliriumBossLightningFlurry",661,662,"","","","","",1,"","","",0,0
