"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1","rid","i32","i32","[rid]","[rid]","rid","[rid]","[i32]","rid","rid","rid","i32","i32"
0,1786,[],"[13345,13332]","[13338,13336]",4,100,100,"",158,[],[],22052,2,0,"[13415,13342]",[],22363,"[1066,1068,0]","[1500,1500,1000]","",13346,567,100,15
1,1787,[],"[13347,13332]","[13338,13336]",4,100,100,"",158,[],[],22052,2,0,"[13416,13342]",[],22364,"[1069,1067,0]","[1500,1500,1000]","",13348,565,100,15
2,1788,[],"[13349,13332]","[13338,13336]",4,100,100,"",158,[],[],22052,2,0,"[13417,13342]",[],22365,"[1068,1069,0]","[1500,1500,1000]","",13350,566,100,15
3,1789,[],"[13351,13333]","[13339,13336]",4,100,100,"",158,[],[],22053,2,1,"[13418,13343]",[],22366,"[1068,1066,0]","[1500,1500,1000]","",13352,572,100,15
4,1790,[],"[13353,13333]","[13339,13336]",4,100,100,"",158,[],[],22053,2,1,"[13419,13343]",[],22367,"[1067,1069,0]","[1500,1500,1000]","",13354,571,100,15
5,1791,[],"[13355,13333]","[13339,13336]",4,100,100,"",158,[],[],22053,2,1,"[13420,13343]",[],22368,"[1074,1067,1065,0]","[0,1500,1500,1000]","",13356,573,100,15
6,1792,[],"[13357,13334]","[13340,13336]",4,100,100,"",158,[],[],22054,2,2,"[13421,13344]",[],22369,"[1066,1068,0]","[1500,1500,1000]","",13358,569,100,15
7,1793,[],"[13359,13334]","[13340,13336]",4,100,100,"",158,[],[],22054,2,2,"[13422,13344]",[],22370,"[1068,1065,0]","[1500,1500,1000]","",13360,570,100,15
8,1795,[],"[13361,13334]","[13340,13336]",4,100,100,"",158,[],[],22054,2,2,"[13423,13344]",[],22371,"[1070,1067,0]","[1500,1500,1000]","",13362,568,100,15
9,1796,[],"[13363,13335]","[13341,13336]",33,100,27,"",158,[13364],[13365],22055,1,3,"[13424,13341]",[5125],"",[],[],"",13366,574,100,100
10,1797,[],"[13367,13335]","[13341,13336]",66,100,27,"",158,[],[],22055,0,3,"[13425,13341]",[5124],"",[],[],"",13368,575,100,100
11,1794,[],"[13359,13334]","[13340,13337]",0,100,0,"",158,[],[],22054,2,2,"[13422,13344]",[],"",[],[],"",13429,"",0,0
