"rownum","Index","SkillGems","bool","string"
0,1,[221],"",""
1,2,[272],"",""
2,3,[383],"",""
3,4,[510],"",""
4,5,[516],"",""
5,6,[517],"",""
6,7,[526],"",""
7,8,[537],"",""
8,9,[538],"",""
9,10,[539],"",""
10,11,[540],"",""
11,12,[545],"",""
12,13,[20],"",""
13,14,[28],"",""
14,15,[61],"",""
15,16,[87],"",""
16,17,[92],"",""
17,18,[126],"",""
18,19,[129],"",""
19,20,[190],"",""
20,21,[282],"",""
21,22,[356],"",""
22,23,[387],"",""
23,24,[395],"",""
24,25,[404],"",""
25,26,[523],"",""
26,27,[541],"",""
27,28,[551],"",""
28,29,[37],"",""
29,30,[63],"",""
30,31,[64],"",""
31,32,[90],"",""
32,33,[114],"",""
33,34,[119],"",""
34,35,[142],"",""
35,36,[145],"",""
36,37,[171],"",""
37,38,[184],"",""
38,39,[389],"",""
39,40,[402],"",""
40,41,[407],"",""
41,42,[476],"",""
42,43,[518],"",""
43,44,[524],"",""
44,45,[24],"",""
45,46,[31],"",""
46,47,[32],"",""
47,48,[34],"",""
48,49,[81],"",""
49,50,[86],"",""
50,51,[112],"",""
51,52,[131],"",""
52,53,[182],"",""
53,54,[287],"",""
54,55,[293],"",""
55,56,[306],"",""
56,57,[315],"",""
57,58,[357],"",""
58,59,[406],"",""
59,60,[479],"",""
60,61,[507],"",""
61,62,[513],"",""
62,63,[68],"",""
63,64,[215],"",""
64,65,[217],"",""
65,66,[218],"",""
66,67,[271],"",""
67,68,[276],"",""
68,69,[374],"",""
69,70,[509],"",""
70,71,[514],"",""
71,72,[515],"",""
72,73,[529],"",""
73,74,[536],"",""
74,75,[546],"",""
75,76,[549],"",""
76,77,[1],"",""
77,78,[3],"",""
78,79,[30],"",""
79,80,[51],"",""
80,81,[52],"",""
81,82,[53],"",""
82,83,[102],"",""
83,84,[115],"",""
84,85,[157],"",""
85,86,[181],"",""
86,87,[289],"",""
87,88,[294],"",""
88,89,[313],"",""
89,90,[355],"",""
90,91,[390],"",""
91,92,[397],"",""
92,93,[400],"",""
93,94,[478],"",""
94,95,[511],"",""
95,96,[512],"",""
96,97,[13],"",""
97,98,[44],"",""
98,99,[54],"",""
99,100,[62],"",""
100,101,[89],"",""
101,102,[147],"",""
102,103,[160],"",""
103,104,[288],"",""
104,105,[290],"",""
105,106,[291],"",""
106,107,[298],"",""
107,108,[309],"",""
108,109,[314],"",""
109,110,[316],"",""
110,111,[317],"",""
111,112,[318],"",""
112,113,[320],"",""
113,114,[384],"",""
114,115,[399],"",""
115,116,[403],"",""
116,117,[405],"",""
117,118,[542],"",""
118,119,[45],"",""
119,120,[65],"",""
120,121,[66],"",""
121,122,[67],"",""
122,123,[108],"",""
123,124,[277],"",""
124,125,[321],"",""
125,126,[322],"",""
126,127,[333],"",""
127,128,[346],"",""
128,129,[372],"",""
129,130,[379],"",""
130,131,[508],"",""
131,132,[548],"",""
132,133,[2],"",""
133,134,[29],"",""
134,135,[33],"",""
135,136,[42],"",""
136,137,[69],"",""
137,138,[75],"",""
138,139,[79],"",""
139,140,[82],"",""
140,141,[91],"",""
141,142,[286],"",""
142,143,[292],"",""
143,144,[295],"",""
144,145,[299],"",""
145,146,[310],"",""
146,147,[312],"",""
147,148,[324],"",""
148,149,[392],"",""
149,150,[393],"",""
150,151,[398],"",""
151,152,[477],"",""
152,153,[0],"",""
153,154,[21],"",""
154,155,[38],"",""
155,156,[40],"",""
156,157,[74],"",""
157,158,[76],"",""
158,159,[77],"",""
159,160,[88],"",""
160,161,[88],"",""
161,162,[117],"",""
162,163,[125],"",""
163,164,[143],"",""
164,165,[144],"",""
165,166,[170],"",""
166,167,[183],"",""
167,168,[285],"",""
168,169,[297],"",""
169,170,[305],"",""
170,171,[307],"",""
171,172,[311],"",""
172,173,[394],"",""
173,174,[396],"",""
174,175,[401],"",""
175,176,[132],"",""
176,177,[133],"",""
177,178,[134],"",""
178,179,[135],"",""
179,180,[136],"",""
180,181,[138],"",""
181,182,[139],"",""
182,183,[340],"",""
183,184,[342],"",""
184,185,[345],"",""
185,186,[547],"",""
186,187,[719],"",""
187,188,[720],"",""
188,189,[722],"",""
189,190,[723],"",""
190,191,[724],"",""
191,192,[725],"",""
192,193,[731],"",""
193,194,[727],"",""
194,195,[728],"",""
195,196,[730],"",""
196,197,[733],"",""
197,198,[734],"",""
198,199,[547],"",""
199,200,[23],"","Summon Spectre"
200,201,[731],"","Tamed Companion"
201,202,[738],"",""
202,203,[721],"",""
