"rownum","Id","Text","bool","bool","bool"
0,"Hidden","Hidden","","",1
1,"Shown","Shown",1,1,1
2,"Melee","Melee",1,1,1
3,"Projectile","Projectile",1,1,1
4,"Impact","Impact",1,1,1
5,"Explosion","Explosion",1,1,1
6,"FirstForm","First Form",1,1,1
7,"SecondForm","Second Form",1,1,1
8,"InitialStrike","Initial Strike",1,1,1
9,"FinalStrike","Final Strike",1,1,1
10,"DamageOverTime","Damage over Time",1,1,1
11,"Beam","Beam",1,1,1
12,"Base","Base",1,1,1
13,"ThirdStrike","Third Strike",1,1,1
14,"FinalSpike","Final Burst",1,1,1
15,"Wave","Wave",1,1,1
16,"JaggedGroundEruption","Jagged Ground Eruption",1,"",1
17,"FreezeConsumption","Vs Frozen",1,1,1
18,"Aftershock","Aftershock",1,"",1
19,"Armed","When Armed",1,1,1
20,"SecondProjectile","Second Projectile",1,"",1
21,"FireTrail","Fire Trail",1,"",1
22,"DSFirstImpact","First Slam",1,"",1
23,"DSSecondImpact","Second Slam",1,"",1
24,"Shockwave","Shockwave",1,1,1
25,"Storm","Storm",1,1,1
26,"WhenSlammed","When Slammed",1,1,1
27,"Minion","Minion",1,1,1
28,"Bolt","Bolt",1,1,1
29,"Arrow","Arrow",1,1,1
30,"Firebolts","Firebolts",1,1,1
31,"CastOnFrostbolt","Cast on Frostbolt",1,1,1
32,"Nova","Nova",1,1,1
33,"NormalStrike","Normal Strikes",1,1,1
34,"PerfectStrike","Perfect Strike",1,1,1
35,"Collision","Collision",1,1,1
36,"Vines","Vines",1,1,1
37,"Support","Support",1,1,1
38,"AoE","Area of Effect",1,1,1
39,"Buff","Buff",1,1,1
40,"Crystal","Crystal",1,1,1
41,"FireRain","Fire Rain",1,1,1
42,"ChaosRain","Chaos Rain",1,1,1
43,"Slam","Slam",1,1,1
44,"Swipe","Swipe",1,1,1
45,"Screech","Screech",1,1,1
46,"Pulse","Pulse",1,1,1
47,"StaggeringPalmStaffProjectile","Projectile (Quarterstaff)",1,1,1
48,"StaggeringPalmUnarmedProjectile","Projectile (Unarmed)",1,1,1
49,"ExplosionStatSuppress","Explosion",1,"",1
50,"FourthStrike","Fourth Strike",1,1,1
51,"Curses","Curses",1,1,1
52,"Illusion","Illusion",1,1,1
53,"Shrapnel","Shrapnel",1,1,1
54,"GroundEffect","Ground Surface",1,1,1
55,"ProjectileHideDescription","Projectile",1,1,""
56,"ImpactHideDescription","Impact",1,1,""
57,"Mark","Mark",1,1,1
58,"Wall","Wall",1,1,1
59,"Shard","Shard",1,1,1
60,"PoisonCloud","Poison Cloud",1,1,1
61,"Footsteps","Footsteps",1,1,1
62,"ExplosionNoStats","Explosion",1,"",1
63,"Shards","Shards",1,1,1
64,"FrozenShards","Frozen Shards",1,1,1
65,"WildStrikeFire","Fiery Explosion",1,"",1
66,"WildStrikeCold","Icy Wave",1,"",1
67,"WildStrikeLightning","Arcing Bolt",1,"",1
68,"Strike","Strike",1,1,1
69,"BoltsNoDescription","Bolts",1,1,""
70,"ArtilleryNoDescription","Artillery",1,1,""
71,"Ballista","Ballista",1,1,1
72,"Tornado","Tornado",1,1,1
73,"PrimaryGrenade","Primary Grenade",1,1,1
74,"MiniGrenades","Mini Grenades",1,1,1
75,"ArmourBroken","Vs Armour Broken",1,1,1
76,"IgnitedGround","Ignited Ground",1,1,1
77,"Totem","Totem",1,1,1
78,"Ammo","Ammunition",1,1,1
79,"MinionInfo","Minion Info",1,1,1
80,"Firestorm","Firestorm",1,1,1
81,"ImprovedBolt","Improved Bolt",1,1,1
82,"NormalDash","Normal Dash",1,1,1
83,"PerfectDash","Perfect Dash",1,1,1
84,"ChilledGround","Chilled Ground",1,1,1
85,"Command","Command",1,1,1
86,"Dash","Dash",1,1,1
87,"Fire","Fire",1,1,1
88,"Lightning","Lightning",1,1,1
89,"Cold","Cold",1,1,1
90,"LingeringIgnite","Lingering Ignite",1,1,1
91,"Heal","Heal",1,1,1
92,"PoisonBurst","Poison Burst",1,1,1
93,"Ignite","Ignite",1,1,1
94,"LightningBolt","Lightning Bolts",1,1,1
95,"Spin","Spin",1,1,1
96,"Stab","Stab",1,1,1
97,"SecondSlash","Second Slash",1,1,1
98,"Whirlwind","Whirlwind",1,1,1
99,"StrongExplosion","Strong Explosion",1,1,1
100,"Fireball","Fireball",1,1,1
101,"Wall1","Wall 1",1,1,1
102,"Wall2","Wall 2",1,1,1
103,"Wall3","Wall 3",1,1,1
104,"FireWave","Fire Wave",1,1,1
105,"HeavyStun","Heavy Stun",1,1,1
106,"Spear","Spear",1,1,1
107,"Detonation","Detonation",1,1,1
108,"FireInfused","Fire-Infused",1,1,1
109,"ColdInfused","Cold-Infused",1,1,1
110,"LightningInfused","Lightning-Infused",1,1,1
111,"DeathFromAbove","Death From Above",1,1,1
112,"LodgedSpear","Lodged Spear",1,1,1
113,"InfusedSpear","Infused Spear",1,1,1
114,"Thrust","Thrust",1,1,1
115,"Serpent","Serpent",1,1,1
116,"EmpoweredSpear","Empowered Spear",1,1,1
117,"FrenzyCharged","Frenzy-Charged",1,1,1
118,"Spirits","Spirits",1,1,1
119,"Tendrils","Tendrils",1,1,1
120,"ProjectileDamage","Projectile Damage",1,1,1
121,"AnimatedWeaponSpearLunge","Lunge (Spear)",1,1,1
122,"AnimatedWeaponMaceSlam","Slam (Mace)",1,1,1
123,"AnimatedWeaponStaffSpin","Sweep (Quarterstaff)",1,1,1
124,"Pustules","Pustules",1,1,1
