"rownum","Id","Stat","FormatText","Divisor","PerMinute"
0,"Mana",11069,"{0} Mana",1,""
1,"Life",13295,"{0} Life",1,""
2,"ES",14167,"{0} Energy Shield",1,""
3,"Rage",13332,"{0} Rage",1,""
4,"ManaPercent",13294,"{0}% Mana",1,""
5,"LifePercent",13296,"{0}% Life",1,""
6,"UnreservedManaPercent",13557,"{0}% Unreserved Mana ",1,""
7,"ManaPerMinute",14004,"{0} Mana per second",60,1
8,"LifePerMinute",14005,"{0} Life per second",60,1
9,"ManaPercentPerMinute",14008,"{0}% Mana per second",60,1
10,"LifePercentPerMinute",14009,"{0}% Life per second",60,1
11,"ESPerMinute",14085,"{0} Energy Shield per second",60,1
12,"ESPercentPerMinute",14086,"{0}% Energy Shield per second",60,1
13,"ESPercent",21842,"{0}% Energy Shield",1,""
