"rownum","StatsKey","bool_16","bool_17","bool_18","bool_19"
0,24,"","",1,""
1,11869,1,"",1,""
2,11870,1,"",1,""
3,11873,1,"",1,""
4,11874,1,"",1,""
5,11871,1,"",1,""
6,11872,1,"",1,""
7,11875,1,"",1,""
8,11876,1,"",1,""
9,11877,1,"","",""
10,449,1,"","",""
11,11878,1,"","",""
12,1357,"","",1,""
13,4780,"","",1,""
14,25,"","",1,""
15,543,"","",1,""
16,11736,"","","",1
17,11737,"","","",1
18,11846,"","",1,""
19,11847,"","",1,""
20,11738,"","","",1
21,11848,"","",1,""
22,11849,"","",1,""
23,11850,"","",1,""
24,11851,"","",1,""
25,11852,"","",1,""
26,11853,"","",1,""
27,11854,"","",1,""
28,11855,"","",1,""
29,11856,"","",1,""
30,11857,"","",1,""
31,11858,"","",1,""
32,11859,"","",1,""
33,11866,"","",1,""
34,11863,"","",1,""
35,11865,"","",1,""
36,11868,"","",1,""
37,11867,"","",1,""
38,11864,"","",1,""
39,11886,"","",1,""
40,11887,"","",1,""
41,11888,"","",1,""
42,11889,"","",1,""
43,11890,"","",1,""
44,11891,"","",1,""
45,11892,"","",1,""
46,11893,"","",1,""
47,11894,"","",1,""
48,11895,"","",1,""
49,11896,"","",1,""
50,11897,"","",1,""
51,11898,"","",1,""
52,11697,"","","",1
53,11698,"","","",1
54,11699,"","","",1
55,11900,"","","",1
56,11739,"","","",1
57,11704,"","","",1
58,11703,"","","",1
59,12379,"","","",1
60,12380,"","","",1
61,12381,"","","",1
62,12383,1,"",1,""
63,12384,1,"",1,""
64,12385,1,"",1,""
65,12386,1,"",1,""
66,12266,1,"",1,""
67,12387,"",1,"",""
68,12388,"","","",1
69,12389,"","","",1
70,12390,"","",1,""
71,12391,"","",1,""
72,12392,"","",1,""
73,12393,"","",1,""
74,12394,"","",1,""
75,12395,"","",1,""
76,12396,"","","",1
77,12397,"","","",1
78,12398,"","","",1
79,12399,"","","",1
80,12400,"","","",1
81,12401,"","","",1
82,12402,"","","",1
83,12403,"","","",1
84,12404,"","","",1
85,12405,"","",1,""
86,12406,"","",1,""
87,12407,"","",1,""
88,12408,"","",1,""
89,12409,"","",1,""
90,12410,"","",1,""
91,12411,"","",1,""
92,12412,"","",1,""
93,12413,"","",1,""
94,12414,"",1,"",""
95,12430,"","","",1
96,12431,"","","",1
97,12437,"","",1,""
98,12438,"","",1,""
99,12439,"","",1,""
100,12440,"","",1,""
101,12441,"","",1,""
102,12442,"","",1,""
103,12443,"","",1,""
104,12444,"","",1,""
105,12445,"","",1,""
106,12110,"","","",1
107,12111,"","","",1
108,12512,"","","",""
109,12113,"","","",1
110,11701,"","","",1
111,12112,"","","",""
112,12513,"",1,"",""
113,12514,"","","",1
114,12515,"","","",1
115,12516,"","","",1
116,12517,"","","",1
117,12520,"","",1,""
118,12049,"","","",1
119,12050,"","","",1
120,12082,"","","",1
121,12083,"","","",1
122,12084,"","","",1
123,12087,"","","",1
124,12088,"","","",1
125,12089,"","","",1
126,12090,"","","",1
127,12091,"","","",1
128,12092,"","","",1
129,12093,"","","",1
130,12094,"","","",1
131,12095,"","","",1
132,12096,"","","",1
133,12097,"","","",1
134,12550,"","","",1
