"rownum","string_0","[rid]_8","[rid]_24","[rid]_40","rid_56","i32_72","[rid]_76","bool_92"
0,"fully_broken_armour_consumed_for_active_skill_hit_or_stun_damage","[18394,18427]",[2235],"[18862,17892]","",0,[],""
1,"fully_broken_armour_consumed_for_support_damage",[18246],[2235],[18862],"",0,[],""
2,"fully_broken_armour_consumed_to_guarantee_crit",[18247],[2235],[340],"",0,[],""
3,"fully_broken_armour_generic",[20431],[2235],[],"",0,[],""
4,"fully_broken_armour_consumed_to_trigger_battershout_explosion",[21300],[2235],[],"",0,[],""
5,"freeze_consumed_generic",[18858],[2],[],"",0,[],""
6,"freeze_consumed_to_guarantee_crit",[18816],[2],[340],"",0,[],""
7,"freeze_consumed_for_active_skill_hit_damage",[18529],[2],[19330],"",0,[],""
8,"freeze_consumed_for_active_skill_hit_damage_from_support",[20707],[2],[20708],"",0,[],""
9,"shock_consumed_generic",[18863],"[3,2386]",[],"",0,[],""
10,"shock_consumed_for_active_skill_damage_per_5percent_shock_effect",[15791],"[3,2386]",[18864],15789,1045220557,[],""
11,"ignite_consumed_by_elemental_discharge",[18829],[0],[],"",0,[],""
12,"freeze_consumed_by_elemental_discharge",[18829],[2],[],"",0,[],""
13,"shock_consumed_by_elemental_discharge",[18829],[3],[],"",0,[],""
14,"dazed_consumed_for_guarantee_crit",[19784],[2432],[340],"",0,[19789],""
15,"dazed_consumed_for_stun_buildup",[19785],[2432],[19786],"",0,[19789],""
16,"dazed_consumed_for_guarantee_hit",[21260],[2432],[],"",0,[],1
17,"ignite_consumed_generic",[21202],[0],[],"",0,[],""
18,"bloodstained_consumed_generic",[21514],[2635],[],"",0,[],""
19,"parry_consumed_generic",[22283],[2631],[],"",0,[],""
20,"parry_consumed_to_gain_X_frenzy_charges",[21607],[2631],[],"",0,[],""
21,"maim_consumed_to_break_%_armour",[22485],[505],[22486],"",0,[22484],""
