"rownum","Slot","ClusterJewelSize","ClusterIndex","ReplacesSlot","ProxySlot","StartIndices","i32_76","SinisterJewelSocket"
0,6700,"",0,"","",[],16,""
1,6701,"",0,"","",[],16,""
2,6702,"",0,"","",[],16,""
3,6703,"",0,"","",[],16,""
4,6704,"",0,"","",[],16,""
5,6705,"",0,"","",[],16,""
6,6706,"",0,"","",[],16,""
7,6707,"",0,"","",[],16,""
8,6708,"",0,"","",[],16,""
9,6709,"",0,"","",[],16,""
10,6710,"",0,"","",[],16,""
11,6711,"",0,"","",[],16,""
12,6712,"",0,"","",[],16,""
13,6713,"",0,"","",[],16,""
14,6714,"",0,"","",[],16,""
15,6715,"",0,"","",[],16,""
16,6716,"",0,"","",[],16,""
17,6717,"",0,"","",[],16,""
18,6718,"",0,"","",[],16,""
19,6719,"",0,"","",[],16,""
20,6720,"",0,"","",[],16,""
21,6721,"",0,"","",[],16,""
22,6722,"",0,"","",[],16,""
23,6723,"",0,"","",[],16,""
24,6191,"",0,"","",[],16,""
25,6724,"",0,"","",[],7,1
26,6725,"",0,"","",[],7,1
27,6726,"",0,"","",[],7,1
28,6727,"",0,"","",[],7,1
29,6728,"",0,"","",[],7,1
30,5982,"",0,"","",[],7,1
