"rownum","BaseItemType","HASH32","TankModValues","MonsterTankMods","[i32]_52","MonsterMod","Perfect","UpgradeResult","Tier","MapStat","rid_113","[rid]_129","ReplacementType"
0,87,1581488878,[12],[4774],[500],4766,"",12,0,21664,"",[],[]
1,88,4038862538,[12],[4774],[500],4767,"",13,0,21665,"",[],[]
2,89,404371406,[16],[4774],[500],4768,"",14,0,21666,"",[],[]
3,90,713030073,[12],[4774],[300],4769,"",15,0,21670,"",[],[]
4,91,1420525388,[12],[4774],[300],4762,"",16,0,21667,"",[],[]
5,92,2802997777,[12],[4774],[300],4763,"",17,0,21668,"",[],[]
6,93,1890661100,[12],[4774],[300],4764,"",18,0,21669,"",[],[]
7,94,2734094101,[25],[4774],[100],4770,"",19,0,21671,"",[],[]
8,95,3054260940,[20],[4774],[200],4771,"",20,0,21672,"",[],[]
9,96,636482231,[12],[4774],[360],4772,"",21,0,21673,"",[],[]
10,97,1183177425,[22],[4774],[200],4765,"",22,0,21674,"",[],[]
11,98,823975920,[12],[4774],[200],4773,"",23,0,21675,"",[],[]
12,99,606369470,[40],[4787],[250],4779,"",24,0,21664,"",[],[]
13,100,1860412592,[40],[4787],[250],4780,"",25,0,21665,"",[],[]
14,101,3614522244,[40],[4787],[250],4781,"",26,0,21666,"",[],[]
15,102,371926669,[40],[4787],[150],4782,"",27,0,21670,"",[],[]
16,103,2825035247,[40],[4787],[150],4775,"",28,0,21667,"",[],[]
17,104,558387611,[40],[4787],[150],4776,"",29,0,21668,"",[],[]
18,105,4217435183,[40],[4787],[150],4777,"",30,0,21669,"",[],[]
19,106,3288707393,[40],[4787],[50],4783,"",31,0,21671,"",[],[]
20,107,3519825351,[40],[4787],[100],4784,"",32,0,21672,"",[],[]
21,108,2208274413,[40],[4787],[180],4785,"",33,0,21673,"",[],[]
22,109,1505875072,[40],[4787],[100],4778,"",34,0,21674,"",[],[]
23,110,2438800725,[40],[4787],[100],4786,"",35,0,21675,"",[],[]
24,111,3073452723,[60],[4800],[125],4792,"",36,0,21664,"",[],[]
25,112,394938549,[60],[4800],[125],4793,"",37,0,21665,"",[],[]
26,113,2074231179,[60],[4800],[125],4794,"",38,0,21666,"",[],[]
27,114,577438355,[60],[4800],[75],4795,"",39,0,21670,"",[],[]
28,115,4172909234,[60],[4800],[75],4788,"",40,0,21667,"",[],[]
29,116,3587074643,[60],[4800],[75],4789,"",41,0,21668,"",[],[]
30,117,1764598813,[60],[4800],[75],4790,"",42,0,21669,"",[],[]
31,118,3691047882,[60],[4800],[25],4796,"",43,0,21671,"",[],[]
32,119,122023020,[60],[4800],[50],4797,"",44,0,21672,"",[],[]
33,120,3406251003,[60],[4800],[90],4798,"",45,0,21673,"",[],[]
34,121,890988114,[60],[4800],[50],4791,"",46,0,21674,"",[],[]
35,122,1170564337,[60],[4800],[50],4799,"",47,0,21675,"",[],[]
36,123,3082131804,"[72,77]",[4813],"[25,38]",4805,1,"",1,21664,"",[],[]
37,124,1814360593,"[72,77]",[4813],"[25,38]",4806,1,"",1,21665,"",[],[]
38,125,2043338289,"[72,77]",[4813],"[25,38]",4807,1,"",1,21666,"",[],[]
39,126,3441434657,"[72,77]",[4813],"[13,19]",4808,1,"",1,21670,"",[],[]
40,127,811232995,"[72,77]",[4813],"[13,19]",4801,1,"",1,21667,"",[],[]
41,128,1259888164,"[72,77]",[4813],"[13,19]",4802,1,"",1,21668,"",[],[]
42,129,2669748968,"[72,77]",[4813],"[13,19]",4803,1,"",1,21669,"",[],[]
43,130,2201626548,"[72,77]",[4813],"[5,8]",4809,1,"",1,21671,"",[],[]
44,131,3479967054,"[72,77]",[4813],"[10,15]",4810,1,"",1,21672,"",[],[]
45,132,834557288,"[72,77]",[4813],"[15,23]",4811,1,"",1,21673,"",[],[]
46,133,4116848427,"[72,77]",[4813],"[8,13]",4804,1,"",1,21674,"",[],[]
47,134,2013073791,"[72,77]",[4813],"[25,38]",4812,1,"",1,21675,"",[],[]
48,139,1148714083,[1],[4849],[0],4842,"","",2,"","",[],[]
49,140,3401098377,[1],[4849],[0],4843,"","",2,"","",[],[]
50,141,1764541432,[1],[4849],[0],4844,"","",2,"","",[],[]
51,142,194206808,[1],[4849],[0],4845,"","",2,"","",[],[]
52,135,1024067320,[23],[4774],[200],4814,"",53,0,22787,"",[],[]
53,136,1420583519,[40],[4787],[100],4815,"",54,0,22787,"",[],[]
54,137,399696080,[60],[4800],[50],4816,"",55,0,22787,"",[],[]
55,138,580066300,"[72,77]",[4813],"[8,13]",4817,1,"",1,22787,"",[],[]
56,143,34102149,[1],[4849],[0],4847,"","",1,"","",[],[]
57,144,3392551269,[1],[4849],[0],4848,"","",1,"","",[],[0]
58,145,1718054723,[12],[4774],[360],4818,"",59,0,21667,"",[],[]
59,146,2544437208,[40],[4787],[180],4819,"",60,0,21667,"",[],[]
60,147,3051184520,[60],[4800],[90],4820,"",61,0,21667,"",[],[]
61,148,502436840,"[72,77]",[4813],"[15,23]",4821,1,"",1,21667,"",[],[]
62,149,1067115702,[12],[4774],[360],4822,"",63,0,21668,"",[],[]
63,150,1418935077,[40],[4787],[180],4823,"",64,0,21668,"",[],[]
64,151,1427106997,[60],[4800],[90],4824,"",65,0,21668,"",[],[]
65,152,3017116631,"[72,77]",[4813],"[15,23]",4825,1,"",1,21668,"",[],[]
66,153,472623513,[12],[4774],[360],4826,"",67,0,21669,"",[],[]
67,154,1456015503,[40],[4787],[180],4827,"",68,0,21669,"",[],[]
68,155,2997493258,[60],[4800],[90],4828,"",69,0,21669,"",[],[]
69,156,1739217668,"[72,77]",[4813],"[15,23]",4829,1,"",1,21669,"",[],[]
70,157,3508467054,[23],[4774],[200],4830,"",71,0,21674,"",[],[]
71,158,1817924168,[40],[4787],[100],4831,"",72,0,21674,"",[],[]
72,159,4178397039,[60],[4800],[50],4832,"",73,0,21674,"",[],[]
73,160,3413429276,"[72,77]",[4813],"[8,13]",4833,1,"",1,21674,"",[],[]
74,161,3709100264,[25],[4774],[100],4834,"",75,0,22859,"",[],[]
75,162,83609341,[40],[4787],[50],4835,"",76,0,22859,"",[],[]
76,163,3553204409,[65],[4800],[25],4836,"",77,0,22859,"",[],[]
77,164,2549076704,"[72,77]",[4813],"[5,8]",4837,1,"",1,22859,"",[],[]
78,165,2830504193,[12],[4774],[200],4838,"",79,0,22858,"",[],[]
79,166,1396958324,[40],[4787],[100],4839,"",80,0,22858,"",[],[]
80,167,3608355944,[65],[4800],[50],4840,"",81,0,22858,"",[],[]
81,168,2990892347,"[72,77]",[4813],"[8,13]",4841,1,"",1,22858,"",[],[]
82,5043,4183126860,[1],[],[0],"","","",1,"","",[],[]
83,5044,2740752248,[1],[],[0],"","","",1,"","",[],[]
84,5045,3193917950,[1],[],[0],"","","",1,"","",[],[]
85,5046,3309037859,[1],[],[0],"","","",1,"","",[],[]
86,5047,4294568566,[1],[],[0],"","","",1,"","",[],[]
87,5048,1874977686,[1],[],[0],"","","",1,"","",[],[]
88,5049,358576893,[1],[],[0],"","","",1,"","",[],[]
89,5050,1779744128,[1],[],[0],"","","",1,"","",[],[]
90,5051,3394640835,[1],[],[0],"","","",1,"","",[],[]
91,5052,3363113969,[1],[],[0],"","","",1,"","",[],[]
92,5053,2592520543,[1],[],[0],"","","",1,"","",[],[]
93,5054,255808918,[1],[],[0],"","","",1,"","",[],[]
94,5055,1987133379,[1],[],[0],"","","",1,"","",[],[]
