"rownum","Id","Circle1","Circle2","Glow","row_32","i32_40","i32_44","Inverse1","i32_56","i32_60","Inverse2","i32_72","i32_76","bool_80"
0,"Default","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelEffectGlow",0,0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,""
1,"Vaal","Art/2DArt/UIImages/InGame/PassiveSkillScreenVaalJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenVaalJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenVaalJewelEffectGlow",0,0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,""
2,"Karui","Art/2DArt/UIImages/InGame/PassiveSkillScreenKaruiJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenKaruiJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenKaruiJewelEffectGlow",0,0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,""
3,"Maraketh","Art/2DArt/UIImages/InGame/PassiveSkillScreenMarakethJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenMarakethJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenMarakethJewelEffectGlow",0,0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,""
4,"Templar","Art/2DArt/UIImages/InGame/PassiveSkillScreenTemplarJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenTemplarJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenTemplarJewelEffectGlow",0,0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,""
5,"Eternal","Art/2DArt/UIImages/InGame/PassiveSkillScreenEternalEmpireJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenEternalEmpireJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenEternalEmpireJewelEffectGlow",0,0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,""
6,"Kalguuran","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenKalguuranJewelEffectGlow",0,0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,""
7,"Abyss","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenJewelCircle1","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenJewelCircle1","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelEffectGlow",0,0,0,"Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenJewelCircle1inverse",0,0,"Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenJewelCircle1inverse",0,0,""
8,"MTXTimelessJewel","Art/2DArt/UIImages/InGame/MTX/Jewels/PassiveSkillScreenTimelessJewelsCircle1","Art/2DArt/UIImages/InGame/MTX/Jewels/PassiveSkillScreenTimelessJewelsCircle2","Art/2DArt/UIImages/InGame/MTX/Jewels/PassiveSkillScreenTimelessJewelsEffectGlow",0,96,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,""
9,"MTXGoldenThreadOfHope","","Art/2DArt/UIImages/InGame/MTX/Jewels/ThreadOfHope/TOHRingLarge","Art/2DArt/UIImages/InGame/MTX/Jewels/ThreadOfHope/EffectedNodesGlow",0,6,0,"Art/2DArt/UIImages/InGame/MTX/Jewels/ThreadOfHope/TOHSmokeRing",150,82,"Art/2DArt/UIImages/InGame/MTX/Jewels/ThreadOfHope/TOHRingLarge",-6,0,1
10,"DruidOracleAscendancy","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenJewelCircle1","Art/2DArt/UIImages/InGame/OraclePassiveSkillScreenJewelCircle2","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelEffectGlow",0,0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelCircle1inverse",0,0,""
