"rownum","Id","rid_8","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Art","i32_40","i32_44","i32_48","i32_52","i32_56","Stat"
0,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaFirestormDaemon","","Bombard the Hiveborn","Bombarder les Ruchenés","Bombardiert die Schwarmgeborenen","ハイヴボーンを爆撃する","벌레집 태생 폭격","Bombardeia os Nascidos da Colmeia","Бомбардировать порождения","Bombardear a los nacidos de la colmena","ระเบิดปูพรมไปยังสมุนรวงรัง","轟擊巢裔","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconMeteorRain",0,0,0,30,59,""
1,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaFlameWallDaemon","","Conjure a wall of the Dreamer's Flame","Conjurer un mur de la Flamme du Rêveur","Beschwört eine Mauer aus der Flamme des Träumers","夢見人の炎の壁を呼び出す","몽상가의 불길의 벽 생성","Conjura uma parede da Chama do Sonhador","Создать стену пламени Спящего","Invocar un muro de llamas del Soñador","เสกกำแพงเพลิงของผู้ฝันใฝ่","以幻夢者之焰施放一堵牆","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconFlameWall",0,0,0,25,50,""
2,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaFreezePulseDaemon","","Freeze and Hinder the Hiveborn","Geler et Entraver les Ruchenés","Friert die Schwarmgeborenen ein und lähmt sie","ハイヴボーンを凍結し阻害する","벌레집 태생 동결 및 이동 방해","Congela e tolhe os Nascidos da Colmeia","Заморозить и сковать порождения","Congelar y entumecer a los nacidos de la colmena","แช่แข็งและขัดขวางสมุนรวงรัง","冰凍並阻礙巢裔","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconChaosIcePulse",0,0,0,30,59,""
3,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaAilithHealDaemon","","Heal Ailith","Soigner Ailith","Heilt Ailith","エイリスを回復する","아일리트 치유","Cura a Ailith","Излечить Эйлит","Curar a Ailith","รักษาเอลิธ","治癒艾里絲","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconHeal",0,0,0,20,40,""
4,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaAilithShieldDaemon","","Grant Ailith a Shield","Octroyer un Bouclier à Ailith","Gewährt Ailith einen Schild","エイリスに盾を付与する","아일리트에게 보호막 부여","Concede um escudo para a Ailith","Даровать Эйлит щит","Otorgar un escudo a Ailith","มอบโล่ให้กับเอลิธ","為艾里絲施加護盾","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconShield",0,0,0,20,40,""
5,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaEnhancedFlameAuraDaemon","","Gain an Enhanced Flame","Obtenir une Flamme améliorée","Erhaltet eine verstärkte Flamme","強化された炎を獲得する","향상된 불길 획득","Ganha uma Chama Melhorada","Усилить Пламя","Obtener una llama mejorada","รับเพลิงเสริมฤทธิ์","獲得強化之焰","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconEnhancedAura",0,0,0,30,59,""
6,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaWallDestructionDaemon","","Destroy the Hive walls around Ailith\r\n<italic>{(this skill is removed at wave 4)}","Détruire les murs de Ruche autour d'Ailith\r\n<italic>{(cette aptitude disparaîtra à la 4e vague)}","Zerstört die Schwarmmauern um Ailith herum\r\n<italic>{(diese Fertigkeit wird bei Welle 4 entfernt)}","エイリスの周囲のハイヴの壁を破壊する\r\n<italic>{(このスキルは4ウェーブ目に取り除かれる)}","아일리트 주위의 벌레집 파괴\r\n<italic>{(이 스킬은 웨이브 4에 제거됨)}","Destrói as paredes da colmeia ao redor de Ailith\r\n<italic>{(a habilidade é removida na quarta leva)}","Уничтожить стены улья вокруг Эйлит\r\n<italic>{(это умение исчезнет на 4 волне)}","Destruir los muros de la colmena que rodean a Ailith\r\n<italic>{(esta habilidad se elimina en la oleada 4)}","ทำลายกำแพงรวงรังรอบเอลิธ\r\n<italic>{(สกิลนี้จะถูกลบออกเมื่อเข้ารอบที่ 4)}","破壞所有艾里絲周遭的巢裔之牆\r\n<italic>{(此技能會於第4波時移除)}","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconWallDestruction",0,0,0,10,15,""
7,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaMagicPackSpawnDaemon","","Spawns Magic Monsters","Fait apparaître des Monstres Magiques","Erzeugt magische Monster","マジックモンスターをスポーンさせる","마법 몬스터 생성","Gera Monstros Mágicos","Порождает волшебных монстров","Genera monstruos mágicos","เรียกมอนสเตอร์เมจิก","生成魔法怪物","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconExtraSpawner",0,0,0,30,80,25924
8,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaTulAndEshSpawnDaemon","","Spawns It That Was Tul and It That Was Esh","Fait apparaître Chose qui fut Tul et Chose qui fut Esh","Beschwört 'Es, das einst Tul war' und 'Es, das einst Esh war'","トゥルだったものおよびエシュだったものをスポーンさせる","툴이었던 그것과 에쉬였던 그것을 생성합니다.","Gera Aquilo que foi Tul e Aquilo que foi Esh","Порождает То-Что-Было-Тул и То-Что-Было-Иш","Genera a Eso que era Tul y Eso que era Esh","เรียกมันผู้เคยเป็นทุลและมันผู้เคยเป็นเอ็ช","生成昔之托沃和昔之艾許","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconClone",0,0,0,30,80,25924
9,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaMonsterPotencyBuffDaemon","","Increase Monster Potency","Increase Monster Potency","Erhöhte Schlagkraft von Monstern","モンスターエフェクティブを増加させる","몬스터 효율 증가","Aumenta a Efetividade de Monstro","Повысить эффективность монстров","Aumentar la potencia de los monstruos","เพิ่มประสิทธิภาพของมอนสเตอร์","增加怪物效用","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconEnrageMonster",0,0,0,10,59,27039
10,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaMonsterUpgradeDaemon","","Creates a zone that upgrades Monster Rarity","Creates a zone that upgrades Monster Rarity","Erzeugt einen Bereich, der die Monsterseltenheit erhöht","モンスターレアリティをアップグレードするゾーンを生成する","몬스터 희귀도를 업그레이드하는 구역 생성","Cria uma zona que aumenta a raridade dos monstros","Создаёт зону, повышающую редкость монстров","Crea una zona que mejora la rareza de los monstruos","สร้างพื้นที่ที่อัพเกรดระดับความหายากของมอนสเตอร์","創造一個會升級怪物稀有度的領域","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconDreamersSight",0,0,0,60,80,27042
11,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaAdditionalRarePackDaemon","","Spawns an additional Pack with a Rare Monster at the start of each wave","Spawns an additional Pack with a Rare Monster at the start of each wave","Beschwört zu Beginn jeder Welle eine zusätzliche Gruppe mit einem seltenen Monster","各ウェーブの開始時にレアモンスター1体を含む追加1パックをスポーンさせる","각 웨이브가 시작될 때 희귀 몬스터를 포함하는 무리 1개 추가 등장","Gera um grupo adicional com um monstro raro no início de cada leva","Порождает дополнительную группу с редким монстром в начале каждой волны","Genera un grupo de monstruos adicional con un monstruo raro al inicio de cada oleada","เรียกกองมอนสเตอร์ที่มี มอนสเตอร์แรร์ 1 ตัว เพิ่มเติม 1 กอง เมื่อเริ่มแต่ละรอบ","在每波的最初生成1個含有1名稀有怪物的額外怪物群","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconNemesis",0,0,0,10,59,27040
12,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaAdditionalMagicPacksDaemon","","Spawns 2 additional Packs of Magic Monsters at the start of each wave","Spawns 2 additional Packs of Magic Monsters at the start of each wave","Beschwört zu Beginn jeder Welle 2 zusätzliche Gruppen magischer Monster","各ウェーブの開始時にマジックモンスターを追加2パックをスポーンさせる","각 웨이브가 시작될 때 마법 몬스터 무리 2개 추가 등장","Gera dois grupos adicionais de monstros mágicos no início de cada leva","Порождает 2 дополнительные группы волшебных монстров в начале каждой волны","Genera 2 grupos de monstruos mágicos adicionales al inicio de cada oleada","เรียกกองมอนสเตอร์เมจิก เพิ่มเติม 2 กอง เมื่อเริ่มแต่ละรอบ","在每波的最初生成2個額外魔法怪物群","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconExtraSpawner",0,0,0,10,59,25924
13,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaAdditionalRareModDaemon","","Creates a zone that adds a Modifier to Rare Monsters","Creates a zone that adds a Modifier to Rare Monsters","Erzeugt einen Bereich, der seltenen Monstern einen Modifikator hinzufügt","レアモンスターにモッドを1個追加するゾーンを生成する","희귀 몬스터에게 속성을 추가하는 구역 생성","Cria uma zona que adiciona um modificador a monstros raros","Создаёт зону, добавляющую свойство редким монстрам","Crea una zona que agrega un modificador a los monstruos raros","สร้างพื้นที่ที่เพิ่มม็อดให้กับมอนสเตอร์แรร์","創造一個會為稀有怪物增加詞綴的領域","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconRareMod",0,0,0,60,80,27043
14,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaSacrificeForRarityDaemon","","Sacrifice half of Ailith's Life to gain Rarity","Sacrifice half of Ailith's Life to gain Rarity","Opfert die Hälfte von Ailiths Leben, um Seltenheit zu erhalten","エイリスのライフの半分を捧げレアリティを獲得する","아일리트의 생명력 절반을 희생하여 희귀도 획득","Sacrifica metade da vida da Ailith para obter raridade","Пожертвовать половиной здоровья Эйлит, получив редкость","Sacrifica la mitad de la vida de Ailith para ganar rareza","สละพลังชีวิตครึ่งหนึ่งของเอลิธเพื่อเพิ่มระดับความหายาก","犧牲艾里絲一半的生命以獲得稀有度","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconSacrificeAilithIncreaseRarity",0,0,0,20,40,27044
15,"Metadata/Monsters/Breach/ChayulaSkills/ChayulaSacrificeForPowerDaemon","","Sacrifice half of Ailith's Life to gain Damage and Damage Immunity","Sacrifice half of Ailith's Life to gain Damage and Damage Immunity","Opfert die Hälfte von Ailiths Leben, um eine Schadenserhöhung und Immunität gegen Schaden zu erhalten","エイリスのライフの半分を捧げダメージとダメージ無効化を獲得する","아일리트의 생명력 절반을 희생하여 피해와 피해 면역 획득","Sacrifica metade da vida da Ailith para obter dano e imunidade a dano","Пожертвовать половиной здоровья Эйлит, получив урон и иммунитет к урону","Sacrifica la mitad de la vida de Ailith para ganar daño e inmunidad al daño","สละพลังชีวิตครึ่งหนึ่งของเอลิธเพื่อเพิ่มความเสียหายและการป้องกันความเสียหาย","犧牲艾里絲一半的生命以獲得傷害和傷害減免","Art/2DArt/UIImages/InGame/BreachLeague/BreachRadialIconSacrificeAilithLifeDamageImmune",0,0,0,20,40,27045
