"rownum","Id","f32_8","f32_12","f32_16"
0,"0",91,78,60
1,"1",181,78,60
2,"2",271,78,60
3,"3",361,78,60
4,"4",451,78,60
5,"5",541,78,60
6,"6",631,78,60
7,"7",721,78,60
8,"8",811,78,60
9,"9",901,78,60
10,"10",91,168,60
11,"11",181,168,60
12,"12",271,168,60
13,"13",361,168,60
14,"14",451,168,60
15,"15",541,168,60
16,"16",631,168,60
17,"17",721,168,60
18,"18",811,168,60
19,"19",901,168,60
20,"20",91,258,60
21,"21",181,258,60
22,"22",811,258,60
23,"23",901,258,60
24,"24",91,348,60
25,"25",181,348,60
26,"26",811,348,60
27,"27",901,348,60
28,"28",91,438,60
29,"29",181,438,60
30,"30",811,438,60
31,"31",901,438,60
32,"32",91,528,60
33,"33",181,528,60
34,"34",811,528,60
35,"35",901,528,60
36,"36",91,618,60
37,"37",181,618,60
38,"38",811,618,60
39,"39",901,618,60
40,"40",91,708,60
41,"41",181,708,60
42,"42",271,708,60
43,"43",361,708,60
44,"44",451,708,60
45,"45",541,708,60
46,"46",631,708,60
47,"47",721,708,60
48,"48",811,708,60
49,"49",901,708,60
50,"50",91,798,60
51,"51",181,798,60
52,"52",271,798,60
53,"53",361,798,60
54,"54",451,798,60
55,"55",541,798,60
56,"56",631,798,60
57,"57",721,798,60
58,"58",811,798,60
59,"59",901,798,60
