"rownum","Id","Rarity","Stat","NotRarity","NotStat","MapBoss","NotMapBoss","Tags","NotTags","i32_106","MinimumLevel","MaximumLevel","HASH32","BuffDefinition"
0,"IsNormalMonster",0,"","",[],"","",[],[],0,1,100,0,""
1,"IsMagicMonster",1,"","",[],"","",[],[],0,1,100,0,""
2,"IsRareMonster",2,"","",[],"","",[],[],0,1,100,0,""
3,"IsUniqueMonster",3,"","",[],"","",[],[],0,1,100,0,""
4,"IsMapBoss","","","",[],1,"",[],[],0,1,100,0,""
5,"IsNotUnique","","",3,[],"","",[],[],0,1,100,0,""
6,"IsBeyondMonster","",5503,"",[],"","",[],[],0,1,100,0,""
7,"IsInvasionBoss","",3394,"",[],"","",[],[],0,1,100,0,""
8,"IsTormentedSpirit","",5374,"",[],"","",[],[],0,1,100,0,""
9,"IsRogueExile","",8327,"",[],"","",[],[],0,1,100,0,""
10,"IsIzaro","",3976,"",[],"","",[],[],0,1,100,0,""
11,"IsNotIzaro","","","",[3976],"","",[],[],0,1,100,0,""
12,"IsSynthesisedMonster","","","",[],"","",[416],[],0,1,100,0,""
13,"IsNotConvertingPhysicalDamage","","","","[1105,1106,1107,1108]","","",[],[],0,1,100,0,""
14,"IsHarbinger","",8750,"",[],"","",[],[],0,1,100,0,""
15,"IsFirst3Possessed","",2558,"",[],"","",[],[],3,1,100,0,""
16,"IsCorruptedVaal","","","",[],"","",[443],[],0,1,100,0,""
17,"IsNotMapBoss","","","",[],"",1,[],[],0,1,100,0,""
18,"ShouldNotDropSplinters","",10905,"",[],"","",[],[],0,1,100,0,""
19,"IsWarband","",10906,"",[],"","",[],[],0,1,100,0,""
20,"IsElderPortal","",10907,"",[],"","",[],[],0,1,100,0,""
21,"IsMapBossUnderling","",10908,"",[],"","",[],[],0,1,100,0,""
22,"IsAfflictionWildBoss","",10909,"",[],"","",[],[],0,1,100,0,""
23,"IsWarbandLeader","",10962,"",[],"","",[],[],0,1,100,0,""
24,"IsNotWarbandLeader","","","",[10962],"","",[],[],0,1,100,0,""
25,"IsBetrayalTarget","",10981,"",[],"","",[],[],0,1,100,0,""
26,"IsNotBetrayalTarget","","","",[10981],"","",[],[],0,1,100,0,""
27,"IsBestiaryRedBeast","",10982,"",[],"","",[],[],0,1,100,0,""
28,"IsNotBestiaryRedBeast","","","",[10982],"","",[],[],0,1,100,0,""
29,"HeistGuard","","","",[],"","",[628],[],0,1,100,0,""
30,"IsNotRitualMonster","","","",[12553],"","",[],[],0,1,100,0,""
31,"IsShaperMonster","","","",[],"","",[638],[],0,1,100,0,""
32,"IsElderMonster","","","",[],"","",[639],[],0,1,100,0,""
33,"IsCrusaderMonster","","","",[],"","",[642],[],0,1,100,0,""
34,"IsEyrieMonster","","","",[],"","",[640],[],0,1,100,0,""
35,"IsBasiliskMonster","","","",[],"","",[641],[],0,1,100,0,""
36,"IsAdjudicatorMonster","","","",[],"","",[643],[],0,1,100,0,""
37,"IsBreachMonster","",4948,"",[],"","",[],[],0,1,100,0,""
38,"IsRitualRespawnedMapBoss","",24165,"",[],"","",[],[],0,1,100,0,""
39,"IsNotRitualRespawnedMapBoss","","","",[24165],"","",[],[],0,1,100,0,""
40,"IsAbyssMonster","","","",[],"","",[240],[],0,1,100,0,""
41,"IsEssenceMonster","",12887,"",[],"","",[],[],0,1,100,0,""
42,"IsEssenceMinion","",25434,"",[],"","",[],[],0,1,100,0,""
43,"IsInfluenceMonster","","","",[],"","",[648],[],0,1,100,0,""
44,"IsBlightBoss","","","",[],"","",[649],[],0,1,100,0,""
45,"Level4Plus","","","",[],"","",[],[],0,4,100,0,""
46,"IsBreachCommander","","","",[],"","",[200],[],0,1,100,0,""
47,"IsDelveBoss","","","",[],"","",[],[],0,1,100,11950100,""
48,"IsHellscapeMonster","","","",[],"","",[],[],0,1,100,2774769741,""
49,"IsTangleInfluencedMonster","","","",[],"","",[],[],0,1,100,155062019,""
50,"IsCleansingFireInfluencedMonster","","","",[],"","",[],[],0,1,100,3131781874,""
51,"Level1to45Monster","","","",[],"","",[],[],0,1,45,0,""
52,"Level46to67Monster","","","",[],"","",[],[],0,46,67,0,""
53,"Level68to72Monster","","","",[],"","",[],[],0,68,72,0,""
54,"Level73to77Monster","","","",[],"","",[],[],0,73,77,0,""
55,"Level78to84Monster","","","",[],"","",[],[],0,78,84,0,""
56,"Level81plusMonster","","","",[],"","",[],[],0,81,100,0,""
57,"Level85plusMonster","","","",[],"","",[],[],0,85,100,0,""
58,"IsBestiaryYellowBeast","",15797,"",[],"","",[],[],0,1,100,0,""
59,"IsMavenWitnessed","",16047,"",[],"","",[],[],0,1,100,0,""
60,"IsLastMapBoss","",16119,"",[],"","",[],[],0,1,100,0,""
61,"IsSanctumFloorBoss","",16385,"",[],"","",[],[],0,1,100,0,""
62,"IsSanctumGuard","",16404,"",[],"","",[],[],0,1,100,0,""
63,"IsSanctumBoss","",16469,"",[],"","",[],[],0,1,100,0,""
64,"IsBreachMonsterCold","","","",[],"","",[998],[],0,1,100,0,""
65,"IsBreachMonsterFire","","","",[],"","",[999],[],0,1,100,0,""
66,"IsBreachMonsterLightning","","","",[],"","",[1000],[],0,1,100,0,""
67,"IsBreachMonsterPhysical","","","",[],"","",[1001],[],0,1,100,0,""
68,"IsBreachMonsterChaos","","","",[],"","",[1002],[],0,1,100,0,""
69,"IsBlightMonster","",9623,"",[],"","",[],[],0,1,100,0,""
70,"IsAfflictionMonster","",10680,"",[],"","",[],[],0,1,100,0,""
71,"IsSanctumFinalBoss","",16658,"",[],"","",[],[],0,1,100,0,""
72,"Level80OrBelowMonster","","","",[],"","",[],[],0,1,80,0,""
73,"IsArbiterBoss","",20351,"",[],"","",[],[],0,1,100,0,""
74,"IsAfflictionDaemon","","","",[],"","",[1120],[],0,1,100,0,""
75,"IsHumanoidMonster","","","",[],"","",[48],[],0,1,100,0,""
76,"IsBeastMonster","","","",[],"","",[72],[],0,1,100,0,""
77,"IsConstructMonster","","","",[],"","",[74],[],0,1,100,0,""
78,"IsVaalMonster","","","",[],"","",[324],[],0,1,100,0,""
79,"IsKaruiMonster","","","",[],"","",[139],[],0,1,100,0,""
80,"IsEzomyteMonster","","","",[],"","",[1214],[],0,1,100,0,""
81,"IsFaridunMonster","","","",[],"","",[1215],[],0,1,100,0,""
82,"IsMarakethMonster","","","",[],"","",[174],[],0,1,100,0,""
83,"IsUndeadMonster","","","",[],"","",[73],[],0,1,100,0,""
84,"IsEssenceMonsterCorrupted","",24800,"",[],"","",[],[],0,1,100,0,""
85,"IsRareMonsterMinion","","","",[],"","",[453],[],0,1,100,0,""
86,"IsSanctifiedMonster","","","",[],"","",[1219],[],0,1,100,0,""
87,"IsPossessed","",2558,"",[],"","",[],[],0,1,100,0,""
88,"IsTouched","",12898,"",[],"","",[],[],0,1,100,0,""
89,"IsNotDaemon","","","",[],"","",[],[774],0,1,100,0,""
90,"OneRareMonster",2,"","",[],"","",[],[],1,1,100,0,""
91,"IsIncursionMonster","",24730,"",[],"","",[],[],0,1,100,0,""
92,"IsRitualMonster","",12553,"",[],"","",[],[],0,1,100,0,""
93,"IsExpeditionMonster","","","",[],"","",[693],[],0,1,100,0,""
94,"IsStoneCircleBoss","",24976,"",[],"","",[],[],0,1,100,0,""
95,"IsStoneCircleBossWithRareMod","",25038,"",[],"","",[],[],0,1,100,0,""
96,"InDeliriumFog","",10995,"",[],"","",[],[],0,1,100,0,""
97,"HasShrineMonsterBuff","","","",[],"","",[],[],0,1,100,0,3089
98,"IsStrongboxMonster","","","",[],"","",[1317],[],0,1,100,0,""
99,"ShrineBossFire","","","",[],"","",[],[],0,1,100,0,3158
100,"ShrineBossLightning","","","",[],"","",[],[],0,1,100,0,3159
101,"ShrineBossCold","","","",[],"","",[],[],0,1,100,0,3160
102,"ShrineBossGloom","","","",[],"","",[],[],0,1,100,0,3161
103,"ShrineBossAcceleration","","","",[],"","",[],[],0,1,100,0,3162
104,"ShrineBossDivine","","","",[],"","",[],[],0,1,100,0,2505
105,"ShrineBossMagicFind","","","",[],"","",[],[],0,1,100,0,3163
106,"ShrineBossMassive","","","",[],"","",[],[],0,1,100,0,3164
107,"ShrineBossRegeneration","","","",[],"","",[],[],0,1,100,0,3165
108,"ShrineBossExperience","","","",[],"","",[],[],0,1,100,0,3166
109,"ShrineBossResistance","","","",[],"","",[],[],0,1,100,0,3169
110,"ShrineBossDiamond","","","",[],"","",[],[],0,1,100,0,3170
