"rownum","Id","VisualEffect","bool_24","i32_25","i32_29"
0,"HeraldOfAsh",278,1,0,1000
1,"HeraldOfThunder",283,1,0,1000
2,"HeraldOfThunderActive",285,1,0,1000
3,"HeraldOfIce",289,1,0,1000
4,"RuthlessStage1",280,"",0,0
5,"RuthlessStage2",281,"",0,0
6,"TwilightOrderOfficerSmite",282,"",2,0
7,"StormStrike",211,"",2,0
8,"InfernalCry",286,"",2,1000
9,"IncendiaryRapidShot",288,"",0,1000
10,"EmpowerBarrageBase",291,"",0,1000
11,"EmpowerBarrageWithCharge",292,"",0,1000
12,"IgneousShieldCharged",293,"",2,1000
13,"IgneousShieldCooldown",294,"",2,1000
14,"ChargedStaff",295,"",2,0
15,"ShieldingCry",296,"",2,0
16,"HeraldOfAgony",305,"",2,1000
17,"SupportChargedShots",313,"",2,1000
18,"HeraldOfBlood",314,1,0,1000
19,"SupportSpectralArrows",315,"",2,1000
20,"NoEffect",316,"",2,0
21,"HeraldOfThunderValkyrie",317,"",0,0
22,"HeraldOfThunderActiveValkyrie",318,"",0,0
23,"HeraldOfThunderFaridun",319,"",0,0
24,"HeraldOfThunderActiveFaridun",320,"",0,0
25,"HeraldOfThunderDarkTempest",321,"",2,0
26,"HeraldOfThunderActiveDarkTempest",322,"",2,0
27,"HeraldOfThunderDoryani",323,"",2,0
28,"HeraldOfThunderActiveDoryani",324,"",2,0
29,"RequiemActive",325,1,2,1000
30,"ToxicDomainWeapon",327,"",2,0
31,"VoltaicMarkWeapon",331,"",2,0
32,"FreezingMarkWeapon",332,"",2,0
33,"HeraldOfIceAurora",333,"",2,0
34,"ToxicDomainWeaponNightLotus",336,"",2,0
35,"ChargedStaffAurora",341,"",2,0
36,"ToxicDomainWeaponBlight",344,"",2,0
37,"EmpowerBarrageBaseSpiritWalker",351,"",0,1000
38,"EmpowerBarrageWithChargeSpiritWalker",352,"",0,1000
39,"FinalityWeaponBuff",353,"",2,0
40,"EmergencyReloadBuffVampiric",355,"",0,0
