"rownum","rid_0","i32_16","[rid]_20"
0,99,1,[371]
1,100,1,[372]
2,101,1,[373]
3,96,1,"[377,378,379,380,381,382,383]"
4,97,1,[384]
5,95,1,[376]
6,102,1,[374]
7,103,1,[375]
8,105,1,[387]
9,214,2,[579]
10,215,2,[580]
11,218,2,[581]
12,223,2,[582]
13,230,2,[583]
14,236,2,[584]
15,243,2,[585]
16,253,2,[586]
17,261,2,[587]
18,206,2,[588]
19,299,3,"[711,712,776,777,728,729]"
20,314,3,"[713,714,778,779,730,731]"
21,321,3,"[715,716,786,787,788,732,733]"
22,347,3,"[717,718,783,784,734,735]"
23,357,3,"[719,785,736]"
24,337,3,"[720,721,774,775,737,738]"
25,364,3,"[722,723,773,739,740]"
26,365,3,"[722,723,773,739,740]"
27,375,3,"[724,725,780,741,742]"
28,376,3,"[724,725,780,741,742]"
29,385,3,"[726,727,781,782,743,744]"
