"rownum","string_0","rid_8","i32_24","i32_28","rid_32","i32_48","bool_52","i32_53","i32_57","bool_61","i32_62","u16_66","bool_68"
0,"Metadata/Items/Currency/OmenOnAbyssRerollOptions",4445,86,772,78,0,"",0,0,1,16777216,0,""
1,"Metadata/Items/Currency/OmenOnAbyssGuarenteeLichTypeMod1",4446,184,772,78,0,"",1,0,1,16777216,0,""
2,"Metadata/Items/Currency/OmenOnAbyssGuarenteeLichTypeMod2",4447,282,772,78,0,"",2,0,1,16777216,0,""
3,"Metadata/Items/Currency/OmenOnAbyssGuarenteeLichTypeMod3",4448,380,772,78,0,"",3,0,1,16777216,0,""
4,"Metadata/Items/Currency/OmenOnAbyssVeilAllAndCorrupt",4449,478,772,78,0,"",4,0,1,16777216,0,""
5,"Metadata/Items/Currency/OmenOnAnnulRemoveAbyssMod",4450,576,772,78,0,"",5,0,1,16777216,0,""
6,"Metadata/Items/Currency/OmenOnAbyssAddPrefixes",4451,674,772,78,0,"",6,0,1,16777216,0,""
7,"Metadata/Items/Currency/OmenOnAbyssAddSuffixes",4452,772,772,78,0,"",7,0,1,16777216,0,""
8,"Metadata/Items/Currency/AbyssalBenchTicketWeaponLow",4851,331,332,78,0,"",0,1,1,16777216,0,""
9,"Metadata/Items/Currency/AbyssalBenchTicketWeapon",4852,428,332,78,0,"",1,1,1,16777216,0,""
10,"Metadata/Items/Currency/AbyssalBenchTicketWeaponHigh",4853,525,332,78,0,"",2,1,1,16777216,0,""
11,"Metadata/Items/Currency/AbyssalBenchTicketArmourLow",4854,331,528,78,0,"",3,1,1,16777216,0,""
12,"Metadata/Items/Currency/AbyssalBenchTicketArmour",4855,428,528,78,0,"",4,1,1,16777216,0,""
13,"Metadata/Items/Currency/AbyssalBenchTicketArmourHigh",4856,525,528,78,0,"",5,1,1,16777216,0,""
14,"Metadata/Items/Currency/AbyssalBenchTicketJewelleryLow",4857,282,430,78,0,"",6,1,1,16777216,0,""
15,"Metadata/Items/Currency/AbyssalBenchTicketJewellery",4858,380,430,78,0,"",7,1,1,16777216,0,""
16,"Metadata/Items/Currency/AbyssalBenchTicketJewelleryHigh",4859,478,430,78,0,"",8,1,1,16777216,0,""
17,"Metadata/Items/Currency/AbyssalBenchTicketJewel",4860,428,234,78,0,"",9,1,1,16777216,0,""
18,"Metadata/Items/Currency/AbyssalBenchTicketWaystone",4861,428,626,78,0,"",10,1,1,16777216,0,""
19,"Metadata/Items/Currency/AbyssalBenchTicketBreach",4862,576,430,78,0,"",11,1,1,16777216,0,""
20,"Metadata/Items/Currency/Abyss/AbyssPinnacleKey",3767,428,86,78,0,"",0,2,1,16777216,0,""
