"rownum","Area","RemnantAnimation","PlinthAnimation"
0,0,10713,""
1,105,10713,10889
2,106,10713,10889
3,107,10713,10889
4,108,10713,10889
5,109,10713,10889
6,110,10713,10889
7,111,10713,10891
8,112,10713,10891
9,113,10713,10891
10,114,10713,10889
11,115,10713,10889
12,116,10713,10890
13,117,10713,10889
14,118,10713,10889
15,119,10713,10891
16,120,10713,10891
17,122,10713,10918
18,123,10713,10918
19,124,10713,10918
20,127,10713,10918
21,128,10713,10918
22,129,10713,10918
23,130,10713,10918
24,131,10713,10918
25,132,10713,10918
26,133,10713,10918
27,134,10713,10918
28,136,10713,10918
29,137,10713,10918
30,138,10713,10916
31,139,10713,10916
32,140,10713,10916
33,141,10713,10916
34,160,10713,10922
35,161,10713,10922
36,162,10713,10922
37,163,10713,10922
38,164,10713,10923
39,165,10713,10922
40,166,10713,10923
41,167,10713,10923
42,168,10713,10922
43,169,10713,10922
44,170,10713,10923
45,173,10713,10922
46,174,10713,10923
47,175,10713,10923
48,176,10713,10923
49,177,10713,10923
50,181,10713,10917
51,182,10713,10917
52,183,10713,10917
53,184,10713,10917
54,185,10713,10917
55,186,10713,10917
56,187,10713,10917
57,188,10713,10917
58,190,10713,10891
59,191,10713,""
60,192,10713,10917
61,193,10713,10917
62,195,10713,10920
63,197,10713,10921
64,199,10713,10917
65,200,10713,10917
66,205,10713,10889
67,206,10713,10889
68,207,10713,10889
69,208,10713,10891
70,209,10713,10891
71,210,10713,10891
72,212,10713,10918
73,213,10713,10918
74,214,10713,10918
75,215,10713,10918
76,216,10713,10918
77,217,10713,10918
78,218,10713,10918
79,220,10713,10889
80,221,10713,10889
81,222,10713,10922
82,223,10713,10922
83,224,10713,10922
84,225,10713,10922
85,226,10713,10923
86,234,10713,10889
87,237,10713,10921
88,238,10713,10918
89,239,10713,10921
90,286,10713,10918
91,241,10713,10917
92,242,10713,10918
93,243,10713,10917
94,244,10713,10890
95,246,10713,10921
96,247,10713,10922
97,248,10713,""
98,250,10713,10916
99,251,10713,10922
100,252,10713,10889
101,253,10713,10891
102,255,10713,10921
103,256,10713,10923
104,257,10713,10889
105,265,10713,""
106,263,10713,10923
107,259,10713,10889
108,260,10713,10921
109,264,10713,10922
110,240,10713,10889
111,236,10713,10922
112,254,10713,10917
113,258,10713,10922
114,288,10713,10889
115,245,10713,10923
116,271,10713,10921
117,267,10713,10889
118,235,10713,10917
119,272,10713,10921
120,269,10713,10891
121,274,10713,10918
122,261,10713,10891
123,249,10713,""
124,232,10713,10922
125,273,10713,10916
126,275,10713,10918
127,270,10713,10918
128,266,10713,10917
129,287,10713,10923
130,262,10713,10922
131,229,10713,10916
132,230,10713,10889
133,231,10713,10891
134,233,10713,10921
135,276,10713,10923
136,277,10713,10918
137,278,10713,10923
138,279,10713,10923
139,289,10713,10918
140,290,10713,10919
141,294,10713,""
142,310,10713,10922
143,309,10713,10921
144,308,10713,10918
145,307,10713,10918
146,303,10713,10922
147,313,10713,10920
148,302,10713,10922
149,306,10713,10918
150,312,10713,10917
151,296,10713,10891
152,315,10713,10919
153,316,10713,10917
154,304,10713,10921
155,317,10713,10917
156,334,10713,10920
157,321,10713,10923
158,305,10713,""
159,299,10713,10916
160,314,10713,10920
161,297,10713,10918
162,268,10713,10923
163,298,10713,10921
164,300,10713,10890
165,322,10713,10921
166,293,10713,10921
167,319,10713,""
168,320,10713,""
169,323,10713,10918
170,311,10713,""
171,295,10713,10921
172,324,10713,""
173,335,10713,10921
174,328,10713,10922
175,331,10713,10889
176,330,10713,10891
177,329,10713,10917
178,318,10713,10923
179,354,10713,10891
180,356,10713,10923
181,357,10713,10917
182,373,11024,""
