"rownum","Passive","DisplayText"
0,5724,"[AncestralBond|Ancestral Bond]"
1,5719,"[GiantsBlood|Giant's Blood]"
2,5720,"[UnwaveringStance|Unwavering Stance]"
3,5721,"[AvatarOfFire|Avatar of Fire]"
4,5722,"[BloodMagic|Blood Magic]"
5,5718,"[ResoluteTechnique|Resolute Technique]"
6,5725,"[PainAttunement|Pain Attunement]"
7,5726,"[ChaosInoculation|Chaos Inoculation]"
8,5727,"[EldritchBattery|Eldritch Battery]"
9,5728,"[MindOverMatter|Mind Over Matter]"
10,5729,"[WhispersOfDoom|Whispers of Doom]"
11,5730,"[NecromanticTalisman|Necromantic Talisman]"
12,5731,"[Conduit]"
13,5733,"[Resonance]"
14,5734,"[EternalYouth|Eternal Youth]"
15,5735,"[KeystoneDruidicRage|Primal Hunger]"
16,5736,"[DanceWithDeath|Dance With Death]"
17,5737,"[Heartstopper]"
18,5738,"[Oasis]"
19,5739,"[VaalPact|Vaal Pact]"
20,5740,"[IronReflexes|Iron Reflexes]"
21,5741,"[GlancingBlows|Glancing Blows]"
22,5742,"[ElementalEquilibrium|Elemental Equilibrium]"
23,5743,"[Bulwark]"
24,5745,"[TrustedKinship|Trusted Kinship]"
25,5744,"[CrimsonAssault|Crimson Assault]"
26,5746,"[HollowPalmTechnique|Hollow Palm Technique]"
27,5747,"[KeystoneFireSpellsBecomeChaosSpells|Blackflame Covenant]"
28,5748,"[KeystoneAutoInvocation|Ritual Cadence]"
29,5750,"[ScarredFaith|Scarred Faith]"
30,5751,"[LordOfTheWilds|Lord of the Wilds]"
31,5752,"[KeystoneWildsurgeIncantation|Wildsurge Incantation]"
32,5723,"[ZealotsOath|Zealot's Oath]"
