"rownum","Id","IsPathway","UpgradedBy","ConvertedBy","ConvertedTo","UpgradedByPower","IsPastExclusive","IsBossReward","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile"
0,"Nothing","",[],[],[],0,1,"","","","","","","","","","","",""
1,"Path",1,[],[],[],0,1,"","","","","","","","","","","",""
2,"PoweredPath",1,[],[],[],0,1,"","","","","","","","","","","",""
3,"Garrison","","[4,5]","[10,8]","[12,9]",0,1,"","Garrison","Garnison","Garnison","兵舎","수비실","Guarnição","Гарнизон","Guarnición","กองทหารรักษาการณ์","衛兵","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverGarrison.dds"
4,"Commander","","[3,3,3,12,12,12]",[],[],0,1,"","Commander","Commandant","Kommandant","司令官","지휘관","Comandante","Командир","Comandante","ผู้บัญชาการ","指揮官","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverCommander.dds"
5,"Armoury","","[6,13]",[],[],0,1,"","Armoury","Armurerie","Waffenkammer","装備庫","갑주 창고","Arsenal","Оружейная","Armería","คลัง​เกราะ","軍械庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverArmoury.dds"
6,"Smithy","",[15],[],[],1,1,"","Smithy","Forge","Schmiede","鍛冶場","대장간","Ferraria","Кузница","Herrería","โรงเหล็ก","鑄造師","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverSmithy.dds"
7,"Generator","","[14,18]",[],[],0,1,"","Generator","Générateur","Generator","発電機","발전기","Gerador","Генератор","Generador","เตาปฏิกรณ์","發電機","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverGenerator.dds"
8,"ViperSpymaster","",[],[],[],0,"","","Spymaster","Maître-espion","Spionagemeister","スパイマスター","첩보대장","Mestre-espião","Соглядатай","Maestra de espionaje","นักจารชน","情報師","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverViperSpymaster.dds"
9,"ViperLegionBarracks","","[5,8]",[10],[12],0,"","","Legion Barracks","Caserne de la Légion","Legionskaserne","軍団の兵舎","군단 주둔지","Quartel da Legião","Бараки легиона","Barracones de la legión","โรงทหารกองพัน","軍團營房","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverViperLegionBarracks.dds"
10,"SynthfleshLab","",[11],[],[],1,"","","Synthflesh Lab","Laboratoire synthichair","Kunstfleischlabor","合成肉の研究所","인조육체 연구소","Laboratório da Carne Sintética","Лаборатория плотосинтеза","Laboratorio de carne sintética","ห้องทดลองเนื้อสังเคราะห์","合膚實驗室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverSynthflesh.dds"
11,"FleshSurgeon","",[10],[],[],0,"","","Flesh Surgeon","Chairurgien","Fleischchirurg","肉の外科手術室","살점 의사","Cirurgião de Carne","Хирург плоти","Cirujano de carne","ศัลยากรเนื้อ","血肉外科醫師","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverFleshSurgeon.dds"
12,"TranscendentBarracks","",[10],[],[],1,"","","Transcendent Barracks","Caserne transcendante","Transzendente Kaserne","超越の兵舎","초월적 주둔지","Quartel da Transcendência","Бараки вознесённых","Barracones trascendentes","โรงทหารเหนือมนุษย์","超凡營房","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverTranscendentBarracks.dds"
13,"AlchemyLab","","[14,14]",[],[],0,"","","Alchemy Lab","Laboratoire d'alchimie","Alchemielabor","錬金術研究所","연금술 연구소","Laboratório de Alquimia","Алхимическая лаборатория","Laboratorio de alquimia","ห้องทดลองแปรธาตุ","鍊金實驗室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomHover/RoomHoverAlchemyLab.dds"
