"rownum","ItemClass","TwoWeaponSlots","bool_17","Damage","CritChance","MinPhys","MaxPhys","MinFire","MaxFire","MinCold","MaxCold","MinLightning","MaxLightning","MinChaos","MaxChaos","CritMulti","PhysDamage","FireDamage","ColdDamage","Knockback","CritKnockback","Accuracy","AccuracyInc","AttackSpeed","MeleeRange","ElementalDamage","Tag","i32_402"
0,36,"","",3694,19313,6305,6306,"","","","","","","","","","","","","","","","",19554,2803,"","",13
1,7,"","",8984,548,6253,6254,6279,6280,6291,6292,6265,6266,13086,13087,96,37,2898,2915,"","",493,89,77,9208,"",743,9
2,8,"","",2307,2362,6251,6252,403,404,405,406,401,402,"","",2363,41,2891,2908,107,459,498,93,81,"",407,739,9
3,9,"","",8986,2331,6257,6258,6283,6284,6297,6298,6271,6272,"","",604,40,2890,2907,"","",491,92,80,9206,"",733,9
4,11,"","",8981,2720,6259,6260,6285,6286,6299,6300,6273,6274,"","",603,34,2901,2918,"","",494,86,74,9205,"",740,9
5,12,"","",8985,2360,6261,6262,6287,6288,6301,6302,6275,6276,"","",650,38,2896,2913,"","",497,90,78,9207,1094,736,9
6,13,1,"",14579,549,2165,2166,2167,2168,6295,6296,6269,6270,13088,13089,605,39,2900,2917,105,458,492,91,79,"",2794,742,5
7,14,1,"","","","","","","","","","","","","","","","","","","","","","","","",744,6
8,15,1,"",8986,2331,6257,6258,6283,6284,6297,6298,6271,6272,"","",604,40,2890,2907,"","",491,92,80,9206,"",735,3
9,16,1,"",8981,2720,6259,6260,6285,6286,6299,6300,6273,6274,"","",603,34,2901,2918,"","",494,86,74,9205,"",741,1
10,17,1,"",8985,2360,6261,6262,6287,6288,6301,6302,6275,6276,"","",650,38,2896,2913,"","",497,90,78,9207,1094,737,1
11,20,"","","","","","","","","","","","","","","","","","","","","","","","","","",11
12,26,"","","","","","","","","","","","","","","","","","","","","","","","","",746,2
13,32,"","","","","","","","","","","","","","","","","","","","","","","","","",738,9
14,6,"","",8983,550,6255,6256,6281,6282,6293,6294,6267,6268,13084,13085,2721,36,2899,2916,"","",495,88,76,9209,"",745,7
15,37,1,"","","","","","","","","","","","","","","","","","","","","","","","","",13
16,57,1,"",8982,2361,6263,6264,6289,6290,6303,6304,6277,6278,"","",2722,35,2895,2912,106,457,496,87,75,9204,9181,744,6
17,78,"",1,12518,12522,12525,12526,12527,12528,12529,12530,12531,12532,"","",12523,"","","","","",12520,12519,12521,12524,"",1043,3
18,79,1,"",16287,16292,16294,16295,16296,16297,16298,16299,16300,16301,"","",16293,16303,"","","","",16290,16289,16291,"",16288,1044,4
19,80,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
20,84,"","",16071,16076,16079,16080,16081,16082,16083,16084,16085,16086,"","",16077,"","","","","",16074,16073,16075,16078,16072,"",8
21,93,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
22,97,1,"","","","","","","","","","","","","","","","","","","","","","","","","",13
23,100,"","","","","","","","","","","","","","","","","","","","","","","","","","",13
24,94,"","",8981,2720,6259,6260,6285,6286,6299,6300,6273,6274,"","",603,34,2901,2918,"","",494,86,74,9205,"",740,9
25,95,1,"",8981,2720,6259,6260,6285,6286,6299,6300,6273,6274,"","",603,34,2901,2918,"","",494,86,74,9205,"",741,1
26,109,1,"","","","","","","","","","","","","","","","","","","","","","","","","",12
27,104,"","","","","","","","","","","","","","","","","","","","","","","","","","",13
