"rownum","ActiveSkill","i32_16","MiscAnimated","MeleeTrail1","MeleeTrail2","MeleeTrail3","MeleeTrail4","MeleeTrail5","MeleeTrail6","MeleeTrail7","bool_148","SurgeEffect_EPKFile","string_157","string_165","MeleeTrail8","MeleeTrail9"
0,40,0,"","","","","","","","",1,"","","","",""
1,40,1,"","","","","","","","","","","","","",""
2,40,2,2348,"","","","","","","",1,"","","","",""
3,40,3,"","","",12,13,"","","",1,"","","","",""
4,40,4,"",42,43,"","","","","","","","","","",""
5,40,5,"",44,45,"","","","","",1,"","","","",""
6,40,6,"",108,108,109,109,110,110,111,1,"","","","",""
7,40,7,"",112,112,112,112,112,112,112,1,"","","","",""
8,40,8,"",114,113,114,113,"","","",1,"","","","",""
9,40,9,"","","",123,123,124,"","",1,"","","","",""
10,40,10,"","","",125,125,"","","",1,"","","","",""
11,40,11,"","","","","",126,"","",1,"","","","",""
12,40,12,"","","","","",127,"","",1,"","","","",""
13,40,13,"","","",128,"","","","",1,"","","","",""
14,40,14,"","","","","","",66,"",1,"","","","",""
15,40,100,"",129,130,"","","","","",1,"","Monster_Trail_R","Monster_Trail_L","",""
16,40,200,"","","",229,229,229,229,"",1,"","","","",""
17,661,1,"","","",213,213,206,218,"","","","","","",""
18,754,1,"","","",213,213,206,218,"","","","","","",""
19,755,1,"","","",213,213,206,218,"","","","","","",""
20,756,1,"","","",213,213,206,218,"","","","","","",""
21,757,1,"","","",213,213,206,218,"","","","","","",""
22,758,1,"","","",213,213,206,218,"","","","","","",""
23,759,1,"","","",213,213,206,218,"","","","","","",""
24,760,1,"","","",213,213,206,218,"","","","","","",""
25,761,1,"","","",213,213,206,218,"","","","","","",""
26,762,1,"","","",213,213,206,218,"","","","","","",""
27,763,1,"","","",213,213,206,218,"","","","","","",""
28,764,1,"","","",213,213,206,218,"","","","","","",""
29,765,1,"","","",213,213,206,218,"","","","","","",""
30,766,1,"","","",213,213,206,218,"","","","","","",""
31,767,1,"","","",213,213,206,218,"","","","","","",""
32,768,1,"","","",213,213,206,218,"","","","","","",""
33,769,1,"","","",213,213,206,218,"","","","","","",""
34,770,1,"","","",213,213,206,218,"","","","","","",""
35,771,1,"","","",213,213,206,218,"","","","","","",""
36,772,1,"","","","","","","","",1,"","","","",""
37,773,0,"","","","","","","","",1,"","","","",""
38,775,0,"","","","","","","","","","","","","",""
39,18,0,"",30,29,32,31,35,33,34,1,"","","","",""
40,18,1,"",144,143,146,145,149,147,148,1,"","","","",""
41,12,0,"",24,"",25,"",28,26,27,1,"","","","",""
42,12,1,"",0,"",1,"",4,2,3,1,"","","","",""
43,13,0,"",24,"",25,"",28,26,27,1,"","","","",""
44,13,1,"",0,"",1,"",4,2,3,1,"","","","",""
45,72,0,"",182,182,182,182,182,182,182,1,"","","","",""
46,24,0,"",10,11,12,13,16,14,15,"","","","","",""
47,24,1,"",10,11,12,13,16,14,15,"","","","","",""
48,24,2,"",10,11,12,13,16,14,15,"","","","","",""
49,24,3,"",10,11,12,13,16,14,15,"","","","","",""
50,24,4,"",10,11,12,13,16,14,15,"","","","","",""
51,25,0,"",10,11,12,13,16,14,15,1,"","","","",""
52,55,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
53,56,0,"",77,76,71,70,75,72,73,"","","","","",""
54,60,0,"",103,103,104,104,105,105,105,"","","","","",""
55,202,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","","","",""
56,203,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","","","",""
57,209,0,"",10,11,12,13,16,14,15,"","","","","",""
58,130,0,"",10,11,12,13,16,14,15,"","","","","",""
59,130,1,"",10,11,12,13,16,14,15,"","","","","",""
60,166,0,379,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
61,166,1,"",10,11,12,13,16,14,15,"","","","","",""
62,166,2,"",10,11,12,13,16,14,15,"","","","","",""
63,166,3,1878,10,11,12,13,16,14,15,"","","","","",""
64,166,4,"",10,11,12,13,16,14,15,1,"","","","",""
65,166,5,4242,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","","","",""
66,166,6,"",10,11,12,13,16,14,15,"","","","","",""
67,166,7,"",10,11,12,13,16,14,15,"","","","","",""
68,360,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","","","",""
69,360,1,"",6,5,8,7,9,9,9,1,"","","","",""
70,360,3,"",171,172,173,174,175,175,175,1,"","","","",""
71,131,0,"",10,11,12,13,16,14,15,"","","","","",""
72,73,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_phys_weapon_surge.epk","","","",""
73,73,1,"",131,131,132,132,135,133,134,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/holy_celestial_weapon_surge.epk","","","",""
74,90,0,"",10,11,12,13,16,14,15,"","","","","",""
75,416,0,"",46,47,46,47,46,46,47,1,"","","","",""
76,195,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","","","",""
77,195,1,"",122,121,116,115,120,117,118,"","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_surge_automaton.epk","","","",""
78,319,0,"",56,55,58,57,59,60,61,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","","","",""
79,359,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_fire_weapon_surge.epk","","","",""
