"rownum","Id","Variant","Projectiles","i32_28","Stat"
0,"default_ranged",0,[65],3,""
1,"default_ranged",1,[225],3,""
2,"default_ranged",2,[347],3,""
3,"default_ranged",3,[576],3,""
4,"default_ranged",4,[577],3,""
5,"default_ranged",5,[613],3,""
6,"default_ranged",6,[629],3,""
7,"default_ranged",7,[630],3,""
8,"default_ranged",8,[631],3,""
9,"default_ranged",9,[632],3,""
10,"default_ranged",10,[633],3,""
11,"default_ranged",11,[634],3,""
12,"default_ranged",12,[635],3,""
13,"default_ranged",13,[636],3,""
14,"default_ranged",14,[637],3,""
15,"default_ranged",15,[638],3,""
16,"default_ranged",16,[639],3,""
17,"default_ranged",17,[640],3,""
18,"default_ranged",18,[722],3,""
19,"default_ranged",19,[698],3,""
20,"default_ranged",20,[707],3,""
21,"default_ranged",21,[723],3,""
22,"default_ranged",22,[730],3,""
23,"default_ranged",23,[731],3,""
24,"default_ranged",24,[732],3,""
25,"default_ranged",25,[825],3,""
26,"default_ranged",26,[828],3,""
27,"default_ranged",27,[835],3,""
28,"default_ranged",28,[936],3,""
29,"default_ranged",29,[984],3,""
30,"default_ranged",30,[991],3,""
31,"default_ranged",31,[1167],3,""
32,"default_ranged",32,[1178],3,""
33,"default_ranged",33,[1179],3,""
34,"default_ranged",34,[1180],3,""
35,"default_ranged",35,[66],3,""
36,"default_ranged",36,[1386],3,""
37,"default_ranged",1000,[1570],3,""
38,"default_ranged",1001,[1573],3,""
39,"default_ranged",1002,[1636],3,""
40,"default_ranged",1003,[1752],3,""
41,"default_ranged",1004,[1760],3,""
42,"default_ranged",1005,[1574],3,""
43,"default_ranged",1006,[1575],3,""
44,"cremation_projectile",0,[387],3,""
45,"cremation_projectile",1,[387],3,""
46,"cremation_projectile",2,[430],3,""
47,"cremation_projectile",3,[434],3,""
48,"cremation_projectile",4,[388],3,""
49,"cremation_projectile",5,[1069],3,""
50,"cremation_projectile",6,[1177],3,""
51,"cremation_projectile",7,[1181],3,""
52,"soulfeast_primary",0,[1183],3,""
53,"soulfeast_secondary",0,[1184],3,""
54,"soulfeast_primary_short",0,[1185],3,""
55,"soulfeast_secondary_short",0,[1186],3,""
56,"soulfeast_primary",1,[1285],3,""
57,"soulfeast_secondary",1,[1286],3,""
58,"soulfeast_primary_short",1,[1287],3,""
59,"soulfeast_secondary_short",1,[1288],3,""
60,"igniting_flask",0,[1200],3,""
61,"spark",0,[17],3,""
62,"spark",1,[18],3,""
63,"spark",2,[19],3,""
64,"spark",3,[272],3,""
65,"spark",4,[370],3,""
66,"spark",5,[371],3,""
67,"spark",6,[17],3,""
68,"spark",7,[447],3,""
69,"spark",8,[462],3,""
70,"spark",9,[485],3,""
71,"spark",10,[498],3,""
72,"spark",11,[547],3,""
73,"spark",12,[624],3,""
74,"spark",13,[733],3,""
75,"spark",14,[740],3,""
76,"spark",15,[791],3,""
77,"spark",16,[933],3,""
78,"spark",17,[1052],3,""
79,"spark",18,[1053],3,""
80,"spark",19,[1201],3,""
81,"spark",20,[2007],3,""
82,"spark",1000,[1387],3,""
83,"spark",1001,[1391],3,""
84,"spark",1002,[1418],3,""
85,"spark",1003,[1544],3,""
86,"spark",1004,[1398],3,""
87,"spark",1005,[1392],3,""
88,"spark",1006,[1808],3,""
89,"spark",1007,[1809],3,""
90,"spark",1008,[1810],3,""
91,"spark",1009,[1399],3,""
92,"spark",1010,[1794],3,""
93,"spark_monster",1,[103],3,""
94,"spark_monster",2,[104],3,""
95,"spark_monster",3,[878],3,""
96,"spark_monster",4,[879],3,""
97,"spark_monster",1000,[1659],3,""
98,"spark_monster",1004,[1398],3,""
99,"spark_monster",1006,[1808],3,""
100,"spark_monster",1007,[1809],3,""
101,"spark_monster",1008,[1810],3,""
102,"spark_monster",1009,[1399],3,""
103,"spark_monster",1010,[1794],3,""
104,"spark_tornado",0,[371],3,""
105,"spark_tornado",2,[374],3,""
106,"spark_tornado",17,[372],3,""
107,"spark_tornado",18,[373],3,""
108,"spark_tornado",19,[375],3,""
109,"spark_tornado",1006,[1808],3,""
110,"spark_tornado",1007,[1809],3,""
111,"spark_tornado",1008,[1810],3,""
112,"lightning_strike_projectile",0,[35],3,""
113,"lightning_strike_projectile",1,[36],3,""
114,"burning_arrow",0,[69],3,""
115,"burning_arrow_vaal",0,[70],3,""
116,"burning_arrow",1,[1216],3,""
117,"burning_arrow_vaal",1,[1217],3,""
118,"eye_of_winter_ball",0,[1202],3,""
119,"eye_of_winter_ball",1,[1231],3,""
120,"eye_of_winter_ball",2,[1507],3,""
121,"eye_of_winter_ball",1000,[1409],3,""
122,"eye_of_winter_ball",3,[1979],3,""
123,"eye_of_winter_ball",4,[1204],3,""
124,"eye_of_winter_shard",0,[1203],3,""
125,"eye_of_winter_shard",1,[1232],3,""
126,"eye_of_winter_shard",2,[1508],3,""
127,"eye_of_winter_shard",1000,[1410],3,""
128,"eye_of_winter_shard",3,[1980],3,""
129,"eye_of_winter_shard",4,[1205],3,""
130,"spectral_helix",0,[1192],3,""
131,"spectral_helix",1,[1233],3,""
