"rownum","i32_0","i32_4","i32_8","i32_12","i32_16","i32_20","MonsterVarietiesKeys","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","i32_68","i32_72","bool_76","bool_77","f32_78","i32_82","i32_86","i32_90","i32_94","i32_98","i32_102","bool_106","string_107","i32_115","bool_119","bool_120","i32_121","bool_125","f32_126","i32_130","bool_134","f32_135","i32_139","bool_143"
0,1000,1,33,99,0,0,75,0,-30,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,1,"","",2,1,"",0,"",0,0,"",0,0,""
1,1001,1,10,150,0,0,76,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,1,"","",3,1,1,0,"",0,0,"",0,0,""
2,1002,1,15,75,0,0,77,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,1,"","",3,1,"",0,1,0.03,0,"",0,0,""
3,1003,1,60,300,0,0,"",0,0,0,0,0,1000,0,0,0,"","",0,0,0,0,0,0,1,"","",12,1,"",0,"",0,0,"",0,0,""
4,1004,1,65,130,0,0,1535,0,0,0,0,180,0,0,0,0,"","",0,0,0,0,0,0,1,"","",4,1,"",0,1,0.01,0,"",0,0,""
5,1005,1,50,300,0,0,"",0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,1,"","",3,1,1,0,"",0.05,0,"",0,0,""
6,1006,3,50,75,0,0,79,0,20,10,0,30,500,0,0,0,"","",0,0,0,0,0,0,2,1,"",4,1,"",0,"",0,0,"",0,0,""
7,1007,3,50,75,-20,0,79,0,20,10,0,-30,500,0,0,0,"","",0,0,0,0,0,0,2,1,"",4,1,"",0,"",0,0,"",0,0,""
8,1008,6,50,60,-25,0,78,0,30,10,0,0,1000,0,0,0,"","",0,0,0,0,0,0,2,1,"",4,1,"",0,"",0,0,"",0,0,""
9,1009,6,50,60,-25,0,78,0,30,10,0,0,1000,0,0,0,"","",0,0,0,0,0,0,2,1,"",4,1,"",0,"",0,0,"",0,0,""
10,1010,6,50,-60,0,180,78,60,60,0,0,30,1000,0,0,0,"","",0,0,0,0,0,0,2,1,"",4,"","",0,"",0,0,"",0,0,""
11,1011,1,150,150,0,0,"",0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",3,1,"",0,"",0,0,"",0,0,""
12,1012,1,30,300,0,0,"",0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,1,"","",3,"","",0,1,0.05,0,"",0,0,""
13,1013,1,125,125,0,0,"",-20,0,0,0,60,0,0,0,0,1,"",0,0,0,0,0,0,0,1,"",3,1,"",0,"",0,0,"",0,0,""
14,1014,1,50,75,0,0,80,0,0,0,0,0,1000,0,0,0,"","",0,0,0,0,0,0,0,"","",3,"","",0,"",0,0,"",0,0,""
15,1015,1,10,80,0,0,81,0,0,0,0,0,0,0,0,0,"","",0.1,0,0,0,0,0,1,1,"",3,1,"",0,"",0,0,"",0,0,""
16,1016,1,50,90,15,180,"",0,-45,8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,1,"",2,1,1,0,"",0,0,"",0,0,""
17,1017,2,50,90,15,180,"",0,-45,8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,1,"",2,1,1,0,"",0,0,"",0,0,""
18,1018,3,50,90,15,180,"",0,-45,8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
19,1019,4,50,90,15,180,"",0,-45,8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
20,1020,5,50,90,15,180,"",0,-45,8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
21,1021,6,50,90,15,180,"",0,-45,8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
22,1022,7,50,90,15,180,"",0,-45,8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
23,1023,8,50,90,15,180,"",0,-45,8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
24,1024,9,50,90,15,180,"",0,-45,8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
25,1025,1,50,90,-15,0,"",0,45,-8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
26,1026,2,50,90,-15,0,"",0,45,-8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
27,1027,3,50,90,-15,0,"",0,45,-8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
28,1028,4,50,90,-15,0,"",0,45,-8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
29,1029,5,50,90,-15,0,"",0,45,-8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
30,1030,6,50,90,-15,0,"",0,45,-8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
31,1031,7,50,90,-15,0,"",0,45,-8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
32,1032,8,50,90,-15,0,"",0,45,-8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
33,1033,9,50,90,-15,0,"",0,45,-8,0,0,0,0,0,0,"","",0,0,0,0,0,0,2,"","",2,1,1,0,"",0,0,"",0,0,""
34,1034,1,25,75,0,0,75,0,0,0,0,-110,0,0,0,0,"","",0,0,0,0,0,0,2,1,"",4,1,"",0,1,0.05,0,"",0,0,""
35,1035,1,15,200,0,0,83,0,0,0,0,0,0,0,0,0,"","",0.1,0,0,0,0,0,0,1,"",3,1,1,0,"",0,0,"",0,0,""
36,1036,1,12,300,0,0,84,0,0,0,0,0,0,0,0,0,"","",0.1,0,0,0,0,0,1,1,"",3,1,1,0,1,0.015,0,"",0,0,""
37,1037,1,80,80,0,0,89,0,0,0,0,0,0,0,0,0,"","",0.1,0,0,0,0,0,0,1,"",2,1,"",0,"",0,0,"",0,0,""
38,1038,1,43,100,0,0,90,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,"","",4,1,1,0,"",0,0,"",0,0,""
39,1039,1,18,500,0,0,86,0,0,0,0,0,120,0,0,0,"","",0.1,0,0,0,0,0,0,1,"",3,1,1,0,1,0.01,0,"",0,0,""
40,1040,1,4,900,15,0,91,0,0,0,0,0,18500,0,0,0,"","",0,0,0,0,0,0,2,"","",4,1,"",0,"",0,0,"",0,0,""
41,1041,1,35,800,-25,0,92,0,0,0,0,0,933,0,0,0,"","",0,0,0,0,0,0,1,"","",12,1,"",0,"",0,0,"",0,0,""
42,1042,1,35,800,8,0,92,0,0,0,0,0,933,0,0,0,"","",0,0,0,0,0,0,1,"","",12,1,"",0,"",0,0,"",0,0,""
43,1043,1,40,45,0,0,162,0,20,0,0,0,150,0,0,0,"","",0,0,0,0,0,0,0,1,"",4,1,"",0,1,0.05,0,"",0,0,""
44,1044,1,25,75,0,0,75,0,0,0,0,110,0,0,0,0,"","",0,0,0,0,0,0,2,1,"",4,1,"",0,1,0.05,0,"",0,0,""
45,1045,1,20,60,0,0,93,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,"","",12,1,"",0,1,0.05,0,"",0,0,""
46,1046,1,35,800,-8,0,92,0,0,0,0,0,933,0,0,0,"","",0,0,0,0,0,0,1,"","",12,1,"",0,"",0,0,"",0,0,""
47,1047,1,35,800,25,0,92,0,0,0,0,0,933,0,0,0,"","",0,0,0,0,0,0,1,"","",12,1,"",0,"",0,0,"",0,0,""
48,1048,1,25,100,0,0,94,0,0,0,0,0,150,0,0,0,"",1,0,0,0,0,0,0,0,"","",2,1,"",0,"",0,0,"",0,0,""
49,1049,1,7,160,0,0,83,0,0,0,0,0,0,0,0,0,"","",0.1,0,0,0,0,0,0,1,"",3,1,1,0,1,0.015,0,"",0,0,""
50,1050,1,40,300,0,0,1943,0,0,0,0,0,933,0,0,0,"","",0,0,0,0,0,0,2,"","",12,1,"",0,"",0,0,"",0,0,""
51,1051,6,35,210,0,180,92,60,20,0,0,30,933,0,3,3,"","",0,0,0,0,0,0,1,"","",12,1,"",0,"",0.015,0,"",0,0,""
52,1052,1,10,80,0,0,82,0,0,0,0,0,0,0,0,0,"","",0.1,0,0,0,0,0,1,1,"",3,1,"",0,"",0,0,"",0,0,""
53,1053,1,4,300,0,0,1946,0,0,0,0,0,1500,0,0,0,"","",0.1,0,0,0,0,0,0,1,"",3,1,"",0,"",0,0,"",0,0,""
54,1054,1,75,100,0,0,2275,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,"","",3,1,"",0,1,0.015,0,"",0,0,""
55,1060,1,40,100,0,0,1267,0,0,0,0,0,933,0,0,0,"","",0,0,0,0,0,0,1,"","",3,1,"",0,1,0.015,0,"",0,0,""
56,1055,1,30,200,0,0,95,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,1,1,"",3,"","",0,1,0.02,200,"",0,0,""
57,1056,1,10,100,0,0,2341,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,"","",3,1,"",0,1,0.02,1000,"",0,0,""
58,1057,3,15,300,0,0,96,120,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,"","",2,1,"",0,"",0,0,"",0,0,""
59,1059,1,50,60,0,0,1433,0,30,0,0,180,933,0,0,0,"","",0,0,0,0,0,0,1,"","",4,1,"",0,1,0.015,0,"",0,0,""
60,1061,1,64,300,0,0,97,0,0,0,0,0,0,0,5,0,"","",0,0,0,0,0,0,1,1,"",12,1,"",0,1,0.05,1,"",0,0,""
61,1062,1,64,500,0,0,97,0,0,0,0,180,0,0,5,0,"","",0,0,0,0,0,0,1,1,"",12,1,"",0,1,0.05,1,"",0,0,""
62,1063,1,12,120,0,0,98,0,0,0,0,0,600,0,0,0,"","",0,0,0,0,0,0,0,"","",3,1,"",0,1,0.05,600,"",0,0,""
63,1064,1,18,500,0,0,87,0,0,0,0,0,120,0,0,0,"","",0.1,0,0,0,0,0,0,1,"",3,1,1,0,1,0.01,0,"",0,0,""
64,1065,5,30,200,0,0,88,72,0,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0,0,1,"",4,1,"",0,"",0,0,"",0,0,""
65,1066,1,70,150,0,0,"",0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,1,"","",3,"","",0,1,0.05,0,"",0,0,""
66,1067,1,43,150,0,0,"",0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,"","",4,1,"",0,"",0,0,"",0,0,""
67,1068,1,45,200,0,0,99,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,"","",12,1,"",0,1,0.015,1,"",30,3000,1
68,1069,1,20,150,0,0,101,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,1,"","",3,1,1,0,1,0.01,1,1,0,0,""
69,1070,1,30,90,0,0,"",0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,"","",3,1,"",0,"",0,0,"",0,0,""
70,1071,1,50,200,0,0,103,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,"","",12,1,"",0,1,0.035,1,"",0,0,""
71,1072,6,35,210,0,180,92,60,35,0,0,30,933,0,3,3,"","",0,0,0,0,0,0,1,"","",12,1,"",0,"",0.015,0,"",0,0,""
72,1073,1,60,90,0,0,104,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,1,"","",3,1,"",0,1,0.045,100,"",10,1000,""
73,1074,1,50,150,0,0,2669,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,1,"","",3,"","",0,"",0,0,"",0,0,""
74,1075,1,50,150,0,0,2671,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,1,"","",2,"","",0,"",0,0,"",0,0,1
75,1076,1,50,150,0,0,2670,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,1,"","",3,"","",0,"",0,0,"",0,0,""
76,1077,1,90,150,0,0,105,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,"","",3,1,"",0,"",0,0,"",0,0,""
77,1078,1,25,100,0,0,2704,0,0,0,0,0,500,0,0,0,"","",0,0,0,0,0,0,0,1,"",3,1,"",0,1,0.05,0,"",0,0,""
78,1079,1,30,600,0,0,100,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,"","",12,1,"",0,1,0,0,"",0,0,1
79,1080,1,5,400,0,0,102,0,0,0,0,90,0,0,0,0,"","",0,0,0,0,0,0,1,"","",12,1,"",0,1,0.007,1,"",8,10000,""
80,1081,1,5,400,0,0,102,0,0,0,0,-90,0,0,0,0,"","",0,0,0,0,0,0,1,"","",12,1,"",0,1,0.007,1,"",8,10000,""
