"rownum","BloodType","i32_16","Effect","rid_36","rid_52"
0,11,0,124,"",""
1,11,3,125,"",""
2,11,2,126,"",""
3,12,0,127,"",""
4,12,3,128,"",""
5,12,2,129,"",""
6,14,0,130,"",""
7,14,3,131,"",""
8,14,2,132,"",""
9,16,0,130,"",""
10,16,3,131,"",""
11,16,2,132,"",""
12,17,0,130,"",""
13,17,3,131,"",""
14,17,2,132,"",""
15,18,0,130,"",""
16,18,3,131,"",""
17,18,2,132,"",""
18,5,0,106,"",""
19,5,3,107,"",""
20,5,2,108,"",""
21,20,0,100,"",""
22,20,3,101,"",""
23,20,2,102,"",""
24,21,0,100,"",""
25,21,3,101,"",""
26,21,2,102,"",""
27,22,0,103,"",""
28,22,3,104,"",""
29,22,2,105,"",""
30,23,0,118,"",""
31,23,3,119,"",""
32,23,2,120,"",""
33,24,0,94,"",""
34,24,3,95,"",""
35,24,2,96,"",""
36,25,0,94,"",""
37,25,3,95,"",""
38,25,2,96,"",""
39,26,0,112,"",""
40,26,3,113,"",""
41,26,2,114,"",""
42,27,0,94,"",""
43,27,3,95,"",""
44,27,2,96,"",""
45,28,0,121,"",""
46,28,3,122,"",""
47,28,2,123,"",""
48,29,0,139,"",""
49,29,3,140,"",""
50,29,2,141,"",""
51,30,0,100,"",""
52,30,3,101,"",""
53,30,2,102,"",""
54,31,0,133,"",""
55,31,3,134,"",""
56,31,2,135,"",""
57,32,0,112,"",""
58,32,3,113,"",""
59,32,2,114,"",""
60,33,0,112,"",""
61,33,3,113,"",""
62,33,2,114,"",""
63,34,0,112,"",""
64,34,3,113,"",""
65,34,2,114,"",""
66,35,0,112,"",""
67,35,3,113,"",""
68,35,2,114,"",""
69,36,0,112,"",""
70,36,3,113,"",""
71,36,2,114,"",""
72,7,0,106,"",""
73,7,3,107,"",""
74,7,2,108,"",""
75,9,0,97,"",""
76,9,3,98,"",""
77,9,2,99,"",""
78,0,0,94,"",""
79,0,3,95,"",""
80,0,2,96,"",""
81,37,0,94,"",""
82,37,3,95,"",""
83,37,2,96,"",""
84,38,0,112,"",""
85,38,3,113,"",""
86,38,2,114,"",""
87,39,0,121,"",""
88,39,3,122,"",""
89,39,2,123,"",""
90,40,0,109,"",""
91,40,3,110,"",""
92,40,2,111,"",""
93,42,0,109,"",""
94,42,3,110,"",""
95,42,2,111,"",""
96,44,0,103,"",""
97,44,3,104,"",""
98,44,2,105,"",""
99,45,0,148,"",""
100,45,3,149,"",""
101,45,2,150,"",""
102,4,0,115,"",""
103,4,3,116,"",""
104,4,2,117,"",""
105,46,0,157,"",""
106,46,3,158,"",""
107,46,2,159,"",""
108,47,0,142,"",""
109,47,3,143,"",""
110,47,2,144,"",""
