"rownum","Id","Term","Term (French)","Term (German)","Term (Japanese)","Term (Korean)","Term (Portuguese)","Term (Russian)","Term (Spanish)","Term (Thai)","Term (Traditional Chinese)","Definition","Definition (French)","Definition (German)","Definition (Japanese)","Definition (Korean)","Definition (Portuguese)","Definition (Russian)","Definition (Spanish)","Definition (Thai)","Definition (Traditional Chinese)","string_24","string_32","string_32 (French)","string_32 (German)","string_32 (Japanese)","string_32 (Korean)","string_32 (Portuguese)","string_32 (Russian)","string_32 (Spanish)","string_32 (Thai)","string_32 (Traditional Chinese)"
0,"Test","Test","Test","Test","テスト","테스트","Teste","Test","Prueba","ทดสอบ","測試","This test case is designed to be overwitten by other content","This test case is designed to be overwitten by other content","This test case is designed to be overwitten by other content","このテストケースは他のコンテンツに上書きされるためにデザインされている。","이 테스트 케이스는 다른 콘텐츠로 덮어 쓰도록 만들어졌습니다.","This test case is designed to be overwitten by other content","This test case is designed to be overwitten by other content","Este caso de prueba está diseñado para sobrescribirse con otro contenido","กรณีทดสอบนี้มีไว้ให้แทนที่ด้วยเนื้อหาอื่น","此測試案例設計用於被其他內容覆蓋","","","","","","","","","","",""
1,"Physical","Physical Damage","Dégâts physiques","Physischer Schaden","物理ダメージ","물리 피해","Dano Físico","Физический урон","Daño físico","ความเสียหายกายภาพ","物理傷害","Physical damage is one of the five [DamageTypes|Damage Types]. It is the most common and the only one reduced by [Armour], rather than by a [Resistances|Resistance]. \r\n\r\nMost physical damage comes from [MartialWeapon|Weapon] [Attack|Attacks], but some [Spell|Spells] and other skills deal physical damage as well. Physical damage over time can be inflicted with [Bleeding].","Les Dégâts physiques sont l'un des cinq [DamageTypes|Types de Dégâts]. C'est le plus répandu et le seul à être réduit par l'[Armour|Armure], plutôt que par une [Resistances|Résistance]. \r\n\r\nLa plupart des Dégâts physiques proviennent des [Attack|Attaques] à l'[MartialWeapon|Arme], mais certains [Spell|Sorts] infligent également des Dégâts physiques. Des Dégâts physiques sur la durée peuvent être infligés par le biais du [Bleeding|Saignement].","Physischer Schaden ist einer der fünf [DamageTypes|Schadenstypen]. Er ist der häufigste und der einzige, der durch [Armour|Rüstung] und nicht durch [Resistances|Widerstände] verringert wird. \r\n\r\nDer meiste physische Schaden entsteht durch [Attack|Angriffe] mit [MartialWeapon|Waffen], aber einige [Spell|Zauber] und andere Fertigkeiten verursachen auch physischen Schaden. Physischer Schaden über Zeit kann mit [Bleeding|Bluten] verursacht werden.","物理ダメージは5つある[DamageTypes|ダメージ属性]の1つである。最も一般的なダメージ属性で[Resistances|耐性]ではなく唯一[Armour|アーマー]で軽減される。 \r\n\r\nほとんどの物理ダメージは、[MartialWeapon|武器][Attack|アタック]からもたらされるが、物理ダメージを与える[Spell|スペル]や他のスキルも存在する。物理継続ダメージは[Bleeding|出血]で付与される。","물리 피해는 다섯 가지 [DamageTypes|피해 유형] 중 하나입니다. 가장 일반적인 피해이며, [Resistances|저항]이 아닌 [Armour|방어도]로 감소시킬 수 있는 유일한 피해이기도 합니다. \r\n\r\n대부분의 물리 피해는 [MartialWeapon|무기] [Attack|공격]으로 유발되지만, [Spell|주문] 및 기타 스킬 중에도 물리 피해를 주는 것이 있습니다. [Bleeding|출혈]시 지속 물리 피해가 유발됩니다.","O dano Físico é um dos cinco [DamageTypes|Tipos de Dano]. É o mais comum e o único reduzido por [Armour|Armadura], em vez de por uma [Resistances|Resistência]. \r\n\r\nA maior parte do dano físico vem de [Attack|Ataques] com [MartialWeapon|Armas], mas algumas [Spell|Magias] e outras habilidades também causam dano físico. O dano físico degenerativo pode ser infligido com [Bleeding|Sangramento].","Физический урон – один из пяти [DamageTypes|типов урона]. Это наиболее распространённый и единственный тип урона, снижаемый [Armour|бронёй], а не [Resistances|сопротивлениями]. \r\n\r\nБольшая часть физического урона исходит от [Attack|атак] [MartialWeapon|оружием], но некоторые [Spell|чары] и другие умения также наносят физический урон. Постепенный физический урон можно нанести [Bleeding|кровотечением].","El daño físico es uno de los cinco [DamageTypes|tipos de daño] que hay. Es el más común y el único que se reduce con la [Armour|armadura], en lugar de con una [Resistances|resistencia]. \r\n\r\nLa mayor parte del daño físico proviene de los [Attack|ataques] del [MartialWeapon|arma], pero algunos [Spell|hechizos] y otras habilidades también infligen daño físico. El daño físico degenerativo se puede aplicar mediante el [Bleeding|sangrado].","ความเสียหาย กายภาพ เป็น 1 ใน 5 [DamageTypes|ชนิดความเสียหาย]ซึ่งพบได้ง่ายและเป็นความเสียหายชนิดเดียวที่ลดลงได้จาก[Armour|ค่าเกราะ] แทนที่จะลดลงด้วย[Resistances|ค่าต้านทาน]ชนิดใดชนิดหนึ่ง\r\n\r\nความเสียหาย กายภาพ ส่วนใหญ่จะพบได้จากการ[Attack|โจมตี]ด้วย[MartialWeapon|อาวุธ] แต่[Spell|เวท]บางอย่างและสกิลอื่นๆ ก็สร้างความเสียหาย กายภาพ ได้เช่นกัน ส่วนสถานะ [Bleeding|เลือดไหล] จะสร้างความเสียหายกายภาพ ต่อเนื่อง","物理傷害是五種[DamageTypes|傷害類型]的其中一種。這是最普遍的類型，也是唯一可以透過[Armour|護甲]而非[Resistances|抗性]減少傷害的類型。\r\n\r\n大多數的物理傷害來自[MartialWeapon|武器][Attack|攻擊]，但某些[Spell|法術]也會造成物理傷害。[Bleeding|流血]也可以造成物理持續傷害。","","","","","","","","","","",""
2,"Fire","Fire Damage","Dégâts de feu","Feuerschaden","火ダメージ","화염 피해","Dano de Fogo","Урон от огня","Daño de fuego","ความเสียหายไฟ","火焰傷害","Fire damage is one of the five [DamageTypes|Damage Types]. It is reduced by [Resistances|Fire Resistance]. Fire [HitDamage|Hits] inflict [Flammability] based on how much Fire damage is dealt, which provides a chance to [Ignite].","Les Dégâts de feu sont l'un des cinq [DamageTypes|Types de Dégâts]. Ils sont réduits par la [Resistances|Résistance au feu]. Les [HitDamage|Touches] de Feu infligent [Flammability|Inflammabilité] en fonction des Dégâts de feu infligés, qui octroie des chances d'[Ignite|Embraser].","Feuerschaden ist einer der fünf [DamageTypes|Schadenstypen]. Er wird durch [Resistances|Feuerwiderstand] verringert. Feuer[HitDamage|treffer] lösen basierend auf dem verursachten Feuerschaden [Flammability|Entflammbarkeit] aus, was eine Chance auf [Ignite|Entzünden] ermöglicht.","火ダメージは5種類ある[DamageTypes|ダメージ属性]の1種である。[Resistances|火耐性]により軽減される。火ダメージ[HitDamage|ヒット]は、与えたダメージに基づいて[Flammability|可燃性]を付与し、そのデバフは[Ignite|発火]確率を付与する。","화염 피해는 다섯 가지 [DamageTypes|피해 유형] 중 하나입니다. 화염 피해는 [Resistances|화염 저항]에 따라 감소합니다. 화염 [HitDamage|명중] 시 가해진 화염 피해의 양에 따라 [Flammability|인화성]을 유발하며, [Flammability|인화성]은 [Ignite|점화] 확률을 부여합니다.","Dano de fogo é um dos cinco [DamageTypes|tipos de dano]. Ele é reduzido por [Resistances|resistência a dano de fogo]. [HitDamage|Ataques] de fogo infligem [Flammability|inflamabilidade] com base na quantidade de dano de fogo causado, concedendo uma chance de [Ignite|incendiar].","Урон от огня – один из пяти [DamageTypes|типов урона]. Он снижается [Resistances|сопротивлением огню]. [HitDamage|Удары] огнём накладывают [Flammability|горючесть] в зависимости от того, сколько урона от огня нанесено. [Flammability|Горючесть] даёт шанс [Ignite|поджечь].","El daño de fuego es uno de los cinco [DamageTypes|tipos de daño] que hay. Se reduce mediante la [Resistances|resistencia al fuego]. Los [HitDamage|impactos] de fuego aplican [Flammability|inflamabilidad] en función de cuánto daño de fuego se inflija, lo cual otorga una probabilidad de [Ignite|quemar].","ความเสียหาย ไฟ เป็น 1 ใน 5 [DamageTypes|ชนิดความเสียหาย] ความเสียหายนี้ลดลงได้ด้วย[Resistances|ค่าต้านทาน ไฟ] การ[HitDamage|ปะทะ]ที่สร้างความเสียหาย ไฟ จะสร้างสถานะ [Flammability|ไวไฟ] ตามความเสียหาย ไฟ ที่สร้าง ซึ่งทำให้มีโอกาสสร้างสถานะ [Ignite|ลุกไหม้]","火焰傷害是五種[DamageTypes|傷害類型]的其中一種。[Resistances|火焰抗性]可以減少此傷害。火焰擊中時會根據造成的火焰傷害量累積[Flammability|易燃]，其會增加[Ignite|點燃]機率。","","","","","","","","","","",""
3,"Cold","Cold Damage","Dégâts de froid","Kälteschaden","冷気ダメージ","냉기 피해","Dano de Gelo","Урон от холода","Daño de hielo","ความเสียหายน้ำแข็ง","冰冷傷害","Cold damage is one of the five [DamageTypes|Damage Types]. It is reduced by [Resistances|Cold Resistance]. Cold hits apply [Chill] and build up [Freeze], but cannot build up [HeavyStun|Heavy Stun].","Les Dégâts de froid sont l'un des cinq [DamageTypes|Types de Dégâts]. Ils sont réduits par la [Resistances|Résistance au froid]. Les Dégâts de froid infligés au Toucher appliquent la [Chill|Frigorification] et accumulent du [Freeze|Gel], mais ne peuvent pas accumuler l'[HeavyStun|Étourdissement massif].","Kälteschaden ist einer der fünf [DamageTypes|Schadenstypen]. Er wird durch [Resistances|Kältewiderstand] verringert. Kältetreffer wenden [Chill|Unterkühlen] und bauen [Freeze|Einfrieren] auf, können aber keine [HeavyStun|schwere Betäubung] aufbauen","冷気ダメージは5種類ある[DamageTypes|ダメージ属性]の1種である。[Resistances|冷気耐性]により軽減される。冷気ダメージのヒットは[Chill|冷却]を付与し、[Freeze|凍結]を蓄積するが、[HeavyStun|ヘビースタン]を蓄積することができない。","냉기 피해는 다섯 가지 [DamageTypes|피해 유형] 중 하나입니다. 냉기 피해는 [Resistances|냉기 저항]에 따라 감소합니다. 냉기 명중은 [Chill|냉각]을 유발하고 [Freeze|동결]을 축적하지만, [HeavyStun|강력 기절]을 축적할 수 없습니다.","Dano de Gelo é um dos cinco [DamageTypes|Tipos de Dano]. Ele é reduzido por [Resistances|Resistência a Gelo]. Acertos de Gelo aplicam [Chill|Resfriamento] e acumulam [Freeze|Congelamento], mas não podem acumular [HeavyStun|Atordoamento Pesado].","Урон от холода – один из пяти [DamageTypes|типов урона]. Он снижается [Resistances|сопротивлением холоду]. Удары холодом накладывают [Chill|охлаждение] и постепенно приводят к [Freeze|заморозке], но не могут накапливать  [HeavyStun|сильное оглушение].","El daño de hielo es uno de los cinco [DamageTypes|tipos de daño] que hay. Se reduce mediante la [Resistances|resistencia al hielo]. Los impactos de hielo aplican [Chill|escarchamiento] y acumulan [Freeze|congelamiento], pero no pueden acumular [HeavyStun|aturdimiento total].","ความเสียหาย น้ำแข็ง เป็น 1 ใน 5 [DamageTypes|ชนิดความเสียหาย] ความเสียหายนี้ลดลงได้ด้วย[Resistances|ค่าต้านทาน น้ำแข็ง] การปะทะที่สร้างความเสียหาย น้ำแข็ง จะสร้างสถานะ [Chill|หนาวเย็น] และสะสมค่า[Freeze|แช่แข็ง] แต่ไม่สามารถสะสมค่า[HeavyStun|สตันหนัก]ได้","冰冷傷害是五種[DamageTypes|傷害類型]的其中一種。[Resistances|冰冷抗性]可以減少此傷害。冰冷擊中會施加[Chill|冰緩]並累積[Freeze|冰凍]，但無法累積[HeavyStun|沉重暈眩]。","","","","","","","","","","",""
4,"Lightning","Lightning Damage","Dégâts de foudre","Blitzschaden","雷ダメージ","번개 피해","Dano de Raio","Урон от молнии","Daño de rayo","ความเสียหายสายฟ้า","閃電傷害","Lightning damage is one of the five [DamageTypes|Damage Types]. It is reduced by [Resistances|Lightning Resistance]. Lightning hits have a chance to [Shock] based on how much Lightning damage is dealt.","Les Dégâts de foudre sont l'un des cinq [DamageTypes|Types de Dégâts]. Ils sont réduits par la [Resistances|Résistance à la foudre]. Les Dégâts de foudre infligés au Toucher ont des chances d'[Shock|Électrocuter] en fonction des Dégâts de foudre infligés.","Blitzschaden ist einer der fünf [DamageTypes|Schadenstypen]. Er wird durch [Resistances|Blitzwiderstand] verringert. Blitztreffer haben eine Chance auf [Shock|Schock], je nachdem, wie viel Blitzschaden sie verursachen.","雷ダメージは5種類ある[DamageTypes|ダメージ属性]の1種である。[Resistances|雷耐性]により軽減される。雷ダメージのヒットは一定確率で[Shock|感電]を付与し、その確率は与えた雷ダメージ量に基づく。","번개 피해는 다섯 가지 [DamageTypes|피해 유형] 중 하나입니다. 번개 피해는 [Resistances|번개 저항]에 따라 감소합니다. 번개 명중 시 가해진 번개 피해의 양에 따라 일정 확률로 [Shock|감전]이 일어납니다.","Dano de Raio é um dos cinco [DamageTypes|Tipos de Dano]. É reduzido por [Resistances|Resistência a Raio]. Acertos de Raio têm uma chance de [Shock|Eletrizar] com base na quantidade de dano de Raio causado.","Урон от молнии – один из пяти [DamageTypes|типов урона]. Он снижается [Resistances|сопротивлением молнии]. Удары молнией имеют шанс наложить [Shock|шок] в зависимости от того, сколько урона от молнии нанесено.","El daño de rayo es uno de los cinco [DamageTypes|tipos de daño] que hay. Se reduce mediante la [Resistances|resistencia al rayo]. Los impactos de rayo tienen una probabilidad de [Shock|electrocutar] en función de la cantidad de daño de rayo que se inflija.","ความเสียหาย สายฟ้า เป็น 1 ใน 5 [DamageTypes|ชนิดความเสียหาย] ความเสียหายนี้ลดลงได้ด้วย[Resistances|ค่าต้านทาน สายฟ้า] การปะทะที่สร้างความเสียหาย สายฟ้า มีโอกาสสร้างสถานะ [Shock|ช็อค] ตามความเสียหาย สายฟ้า ที่สร้าง","閃電傷害是五種[DamageTypes|傷害類型]的其中一種。[Resistances|閃電抗性]可以減少此傷害。閃電擊中會根據造成的閃電傷害量，有機率造成[Shock|感電]。","","","","","","","","","","",""
5,"Chaos","Chaos Damage","Dégâts de chaos","Chaosschaden","混沌ダメージ","카오스 피해","Dano de Caos","Урон хаосом","Daño de caos","ความเสียหายเคออส","混沌傷害","Chaos damage is one of the five [DamageTypes|Damage Types]. It is reduced by [Resistances|Chaos Resistance]. \r\nChaos damage is the least common damage type, and removes twice as much [EnergyShield|Energy Shield] as the damage value when taken.","Les Dégâts de chaos sont l'un des cinq [DamageTypes|types de Dégâts]. Ils sont réduits par la [Resistances|Résistance au chaos]. \r\nLes Dégâts de chaos sont le type de Dégâts le moins répandu, ils retirent deux fois plus de [EnergyShield|Bouclier d'énergie] que la valeur des dégâts lorsqu'ils sont subis.","Chaosschaden ist einer der fünf [DamageTypes|Schadenstypen]. Er wird durch [Resistances|Chaoswiderstand] verringert.\r\nChaosschaden ist die am wenigsten verbreitete Schadensart und entfernt doppelt so viel [EnergyShield|Energieschild] wie der Schadenswert, den er verursacht.","混沌ダメージは5種類ある[DamageTypes|ダメージ属性]の1種である。[Resistances|混沌耐性]により軽減される。\r\n混沌ダメージは最も珍しいダメージ属性で、受けたダメージ量の二倍の[EnergyShield|エナジーシールド]を取り除く。","카오스 피해는 다섯 가지 [DamageTypes|피해 유형] 중 하나입니다. 카오스 피해는 [Resistances|카오스 저항]에 따라 감소합니다. \r\n카오스 피해는 피해 유형 중에 가장 드물게 발생하며, 카오스 피해를 받으면 [EnergyShield|에너지 보호막]이 피해 수치의 2배만큼 깎입니다.","Dano de Caos é um dos cinco [DamageTypes|Tipos de Dano]. Ele é reduzido pela [Resistances|Resistência a Caos]. \r\nDano de Caos é o tipo de dano menos comum e remove o dobro do valor de dano sofrido do [EnergyShield|Escudo de Energia] .","Урон хаосом – один из пяти [DamageTypes|типов урона]. Он снижается [Resistances|сопротивлением хаосу].\r\nУрон хаосом наименее распространён среди всех типов урона и при получении отнимает вдвое больше [EnergyShield|энергетического щита].","El daño de caos es uno de los cinco [DamageTypes|tipos de daño] que hay. Se reduce mediante la [Resistances|resistencia al caos]. \r\nEl daño de caos es el tipo de daño menos común y, cuando se recibe este daño, elimina el doble de [EnergyShield|escudo de energía] del valor del daño.","ความเสียหาย เคออส เป็น 1 ใน 5 [DamageTypes|ชนิดความเสียหาย] ความเสียหายนี้ลดลงได้ด้วย[Resistances|ค่าต้านทาน เคออส]\r\nความเสียหาย เคออส เป็นชนิดความเสียหายที่พบได้ยากที่สุด และกำจัด[EnergyShield|โล่พลังงาน]เป็นสองเท่าของความเสียหายที่ได้รับ","混沌傷害是五種[DamageTypes|傷害類型]的其中一種。[Resistances|混沌抗性]可以減少此傷害。\r\n混沌傷害是最少見的傷害類型，會在造成傷害時移除兩倍數值的[EnergyShield|能量護盾]。","","","","","","","","","","",""
6,"test2","Test custom content","Test custom content","Test custom content","テストカスタムコンテンツ","커스텀 콘텐츠 테스트","Teste de conteúdo personalizado","Test custom content","Probar contenido personalizado","ทดสอบเนื้อหาปรับแต่ง","測試自訂內容","","","","","","","","","","","Metadata/UI/InGameState/Tutorials/example_tutorial.ui","","","","","","","","","",""
7,"Ailments","Ailments","Altérations","Beeinträchtigungen","状態異常","상태 이상","Afecções","Состояния","Estados alterados","สถานะเจ็บป่วย","異常狀態","Ailments are a family of common [Debuff|Debuffs] associated with specific damage types. The list of Ailments is: [Bleeding], [Ignite], [Chill], [Freeze], [Shock], [Electrocute], and [Poison].","Les Altérations sont une famille d'[Debuff|Effets néfastes] communs associés à des types de dégâts spécifiques. Les différentes Altérations sont les suivantes : le [Bleeding|Saignement], l'[Ignite|Embrasement], la [Chill|Frigorification], le [Frozen|Gel], l'[Shock|Électrocution] et le [Poison|Poison].","Beeinträchtigungen sind eine Familie von geläufigen [Debuff|Schwächungen], die mit bestimmten Schadenstypen assoziiert sind. Zu den Beeinträchtigungen gehören: [Bleeding|Bluten], [Ignite|Entzünden], [Chill|Unterkühlen], [Freeze|Einfrieren], [Shock|Schock], [Electrocute|Elektrisierung] und [Poison|Gift].","状態異常は一般的な[Debuff|デバフ]の一群でそれぞれ特定のダメージ属性と結びついている。状態異常を列挙すると: [Bleeding|出血]、[Ignite|発火]、[Chill|冷却]、[Freeze|凍結]、[Electrocute|麻痺]および[Poison|毒]がある。","상태 이상은 특정 피해 유형과 관련되어 있는 일반적인 [Debuff|디버프]의 일종입니다. 상태 이상으로는 [Bleeding|출혈], [Ignite|점화], [Chill|냉각], [Freeze|동결], [Shock|감전], [Electrocute|전기 처형], [Poison|중독]이 있습니다.","Afecções são uma família de [Debuff|Debuffs] comuns associados a tipos específicos de dano. A lista de Afecções inclui: [Bleeding|Sangramento], [Ignite|Incêndio], [Chill|Resfriamento], [Freeze|Congelamento], [Shock|Eletrização], [Electrocute|Eletrocussão] e [Poison|Envenenamento]. ","Состояния – это семейство [Debuff|отрицательных эффектов], связанных с разными типами урона. Перечень состояний: [Bleeding|кровотечение], [Ignite|поджог], [Chill|охлаждение], [Freeze|заморозка], [Shock|шок], [Electrocute|электризация] и [Poison|отравление].","Los estados alterados son una familia de [Debuff|efectos nocivos] comunes asociados a tipos de daño específicos. La lista de estados alterados es la siguiente: [Bleeding|sangrado], [Ignite|quemadura], [Chill|escarchamiento], [Freeze|congelamiento], [Shock|electrocución], [Electrocute|parálisis] y [Poison|veneno].","สถานะเจ็บป่วย เป็น[Debuff|ดีบัฟ]ที่พบได้ง่ายชุดหนึ่งที่เกี่ยวข้องกับความเสียหายชนิดต่างๆ สถานะเจ็บป่วยประกอบด้วย [Bleeding|เลือดไหล], [Ignite|ลุกไหม้], [Chill|หนาวเย็น], [Freeze|แช่แข็ง], [Shock|ช็อค], [Electrocute|ช็อตประสาท], [Poison|พิษ]","異常狀態是與特定傷害類型相關的常見[Debuff|減益效果]。異常狀態的種類有：[Bleeding|流血]、[Ignite|點燃]、[Chill|冰緩]、[Freeze|冰凍]、[Shock|感電]、[Electrocute|觸電]和[Poison|中毒].","","","","","","","","","","",""
8,"Attributes","Attributes","Attributs","Attribute","能力値","능력치","Atributos","Характеристики","Atributos","ค่าคุณสมบัติ","能力","[Strength], [Dexterity], and [Intelligence] are the 3 primary attributes. The most important use of Attributes is to meet requirements to use Equipment and Gems.\r\n\r\nEach Attribute provides a different inherent bonus.","La [Strength|Force], la [Dexterity|Dextérité] et l'[Intelligence] sont les 3 attributs principaux. Les Attributs servent principalement à satisfaire les prérequis nécessaires à l'utilisation des différents Équipements et Gemmes.\r\n\r\nChaque Attribut confère un bonus inhérent différent.","[Strength|Stärke], [Dexterity|Geschick] und [Intelligence|Intelligenz] sind die 3 Primärattribute. Die wichtigste Verwendung von Attributen ist die Erfüllung der Anforderungen für die Verwendung von Ausrüstung und Gemmen.\r\n\r\nJedes Attribut bietet einen anderen inhärenten Bonus.","[Strength|筋力]、[Dexterity|器用さ]および[Intelligence|知性]は3つの主要な能力値である。能力値の最も重要な機能は、装備およびジェムの装備要求を満たすことである。\r\n\r\n\r\nそれぞれの能力値は異なる種類の固有ボーナスを与える。","[Strength|힘], [Dexterity|민첩], [Intelligence|지능]이 3개의 주요 능력치입니다. 이 능력치의 가장 중요한 용도는 장비 및 젬 사용에 필요한 요구사항을 충족하는 것입니다.\r\n\r\n능력치마다 부여하는 기본 보너스가 다릅니다.","[Strength|Força], [Dexterity|Destreza] e [Intelligence|Inteligência] são atributos necessários para usar equipamentos e habilidades específicas.\r\n\r\nCada atributo concede um bônus inerente diferente.","[Strength|Сила], [Dexterity|ловкость] и [Intelligence|интеллект] представляют собой 3 основные характеристики. В первую очередь характеристики нужны для использования снаряжения и камней.\r\n\r\nКаждая характеристика даёт отдельный свойственный ей бонус. ","La [Strength|fuerza], la [Dexterity|destreza] y la [Intelligence|inteligencia] son los 3 atributos principales.\r\nLa función más importante de los atributos es cumplir los requisitos para poder utilizar el equipamiento y las gemas.\r\n\r\nCada atributo otorga una bonificación inherente diferente.","[Strength], [Dexterity], [Intelligence] เป็น 3 ค่าคุณสมบัติหลัก ประโยชน์ที่สำคัญที่สุดของค่าคุณสมบัติเหล่านี้คือการสนองต่อเงื่อนไขในการใช้ไอเทมสวมใส่และหิน\r\n\r\nค่าคุณสมบัติแต่ละชนิดให้โบนัสดั้งเดิมแตกต่างกัน","[Strength|力量]、[Dexterity|敏捷]與[Intelligence|智慧]為 3 種主要能力值。能力值最重要的用途就是達成使用裝備和寶石的需求。\r\n\r\n每種能力值會給予不同的固有加成。","","","","","","","","","","",""
9,"Strength","Strength","Force","Stärke","筋力","힘","Força","Сила","Fuerza","Strength","力量","Strength is an [Attributes|Attribute] required to equip most equipment that grants [Armour], as well as various melee-aligned Weapons and Skills.\r\n\r\nStrength provides an inherent bonus of +2 to maximum Life per 1 Strength.\r\n\r\nStrength does not grant damage to Skills or any other benefits except where specifically stated.","La Force est un [Attributes|Attribut] nécessaire pour équiper la plupart des équipements qui octroient de l'[Armour|Armure], ainsi que diverses armes et aptitudes orientées vers le combat de mêlée.\r\n\r\nLa Force confère un bonus inhérent de +2 de Vie maximale tous les 1 de Force.\r\n\r\nSauf indication contraire, la Force ne confère pas de dégâts aux Aptitudes ni aucun autre bénéfice.","Stärke ist ein [Attributes|Attribut], das benötigt wird, um die meisten Ausrüstungsgegenstände, die [Armour|Rüstung] gewähren, sowie verschiedene auf den Nahkampf ausgerichtete Waffen und Fertigkeiten zu benutzen.\r\n\r\nStärke gewährt einen inhärenten Bonus von +2 auf das maximale Leben pro 1 Stärke.\r\n\r\nStärke gewährt Fertigkeiten keinen Schaden oder andere Vorteile, es sei denn, es wird explizit erwähnt.","筋力は、[Armour|アーマー]を付与するほとんどの防具、および近接武器や近接スキルを装備するために必要な[Attributes|能力値]である。\r\n\r\n筋力1ごとにライフ+2を固有ボーナスとして付与する。\r\n\r\n筋力は、別段の記載がない限り、スキルにダメージを付与したり、その他の恩恵を与えることはない。","힘은 [Armour|방어도]를 부여하는 대부분의 장비와 다양한 근접 지향 무기 및 스킬을 장착할 때 필요한 [Attributes|능력치]입니다.\r\n\r\n힘은 1당 최대 생명력 +2의 기본 보너스를 제공합니다.\r\n\r\n힘은 별도의 언급이 없는 한 스킬에 피해나 그 외의 혜택을 부여하지 않습니다.","[Strength|Força] é um [Attributes|Atributo] necessário para usar a maioria dos equipamentos que concedem [Armour|Armadura], assim como diversas armas e habilidades relacionadas a ataques corpo a corpo.\r\n\r\nForça concede um bônus inerente de +2 de Vida máxima a cada 1 ponto de Força.\r\n\r\nForça não concede dano às habilidades nem quaisquer outros benefícios, exceto quando especificamente indicado.","Сила – это [Attributes|характеристика], необходимая для использования большинства видов снаряжения, дающего [Armour|броню], а также различного оружия и умений, предназначенных для ближнего боя.\r\n\r\nКаждая единица силы даёт +2 к максимуму здоровья.\r\n\r\nСила не добавляет урон умениям и не даёт других преимуществ, кроме специально оговорённых случаев.","La fuerza es un [Attributes|atributo] que necesitas para poder equiparte la mayor parte del equipamiento que otorga [Armour|armadura], así como varias armas y habilidades relacionadas con la mecánica cuerpo a cuerpo.\r\n\r\nLa fuerza otorga una bonificación inherente de +2 a la vida máxima por cada 1 de fuerza.\r\n\r\nLa fuerza no otorga daño a las habilidades ni ningún otro beneficio excepto donde se indique explícitamente.","Strength เป็น[Attributes|ค่าคุณสมบัติ]ที่จำเป็นต่อการสวมใส่ไอเทมส่วนใหญ่ที่ให้[Armour|ค่าเกราะ] รวมถึงอาวุธและสกิลต่างๆ ที่เป็นสายประชิดอีกด้วย\r\n\r\nStrength ให้โบนัสดั้งเดิมเป็น พลังชีวิตสูงสุด +2 ต่อ Strength 1 หน่วย\r\n\r\nStrength จะไม่เพิ่มความเสียหายให้กับสกิลหรือให้ประโยชน์อื่นใด เว้นแต่จะมีการระบุไว้อย่างชัดเจน","力量是穿戴大多數賦予[Armour|護甲]的裝備、各種近戰武器和技能所需的[Attributes|能力值]。\r\n\r\n每 1 點力量會賦予 +2 點最大生命的固有加成。\r\n\r\n除非特別註明，否則力量不會賦予傷害給技能或任何其他效益。","","","","","","","","","","",""
