"rownum","Id","Mods","string_24","string_24 (French)","string_24 (German)","string_24 (Japanese)","string_24 (Korean)","string_24 (Portuguese)","string_24 (Russian)","string_24 (Spanish)","string_24 (Thai)","string_24 (Traditional Chinese)","string_32","i32_40","i32_44","Area","i32_64","[i32]_68","ModFamily"
0,"ProphecySignature",[],"","","","","","","","","","","",0,0,[],0,[],[]
1,"BLAMTEasyBrutus",[],"","","","","","","","","","","",0,0,[],0,[],[]
2,"PathOfEndurance",[],"Path of Endurance","Path of Endurance","Pfad der Beharrlichkeit","忍耐の道","인내의 길","Caminho da Persistência","Путь выносливости","Camino de la Resistencia","Path of Endurance","耐力黯道","http://poe.qq.com/redirect/g25.htm",60,0,[],0,[],[]
3,"EverythingEverywhere","[10803,10807,10811,10815,10819,10838,10842,10844,10848,10849,10850,10851,10852,10853,10854,10855,10856,10857,10858,10859]","","Mayhem","Mayhem","大騒ぎ","아수라장","Mayhem","Беспредел","Mayhem","Mayhem","渾沌","",0,60,[],0,"[1,2]","[2645,2646]"
4,"EverythingSomewhere","[10804,10808,10812,10816,10820,10824,10828,10831,10833]","","","","","","","","","","","",0,60,[],1,[],[]
5,"EverythingSomewhereSingle","[10805,10809,10813,10817,10821,10825,10829,10832,10834,10835,10837,10839,10840,10841,10843]","","Flashback","Flashback","フラッシュバック","플래시백","Túnel do Tempo","Флэшбэк","Flashback","Flashback","閃回","",0,60,[],3,[],[]
6,"EverythingSomewhereSingleTencent","[10805,10813,10817,10821,10829,10835,10837,10839,10840,10841,10843]","","","","","","","","","","","",0,60,[],3,[],[]
7,"PerandusSingleTencent",[10825],"","","","","","","","","","","",0,0,[],0,[],[]
8,"EverythingSomewhereSingleNoDelirium","[10805,10809,10813,10817,10821,10825,10829,10832,10834,10835,10837,10839,10840,10841]","","","","","","","","","","","",0,60,[],3,[],[]
9,"DeliriumSingleTencent",[10843],"","","","","","","","","","","",0,0,[],0,[],[]
