"rownum","BaeItemType","string_16","ConsumeEffect","f32_32"
0,3723,"","FourOmenConsume",1
1,3724,"","FourOmenConsume",1
2,3725,"","FourOmenConsume",1
3,3726,"","FourOmenConsume",1
4,3727,"","FourOmenConsume",1
5,3728,"","FourOmenConsume",1
6,3729,"","FourOmenConsume",1
7,3730,"","FourOmenConsume",1
8,3731,"","FourOmenConsume",1
9,3732,"","FourOmenConsume",1
10,3733,"","FourOmenConsume",1
11,3734,"","FourOmenConsume",1
12,3735,"","FourOmenConsume",1
13,3736,"","FourOmenConsume",1
14,3737,"","FourOmenConsume",1
15,3738,"","FourOmenConsume",1
16,3739,"","FourOmenConsume",1
17,3740,"","FourOmenConsume",1
18,3741,"","FourOmenConsume",1
19,3742,"","FourOmenConsume",1
20,3743,"","FourOmenConsume",1
21,3744,"","FourOmenConsume",1
22,3745,"","FourOmenConsume",1
23,3746,"","FourOmenConsume",1
24,3747,"","FourOmenConsume",1
25,3748,"","FourOmenConsume",1
26,3749,"","FourOmenConsume",1
27,3750,"","FourOmenConsume",1
28,3751,"","FourOmenConsume",1
29,3752,"","FourOmenConsume",1
30,3753,"","FourOmenConsume",1
31,3754,"","FourOmenConsume",1
32,3755,"","FourOmenConsume",1
33,3756,"","FourOmenConsume",1
34,3757,"","FourOmenConsume",1
35,3758,"","FourOmenConsume",1
36,3759,"","FourOmenConsume",1
37,3760,"","FourOmenConsume",1
38,3761,"","FourOmenConsume",1
39,3762,"","FourOmenConsume",1
40,3763,"","FourOmenConsume",1
41,3764,"","FourOmenConsume",1
42,3765,"","FourOmenConsume",1
43,3766,"","FourOmenConsume",1
