"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","ItemClassCategory","RemovedIfLeavesArea","[rid]_33","IdentifyAchievements","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","PickedUpQuest","i32_84","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","ItemStance","CanScourge","CanUpgradeRarity","bool_112","ItemClassFlags","Unmodfiable","CanBeFractured","EquipAchievement","UsableInMapDevice","bool_148"
0,"LifeFlask","Life Flasks","Flacons de Vie","Lebensfläschchen","ライフフラスコ","생명력 플라스크","Frascos de Vida","Флаконы жизни","Frascos de vida","ขวดยาพลังชีวิต","生命藥劑",0,"",[],[],"","","","",4263,"",1,"","","",1,"","","",1,[4],"",1,"","",1
1,"ManaFlask","Mana Flasks","Flacons de Mana","Manafläschchen","マナフラスコ","마나 플라스크","Frascos de Mana","Флаконы маны","Frascos de maná","ขวดยามานา","魔力藥劑",0,"",[],[],"","","","",4263,"",1,"","","",1,"","","",1,[4],"",1,"","",1
2,"DONOTUSE5","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
3,"Currency","Currency","Objets monétaires","Währung","カレンシー","화폐","Item Monetário","Вещи на обмен","Objetos monetarios","เงินตรา","通貨",6,"",[],[],"",1,"","",4263,"","","","","","","","","","",[7],"","","","",""
4,"Amulet","Amulets","Amulettes","Amulette","アミュレット","목걸이","Amuletos","Амулеты","Amuletos","สร้อย","項鍊",7,"",[],[],"","",1,"",4263,"",1,1,1,1,1,"",1,1,1,[6],"",1,"","",""
5,"Ring","Rings","Bagues","Ringe","指輪","반지","Anéis","Кольца","Anillos","แหวน","戒指",8,"",[],[],"","",1,"",4263,"",1,1,1,1,1,"",1,1,1,[6],"",1,"","",""
6,"Claw","Claws","Griffes","Klauen","鉤爪","클로","Garras","Когти","Garras","กรงเล็บ","爪",9,"",[],[],"","",1,"",4263,"",1,1,1,1,1,0,1,1,1,"[1,2,0]","",1,"","",1
7,"Dagger","Daggers","Dagues","Dolche","短剣","단검","Adagas","Кинжалы","Dagas","มีด","匕首",3,"",[],[],"","",1,"",4263,"",1,1,1,1,1,1,1,1,1,"[1,2,0]","",1,"","",1
8,"Wand","Wands","Baguettes","Zauberstäbe","ワンド","마법봉","Varinhas","Жезлы","Varitas","ไม้กายสิทธิ์","法杖",10,"",[],[],"","",1,"",4263,"",1,1,1,1,1,2,1,1,1,[1],"",1,"","",1
9,"One Hand Sword","One Hand Swords","Épées à une main","Einhandschwerter","片手剣","한손 검","Espadas de Uma Mão","Одноручные мечи","Espadas a una mano","ดาบมือเดียว","單手劍",2,"",[],[],"","",1,"",4263,"",1,1,1,1,1,3,1,1,1,"[1,2,0]","",1,"","",1
10,"DONOTUSE6","","","","","","","","","","","","",[],[],"","","","",4263,"","","","","","","","","","",[],"","","","",""
