"rownum","Id","BonusMods","BuffDefinition","BuffStatValues","StatsKeys","StatValues"
0,"InnerTreasure",[7894],"",[],[],[]
1,"DropVaalItem",[7901],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4794,600]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1227],[100]
4,"Maimed",[],507,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4793,651]","[1,100]"
6,"TormentedExperimenterPossess","[8725,8816,8876,8878]","",[],[],[]
7,"TormentedBlasphemerPossess","[8728,8814,8876,8878]","",[],[],[]
8,"TormentedNecromancerPossess","[8731,8816,8876,8878]","",[],[],[]
9,"TormentedArsonistPossess","[8734,8816,8876,8878]","",[],[],[]
10,"TormentedThiefPossess","[8763,8817,8876,8878]","",[],[],[]
11,"TormentedMutilatorPossess","[8776,8816,8876,8878]","",[],[],[]
12,"TormentedCharlatanPossess","[8744,8816,8876,8878]","",[],[],[]
13,"TormentedCannibalPossess","[8769,8816,8876,8878]","",[],[],[]
14,"TormentedPoisonerPossess","[8737,8816,8876,8878]","",[],[],[]
15,"TormentedCorrupterPossess","[8740,8817,8876,8878]","",[],[],[]
16,"TormentedThugPossess","[8747,8814,8876,8878]","",[],[],[]
17,"TormentedRoguePossess","[8750,8814,8751,8876,8878]","",[],[],[]
18,"TormentedFishermanPossess","[8753,8817,8876,8878]","",[],[],[]
19,"TormentedLibrarianPossess","[8756,8817,8876,8878]","",[],[],[]
20,"TormentedCutthroatPossess","[8760,8814,8876,8878]","",[],[],[]
21,"TormentedSpyPossess","[8766,8814,8876,8878]","",[],[],[]
22,"TormentedMartyrPossess","[8773,8816,8876,8878]","",[],[],[]
23,"TormentedEmbezzlerPossess","[8779,8817,8876,8878]","",[],[],[]
24,"TormentedCounterfeiterPossess","[8785,8816,8876,8878]","",[],[],[]
25,"TormentedWarlordPossess","[8788,8814,8876,8878]","",[],[],[]
26,"TormentedFreezerPossess","[8792,8816,8876,8878]","",[],[],[]
27,"TormentedSmugglerPossess","[8796,8794,8817,8876,8878]","",[],[],[]
28,"OnslaughtInvisible",[],228,"[20,20,10]",[],[]
29,"MonstersProximalIntangibility",[15260],"",[],[],[]
30,"TouchedByOwl","[14048,14034]","",[],[],[]
31,"TouchedBySnake","[14051,14034]","",[],[],[]
32,"TouchedByBear","[14057,14035]","",[],[],[]
33,"TouchedByWolf","[14066,14036]","",[],[],[]
34,"GrantMod_MonsterStunResilience1",[4627],"",[],[],[]
35,"GrantMod_MonsterImmuneToSlow1",[4659],"",[],[],[]
36,"GrantMod_MonsterModReducedCritMulti1",[4671],"",[],[],[]
37,"GrantMod_MonsterChaosResistance1",[4661],"",[],[],[]
38,"GrantMod_MonsterExtraArmour1",[4606],"",[],[],[]
39,"GrantMod_MonsterExtraEvasion1",[4608],"",[],[],[]
40,"GrantMod_MonsterExtraEnergyShield1",[4610],"",[],[],[]
41,"GrantMod_MonsterFireResistance1",[4629],"",[],[],[]
42,"GrantMod_MonsterColdResistance1",[4631],"",[],[],[]
43,"GrantMod_MonsterLightningResistance1",[4633],"",[],[],[]
44,"GrantMod_MonsterLifeRegenerationRatePercentage1",[4641],"",[],[],[]
45,"GrantMod_MonsterIncreasedSpeed1",[4600],"",[],[],[]
