"rownum","BaseItemType","Armour","Evasion","EnergyShield","IncreasedMovementSpeed","Ward","i32_36"
0,373,0,0,0,0,0,0
1,374,0,0,0,0,0,0
2,375,0,0,0,0,0,0
3,376,216,187,74,0,0,0
4,377,0,0,0,0,0,0
5,378,0,0,0,0,0,0
6,2663,0,0,0,0,0,0
7,2664,0,0,0,0,0,0
8,2665,0,0,0,0,0,0
9,2666,0,0,0,-500,0,0
10,2667,0,0,0,-300,0,0
11,2241,45,0,0,-500,0,0
12,2242,66,0,0,-500,0,0
13,2243,115,0,0,-500,0,0
14,2244,150,0,0,-500,0,0
15,2245,178,0,0,-500,0,0
16,2246,228,0,0,-500,0,0
17,2247,270,0,0,-500,0,0
18,2248,298,0,0,-500,0,0
19,2249,355,0,0,-500,0,0
20,2250,390,0,0,-500,0,0
21,2251,404,0,0,-500,0,0
22,2252,446,0,0,-500,0,0
23,2253,496,0,0,-500,0,0
24,2254,496,0,0,-500,0,0
25,2255,496,0,0,-500,0,0
26,2256,0,30,0,-300,0,0
27,2257,0,49,0,-300,0,0
28,2258,0,96,0,-300,0,0
29,2259,0,128,0,-300,0,0
30,2260,0,168,0,-300,0,0
31,2261,0,194,0,-300,0,0
32,2262,0,240,0,-300,0,0
33,2263,0,260,0,-300,0,0
34,2264,0,320,0,-300,0,0
35,2265,0,359,0,-300,0,0
36,2266,0,366,0,-300,0,0
37,2267,0,392,0,-300,0,0
38,2268,0,451,0,-300,0,0
39,2269,0,451,0,-300,0,0
40,2270,0,451,0,-300,0,0
41,2271,0,0,28,-300,0,0
42,2272,0,0,35,-300,0,0
43,2273,0,0,45,-300,0,0
44,2274,0,0,54,-300,0,0
45,2275,0,0,64,-300,0,0
46,2276,0,0,74,-300,0,0
47,2277,0,0,83,-300,0,0
48,2278,0,0,95,-300,0,0
49,2279,0,0,103,-300,0,0
50,2280,0,0,110,-300,0,0
51,2281,0,0,115,-300,0,0
52,2282,0,0,126,-300,0,0
53,2283,0,0,138,-300,0,0
54,2284,0,0,138,-300,0,0
55,2285,0,0,138,-300,0,0
56,2286,25,16,0,-400,0,0
57,2287,63,53,0,-400,0,0
58,2288,83,71,0,-400,0,0
59,2289,121,107,0,-400,0,0
60,2290,149,132,0,-400,0,0
61,2291,164,147,0,-400,0,0
