"rownum","Id","Name","rid_20","JewelArt","SoundEffect","KeystoneArt"
0,0,1262,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveDeliriumJewel","",""
1,1,1765,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveExpeditionJewel","",""
2,2,1770,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveRitualJewel","",""
3,3,1771,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveBreachJewel","",""
4,4,1769,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveSacredFlameJewel","",""
5,5,1766,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveSpecialSanctumJewel","",""
6,6,1693,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveTrialmasterJewel","",""
7,7,3044,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssJewel","","Art/2DArt/UIImages/InGame/Abyss/AbyssActivePatternKeystone"
8,8,3047,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveApostatesHeartJewel","",""
9,9,3048,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveVivisectionJewel","",""
10,10,1261,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveDeliriumJewel",1385,""
