"rownum","Id","ObjectEffect1","ObjectEffect2","KillCondition","HASH32","OnKillBeam","i32_76","Stat","Counter","[i32]_112"
0,"MicrotransactionBreachHandOnKill","",0,2,3212740081,"",1,"",[],[]
1,"MicrotransactionSkySwordOnKill","",1,2,2662727316,"",1,"",[],[]
2,"MicrotransactionBirdsOnRareKill","",2,2,3880813492,"",1,"",[],[]
3,"MicrotransactionMoltenLiquifyOnKill","",3,2,2484157167,"",1,"",[],[]
4,"MicrotransactionBloodAndGoreOnKill","",4,2,4105273131,"",1,"",[],[]
5,"RaijuScourgeLightningOnKill","",5,1,3288854024,"",0,"",[],[]
6,"MicrotransactionBloodGolemBeamOnKill","","",3,111394361,0,0,"",[],[]
7,"MicrotransactionCordycepBowOnKill","",6,3,2441565426,"",0,"",[],[]
8,"MtxIonCannonOnKill","",7,4,1609154388,"",2,"",[],[]
9,"MtxExplodingHeart","",8,2,1675240250,"",1,"",[],[]
10,"MicrotransactionHokoRareFinisher","",9,2,561894318,"",1,"",[],[]
11,"MtxEldritchHungerArmourHelmetKillstreak","","",3,3850780029,"",0,"",[0],[1]
12,"MtxEldritchHungerArmourGlovesKillstreak","","",3,3921749130,"",0,"",[0],[1]
13,"MtxEldritchHungerArmourBootsKillstreak","","",3,2381240998,"",0,"",[0],[1]
14,"MtxEldritchHungerArmourBodyKillstreak","","",3,1774225589,"",0,"",[0],[1]
15,"MTXCrabArmourCrabsOnKill","",10,1,793311404,"",0,"",[],[]
16,"MicrotransactionChaosOrbFinisher","",11,2,260879709,"",1,"",[],[]
17,"MicrotransactionExaltedOrbFinisher","",12,2,3707455574,"",1,"",[],[]
18,"MicrotransactionVaalOrbFinisher","",13,2,2630444493,"",1,"",[],[]
19,"MicrotransactionMirrorFinisher","",14,2,2266451354,"",1,"",[],[]
20,"DivineArtilleryStrikeRareOnKill","",15,2,2958795120,"",1,"",[],[]
21,"LocustOnKillEffect","",16,2,4278153467,"",1,"",[],[]
22,"MicrotransactionDragonFireOnKill","",17,2,3401346647,"",1,"",[],[]
23,"MicrotransactionGuillotineExecutioner","",18,4,2468906654,"",2,"",[],[]
24,"MicrotransactionBreachClap","",19,2,1193827007,"",1,"",[],[]
25,"MicrotransactionMantraOfDestructionBreachlordEmpoweredKill","",20,7,2355072080,"",1,"",[],[]
26,"MicrotransactionHusbandWife","",21,2,2750565115,"",1,"",[],[]
27,"MicrotransactionQueenofFilth","",22,2,274914374,"",1,"",[],[]
28,"MicrotransactionBrambleGhastTentacle","",23,2,538725189,"",1,"",[],[]
29,"MicrotransactionKetzuli","",24,2,780828281,"",1,"",[],[]
30,"MicrotransactionCrueltyFinisher","",25,4,1337405944,"",2,"",[],[]
31,"MicrotransactionIceShatterFinisher","",26,2,1581560275,"",1,"",[],[]
32,"MicrotransactionPillarOfFlameOnKill","",27,2,2287398398,"",1,"",[],[]
33,"MicrotransactionDeathSoulstealerFinisher","",28,4,411120179,"",2,"",[],[]
34,"MicrotransactionBlackHoleOnKill","",29,2,203057589,"",1,"",[],[]
35,"MicrotransactionAnchorDropOnKill","",30,2,817073343,"",1,"",[],[]
36,"MicrotransactionSharkAttackOnKill","",31,2,995650503,"",1,"",[],[]
37,"MicrotransactionTentacleConsumeOnKill","",32,2,689328310,"",1,"",[],[]
38,"MicrotransactionBlackstarMeteorOnKill","",33,2,2206415883,"",1,"",[],[]
39,"MicrotransactionSulphiteShatterOnKill","",34,2,2355431971,"",1,"",[],[]
40,"MicrotransactionNecroticFlamesOnKill","",35,2,223926138,"",1,"",[],[]
41,"MicrotransactionAesirZeusLightningOnKill","",36,2,1920265919,"",1,"",[],[]
42,"MicrotransactionCelestialEmperorOnKill","",37,2,4098419053,"",1,"",[],[]
43,"MicrotransactionSandwraithMastodon",38,39,8,2691284437,"",0,20743,[],[]
44,"MicrotransactionSandwraithBeam","","",3,1674253101,1,0,"",[],[]
45,"MicrotransactionSoulCoaster","",40,4,2816548978,"",2,"",[],[]
46,"MicrotransactionGhostlyCannons","",41,4,3882057121,"",2,"",[],[]
47,"MicrotransactionDoryaniCrashLanding","",42,4,1746176438,"",2,"",[],[]
48,"MicrotransactionDoryaniClamp","",45,2,2498319868,"",1,"",[],[]
49,"MicrotransactionDoryaniDevice","",46,2,2849291359,"",1,"",[],[]
50,"MicrotransactionDoryaniFlamethrower","",47,2,61212275,"",1,"",[],[]
51,"MicrotransactionDoryaniLaser","",48,2,2592791279,"",1,"",[],[]
52,"MicrotransactionPhrecianMagistrate","",43,9,2240330349,"",0,22678,[],[]
53,"MicrotransactionJusticeUniqueFinisher","",44,4,2756628981,"",2,"",[],[]
54,"MicrotransactionZodiacDragon","",49,2,1364996451,"",1,"",[],[]
55,"MonarchOfTrathusLionFinisher","",50,4,3693625126,"",2,"",[],[]
56,"HandOfXeshtFinisher","",51,2,1270481599,"",1,"",[],[]
57,"PhoenixFireFinisher","",52,2,3631486352,"",1,"",[],[]
58,"PlummetingChandelierFinisher","",53,2,583725424,"",1,"",[],[]
59,"GiantCentipedeFinisher","",54,2,2036594178,"",1,"",[],[]
60,"BackttheScrollFinisher","",55,4,3941248189,"",2,"",[],[]
61,"StygianFinisher","",56,2,2576390025,"",1,"",[],[]
62,"BlackholeFreezeFinisher","",57,4,1745896754,"",2,"",[],[]
63,"NightLotusFinisherEffect","",58,2,346052449,"",1,"",[],[]
64,"TheEndFinisherEffect","",59,2,2381882797,"",1,"",[],[]
