"rownum","Id","StatKeys1","BuffDefinition","StatKeys2","StatKey3","StatKey3Value","StatKeys4","bool_92"
0,"fully_broken_armour_consumed_to_trigger_rune_forged_blades",[26180],[2221],[],"",0,[],""
1,"fully_broken_armour_consumed_for_active_skill_hit_or_stun_damage","[18048,18079]",[2221],"[18519,17543]","",0,[],""
2,"fully_broken_armour_consumed_for_support_damage",[17895],[2221],[18519],"",0,[],""
3,"fully_broken_armour_consumed_to_guarantee_crit",[17896],[2221],[339],"",0,[],""
4,"fully_broken_armour_generic",[20080],[2221],[],"",0,[],""
5,"freeze_consumed_generic",[18515],[2],[],"",0,[],""
6,"freeze_consumed_to_guarantee_crit",[18472],[2],[339],"",0,[],""
7,"freeze_consumed_for_active_skill_hit_damage",[18182],[2],[18983],"",0,[],""
8,"freeze_consumed_for_active_skill_hit_damage_from_support",[20354],[2],[20355],"",0,[],""
9,"freeze_consumed_to_apply_chill",[24635],[2],[],"",0,[],1
10,"shock_consumed_generic",[18520],"[3,2385]",[],"",0,[],""
11,"shock_consumed_for_active_skill_damage_per_5percent_shock_effect",[15477],"[3,2385]",[18521],15475,0.2,[],""
12,"ignite_consumed_by_elemental_discharge",[18485],[0],[],"",0,[],""
13,"freeze_consumed_by_elemental_discharge",[18485],[2],[],"",0,[],""
14,"shock_consumed_by_elemental_discharge",[18485],[3],[],"",0,[],""
15,"dazed_consumed_for_guarantee_crit",[19440],[2432],[339],"",0,[19445],""
16,"dazed_consumed_for_stun_buildup",[19441],[2432],[19442],"",0,[19445],""
17,"dazed_consumed_for_guarantee_hit",[20911],[2432],[],"",0,[],1
18,"ignite_consumed_generic",[20853],[0],[],"",0,[],""
19,"bloodstained_consumed_generic",[21151],[2637],[],"",0,[],""
20,"parry_consumed_generic",[21900],[2633],[],"",0,[],""
21,"parry_consumed_to_gain_X_frenzy_charges",[21248],[2633],[],"",0,[],""
22,"maim_consumed_to_break_%_armour",[22110],[506],[22112],"",0,[22109],""
23,"freeze_consumed_for_damage_against_unique","[23175,23176]",[2],[],"",0,[],""
24,"dazed_consumed_for_damage",[23697],[2432],[],"",0,[],""
25,"poison_consumed_generic",[23851],[13],[],"",0,[],""
26,"freeze_consumed_to_trigger_morrigan_ward",[26413],[2],[],"",0,[],""
