"rownum","GrantedEffect","BuffDefinition","i32_32","i32_36","rid_40","rid_56","Stat","bool_88","bool_89","i32_90","bool_94"
0,7785,2443,2,3,"","",21050,"","",0,""
1,324,32,1,0,"","",18201,"","",0,""
2,426,30,1,0,"","",18202,"","",0,""
3,968,2643,2,1,"","",21009,1,"",0,""
4,1010,2606,1,0,"","",21260,"","",0,""
5,951,2661,1,0,"","",20940,1,"",0,""
6,1104,2661,1,0,"","",20940,1,"",0,""
7,961,2665,1,0,"","",20983,"","",0,""
8,457,32,1,0,"","",2587,"","",0,""
9,459,2767,1,0,"","",22479,1,"",0,1
10,116,31,3,0,"","",18203,"","",0,""
11,8088,2877,3,0,"","",23489,"",1,0,""
12,1136,2661,1,0,"","",20940,1,"",0,""
