"rownum","Id","InputBaseItem","OutputBaseItem","i32_40","rid_44","UpgradableInStashes"
0,"0",634,624,299,"",[19]
1,"1",624,644,299,"",[19]
2,"2",635,625,299,"",[19]
3,"3",625,645,299,"",[19]
4,"4",636,626,299,"",[19]
5,"5",626,646,299,"",[19]
6,"6",637,627,299,"",[19]
7,"7",627,647,299,"",[19]
8,"8",638,628,299,"",[19]
9,"9",628,648,299,"",[19]
10,"107",639,629,299,"",[19]
11,"106",629,649,299,"",[19]
12,"105",640,630,299,"",[19]
13,"104",630,650,299,"",[19]
14,"103",641,631,299,"",[19]
15,"102",631,651,299,"",[19]
16,"101",642,632,299,"",[19]
17,"100",632,652,299,"",[19]
18,"99",643,633,299,"",[19]
19,"98",633,653,299,"",[19]
20,"115",664,665,299,"",[19]
21,"114",665,666,299,"",[19]
22,"112",668,669,299,"",[19]
23,"111",669,670,299,"",[19]
24,"109",672,673,299,"",[19]
25,"108",673,674,299,"",[19]
26,"96",676,677,299,"",[19]
27,"95",677,678,299,"",[19]
28,"181",5092,5093,299,"",[19]
29,"180",5093,5094,299,"",[19]
30,"179",5096,5097,299,"",[19]
31,"178",5097,5098,299,"",[19]
32,"125",87,99,299,"","[8,11]"
33,"124",88,100,299,"","[8,11]"
34,"123",89,101,299,"","[8,11]"
35,"122",90,102,299,"","[8,11]"
36,"121",91,103,299,"","[8,11]"
37,"120",92,104,299,"","[8,11]"
38,"119",93,105,299,"","[8,11]"
39,"118",94,106,299,"","[8,11]"
40,"117",95,107,299,"","[8,11]"
41,"116",96,108,299,"","[8,11]"
42,"113",97,109,299,"","[8,11]"
43,"110",98,110,299,"","[8,11]"
44,"10",99,111,299,"","[8,11]"
45,"11",100,112,299,"","[8,11]"
46,"12",101,113,299,"","[8,11]"
47,"13",102,114,299,"","[8,11]"
48,"14",103,115,299,"","[8,11]"
49,"15",104,116,299,"","[8,11]"
50,"16",105,117,299,"","[8,11]"
51,"17",106,118,299,"","[8,11]"
52,"18",107,119,299,"","[8,11]"
53,"19",108,120,299,"","[8,11]"
54,"20",109,121,299,"","[8,11]"
55,"21",110,122,299,"","[8,11]"
56,"22",111,"",299,"",[]
57,"23",112,"",299,"",[]
58,"24",113,"",299,"",[]
59,"25",114,"",299,"",[]
60,"26",115,"",299,"",[]
61,"27",116,"",299,"",[]
62,"28",117,"",299,"",[]
63,"29",118,"",299,"",[]
64,"30",119,"",299,"",[]
65,"31",120,"",299,"",[]
66,"32",121,"",299,"",[]
67,"33",122,"",299,"",[]
68,"137",123,"",299,"",[]
69,"136",124,"",299,"",[]
70,"135",125,"",299,"",[]
71,"134",126,"",299,"",[]
72,"133",127,"",299,"",[]
