"rownum","Id","BuffDDSFile","EPKFiles1","EPKFiles2","PreloadGroups","bool_64","BuffName","BuffName (French)","BuffName (German)","BuffName (Japanese)","BuffName (Korean)","BuffName (Portuguese)","BuffName (Russian)","BuffName (Spanish)","BuffName (Thai)","BuffName (Traditional Chinese)","MiscAnimated1","MiscAnimated2","BuffDescription","BuffDescription (French)","BuffDescription (German)","BuffDescription (Japanese)","BuffDescription (Korean)","BuffDescription (Portuguese)","BuffDescription (Russian)","BuffDescription (Spanish)","BuffDescription (Thai)","BuffDescription (Traditional Chinese)","EPKFile","HasExtraArt","ExtraArt","[i32]_130","EPKFiles","BuffVisualOrbs","MiscAnimated3","WeaponEffect","FadeInVisual","AudioEvent","f32_234","f32_238","bool_242","bool_243","[rid]_244","bool_260","bool_261","bool_262","[i32]_263","FadeOutEffect","rid_295"
0,"invisible","","[""Metadata/Effects/StatusAilments/NoEffect.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"",20,"","",0,0,"","",[],"",1,"",[],"",""
1,"nobuff","",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
2,"ignited","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Ignite.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Ignite.epk","","",[],[],[],"","","","",0,0,1,1,[],"",1,"",[],"",""
3,"chilled","Art/2DArt/BuffIcons/buffchilled.dds","[""Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Chilled.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0.2,0.25,1,1,[],"",1,"",[],"",""
4,"frozen","","[""Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Freeze.epk""]","[""Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Freeze.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Freeze.epk","","",[],[],[],"","","","",0,0,1,1,[],"",1,"",[],"",""
5,"shocked","Art/2DArt/BuffIcons/buffshocked.dds","[""Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Shock.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Shock_Player.epk","","",[],[],[],"","","","",0,0,1,1,[],"",1,"",[],"",""
6,"arc_trap","Art/2DArt/BuffIcons/ArcTrap.dds","[""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/shocked.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
7,"sprinting","Art/2DArt/SkillIcons/iconsprint.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
8,"grace_period","Art/2DArt/BuffIcons/invulnerability.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
9,"cutscene_grace_period","Art/2DArt/BuffIcons/CutsceneBuff.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
10,"is_dead_can_revive","","[""Metadata/Effects/Spells/party_effects/revive/EPKs/revive_Indicator.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
11,"being_revived","","[""Metadata/Effects/Spells/party_effects/revive/EPKs/revive_State.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
12,"god_mode","Art/2DArt/BuffIcons/invulnerability.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
13,"experience","Art/2DArt/SkillIcons/iconbash.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
14,"poison","Art/2DArt/SkillIcons/iconpoisoned.dds","[""Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Poison.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Poison.epk","","",[],[],[],"","","","",0.2,0.5,1,1,[],"",1,"",[],"",""
15,"caustic_cloud","Art/2DArt/BuffIcons/CausticCloud.dds","[""Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Poison.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","Metadata/Effects/Spells/debuff_fx/EPKs/debuff_Poison.epk","","",[],[],[],"","","","",0,0,1,"",[],"",1,"",[],"",""
16,"blood_rage","Art/2DArt/BuffIcons/buffrage.dds","[""Metadata/Effects/Spells/berserk_bloodrage/EPKs/blood_buff.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
17,"druidic_prowess","Art/2DArt/BuffIcons/AmorMandragora.dds","[""Metadata/Effects/Microtransactions/Misc/uniques/AmorMandragora/EPKs/buff.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
18,"kiweth_enrage","","[""Metadata/Effects/StatusAilments/blood_frenzy.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
19,"righteous_fire","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Spells/ri_fire/bottom.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
20,"righteous_fire_sacrifice","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Spells/monsters_effects/league_avatar/Ri_fire_blue/bottom.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
21,"righteous_fire_celestial","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/bottom.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
22,"righteous_fire_harbinger","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/bottom.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
23,"righteous_fire_aura","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]","[""Metadata/Effects/Spells/ri_fire/player.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,1,"",[],"",1,"",[],"",""
24,"righteous_fire_aura_no_hands","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
25,"righteous_fire_aura_sacrifice","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
26,"righteous_fire_aura_celestial","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_mid.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_large.epk""]","[""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/player.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
27,"righteous_fire_aura_harbinger","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff_mid.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff_large.epk""]","[""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/player.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
28,"righteous_fire_aura_harbinger_no_hands","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff_mid.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff_large.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
29,"righteous_fire_aura_celestial_no_hands","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_mid.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_large.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
30,"demon_righteous_fire","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Spells/monsters_effects/act3/ri_fire/demon_rifireepk.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","","",0,0,"","",[],"",1,"",[],"",""
31,"demon_righteous_fire_aura","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[77],"","","","",0,0,"","",[],"",1,"",[],"",""
